token,count
提,14231
低调,14205
对对,14178
发生,14177
烧,14168
没关系,14137
浪费,14118
偶尔,14117
聪明,14114
暖,14112
香,14100
锅,14067
然而,14066
凉,14040
想法,14028
压力,14026
痛苦,13969
门,13957
呦,13944
堆,13935
左右,13917
懒,13907
阳光,13903
后天,13831
现实,13793
街,13779
蛋糕,13771
俺,13743
素质,13732
对不起,13680
电视,13679
严重,13675
嫌弃,13669
粮,13640
理,13614
秀,13603
糖,13597
智商,13527
搭,13515
白天,13512
赶,13508
博主,13507
版,13474
垃圾,13467
于,13463
建议,13439
高中,13381
鹿晗,13373
做梦,13319
得到,13315
闹,13308
系,13302
默默,13297
下周,13271
状态,13263
炒,13260
纸,13252
一半,13245
窝,13239
年纪,13203
味,13185
解决,13176
按,13147
高考,13120
参加,13107
修,13074
身上,13066
泡,13049
遇见,13027
退,13021
爆,13018
梦想,13012
见面,12998
平安,12997
挂,12989
更新,12984
啥子,12967
学习,12967
网上,12960
享受,12960
短发,12936
蓝,12936
牙,12933
至少,12925
粗,12901
另,12898
父母,12898
寝室,12891
撩,12866
绿,12848
回答,12828
整个,12804
感,12804
相,12791
现场,12783
错过,12782
南方,12762
快递,12761
剧,12759
回忆,12751
眼神,12750
饺子,12744
南京,12732
认为,12629
拼,12612
弟弟,12605
演唱会,12578
节日,12577
文艺,12569
比赛,12561
到处,12558
厚,12536
善良,12488
技术,12472
不得,12458
熟,12455
眼镜,12444
挑,12434
腰,12415
撑,12406
厕所,12380
哎哟,12377
厦门,12352
步,12348
事儿,12345
一边,12331
冻,12322
好友,12291
淡定,12285
认,12283
广告,12282
路过,12280
真正,12253
寂寞,12227
摸摸,12225
汤,12223
胖子,12218
火车,12200
瓶,12179
查,12177
聚,12170
正好,12146
名,12139
数,12119
差点,12067
想念,12061
报,12060
洗澡,12059
春天,12045
温柔,12028
上学,11997
颜值,11997
招,11991
样,11991
精神,11988
惊喜,11945
同感,11913
摸,11908
烊,11892
能量,11888
呵,11878
小孩,11853
咱俩,11850
说说,11839
女儿,11821
快点,11812
混,11801
方式,11794
咖啡,11791
玩儿,11790
跑步,11770
顶,11763
自由,11758
原谅,11755
心态,11754
前面,11745
明星,11727
兴趣,11720
一路,11716
