token,count
墙,11104
不见,11080
陪,11075
部分,11044
逃,11038
闻,11033
警察,11029
属于,11024
屋里,11009
内心,10991
父母,10990
或许,10976
之外,10964
年轻人,10955
全都,10953
轻轻,10945
躲,10913
居然,10908
将来,10906
附近,10904
回头,10892
喂,10885
穿过,10883
黄,10880
渐渐,10864
藏,10841
天空,10835
底,10834
不但,10808
噢,10787
证明,10774
马车,10768
低声,10765
鼻子,10759
石头,10754
排,10754
好好,10753
活动,10746
少年,10743
艺术,10739
不禁,10736
行为,10699
路上,10684
扑,10680
妹妹,10674
盖,10667
何,10666
救,10658
拖,10656
语言,10653
所谓,10642
纸,10636
老婆,10634
而是,10623
端,10609
牛,10606
言,10604
计划,10579
甚么,10559
遇到,10540
激动,10523
追,10510
成功,10506
感,10499
早就,10481
有关,10457
肚子,10454
准,10449
主意,10436
一番,10435
睡觉,10426
差不多,10418
心想,10406
绝对,10402
丢,10402
愉快,10392
紧紧,10386
从前,10376
厉害,10376
子,10376
压,10367
灯,10351
巴黎,10340
诗人,10332
音乐,10330
坐下,10329
意见,10317
反正,10304
唯一,10303
政治,10297
鬼,10288
类,10287
热,10280
剩下,10267
恐怕,10261
假如,10260
人生,10255
短,10249
竟然,10236
少女,10229
怎么办,10217
努力,10210
猫,10199
可爱,10197
始终,10194
街上,10191
传来,10190
文化,10182
若是,10181
挤,10171
公司,10165
毛,10163
年纪,10151
手中,10148
理由,10145
不用,10138
某种,10112
轻,10107
命运,10102
随着,10102
陆小凤,10097
睁,10081
匹,10058
空气,10057
天下,10056
伯爵,10047
抽,10035
假,10033
唉,10032
交给,10015
医院,10015
刺,10009
转身,9992
仔细,9983
首先,9961
难以,9958
亲爱的,9929
必,9918
透,9916
胳膊,9914
安排,9899
钻,9894
命令,9887
插,9879
闪,9870
方向,9867
不安,9861
一下子,9849
恨,9848
抢,9845
屋,9840
主要,9826
再也,9820
保持,9802
此时,9785
一生,9758
帽子,9758
厨房,9752
平静,9750
妇女,9747
韦小宝,9736
万,9723
而已,9721
身后,9708
报,9707
算是,9703
茶,9701
聪明,9690
冒,9687
棵,9670
这时候,9657
公爵,9646
不如,9643
反对,9625
猜,9604
元,9601
大哥,9595
搬,9557
西,9552
依然,9543
时期,9526
事物,9519
只不过,9498
骑,9493
教堂,9484
开口,9467
一会,9461
老板,9458
神情,9454
敲,9446
巨大,9444
个人,9438
方法,9431
紧张,9430
大门,9422
武功,9399
痛,9393
恢复,9384
塞,9383
放心,9378
北京,9370
一半,9365
吐,9362
星期,9359
鱼,9337
不大,9317
样,9304
放下,9301
醒,9297
看出,9278
隔,9274
世纪,9270
云,9269
互相,9257
报纸,9253
伸出,9228
拒绝,9211
改,9210
男,9200
兴奋,9195
情形,9192
颜色,9192
哼,9169
举,9154
苦,9136
反而,9084
休息,9080
发展,9076
硬,9068
当年,9064
寻找,9061
随,9034
死亡,9029
团,9027
强,9027
贴,9022
否则,9022
道理,9011
动作,9000
绝不,8995
围,8987
般的,8982
领,8921
肩膀,8899
随便,8882
具有,8851
不仅,8842
地位,8824
谢谢,8819
犯,8816
懂得,8810
热情,8803
伸手,8793
寄,8787
将军,8777
可惜,8764
见面,8755
情,8747
楚留香,8744
四周,8737
目的,8717
时刻,8714
选择,8711
介绍,8681
经验,8678
