部件	codepoint	票数	jd1	jd93首末	moqi首末	hu首末	首末合计
㇆	U+31C6	1.0				14	14
	U+E4AA	1.0				14	14
	U+E489	1.0				14	14
𡈼	U+2123C	1.0			14		14
𫶧	U+2BDA7	1.0			14		14
中	U+4E2D	1.0			14		14
黑	U+9ED1	1.0				14	14
更	U+66F4	1.0			14		14
	U+E440	1.0				14	14
	U+E4C8	1.0				14	14
	U+E46A	1.0				14	14
平	U+5E73	1.0			13		13
	U+E4CC	1.0				13	13
夬	U+592C	1.0			13		13
	U+E748	1.0				13	13
矛	U+77DB	1.0			13		13
申	U+7533	1.0			13		13
央	U+592E	1.0			13		13
玄	U+7384	1.0			13		13
	U+E5AC	1.0				13	13
亽	U+4EBD	1.0				13	13
冉	U+5189	1.0			12		12
	U+E4C0	1.0				12	12
𠂆	U+20086	1.0			12		12
⻌	U+2ECC	1.0			12		12
半	U+534A	1.0			12		12
⺁	U+2E81	1.0				12	12
因	U+56E0	1.0			11		11
龸	U+9FB8	1.0			10	(1)	11
主	U+4E3B	1.0			11		11
虎	U+864E	1.0				11	11
	U+E415	1.0				11	11
我	U+6211	1.0			11		11
柬	U+67EC	1.0			11		11
⺇	U+2E87	1.0			(2)	9	11
	U+E499	1.0				11	11
介	U+4ECB	1.0			11		11
只	U+53EA	1.0			10		10
来	U+6765	1.0			10		10
巨	U+5DE8	1.0			10		10
万	U+4E07	1.0			10		10
𦍌	U+2634C	1.0			10		10
丑	U+4E11	1.0			10		10
允	U+5141	1.0			10		10
	U+E8C3	1.0				10	10
乛	U+4E5B	1.0			(2)	8	10
黄	U+9EC4	1.0				10	10
隶	U+96B6	1.0			9		9
	U+E870	1.0				9	9
⺷	U+2EB7	1.0				9	9
	U+E460	1.0				9	9
冬	U+51AC	1.0			9		9
	U+E4A6	1.0				9	9
⺦	U+2EA6	1.0		9			9
之	U+4E4B	1.0			(2)	7	9
壬	U+58EC	1.0			8		8
食	U+98DF	1.0				8	8
夭	U+592D	1.0			8		8
