音节	字数	常用字数(前3500)	总频	前12字
ls	22	9	2068717	龙弄隆笼泷陇拢垄聋珑胧咙
lz	21	6	1349543	楼露漏喽娄搂陋镂瘘篓蒌髅
gs	21	14	7678124	公工共供宫功攻贡弓恭龚拱
po	21	11	1457952	破朴坡颇婆繁珀迫泼泊魄粕
mm	21	8	3317330	面免棉眠绵缅勉冕娩沔腼呒
iz	21	10	901132	抽丑臭筹愁稠仇酬绸瞅畴俦
ru	21	7	7455738	如入乳汝儒茹辱濡孺蠕褥铷
an	21	11	4689843	安按案暗岸俺胺氨庵鞍铵黯
go	21	7	14435386	过国果锅郭裹涡粿虢腘椁帼
mj	21	9	3488013	满蛮慢曼漫埋蔓瞒鳗螨馒缦
xb	20	12	12098852	新心信辛欣鑫芯馨锌薪昕歆
ds	20	8	5802547	动东懂冬董洞栋冻咚侗鸫峒
pk	20	9	3267852	平评瓶凭屏萍坪苹乒鲆娉枰
vg	20	13	6589888	正证整政郑症争蒸征挣睁拯
zo	20	10	13064019	做作坐座左佐昨唑撮琢祚嘬
dc	20	10	20058658	到道岛倒导刀盗稻捣蹈悼叨
gc	20	8	8523923	高搞告稿膏糕皋郜镐羔诰锆
tm	20	7	5032867	天田甜添填舔恬湉腆阗畋忝
is	19	8	4147149	种重冲充虫崇涌宠铳憧翀舂
dk	19	9	3462451	定丁顶订町鼎盯钉叮锭碇啶
rf	19	8	24838501	人任认仁忍刃韧壬妊饪稔纫
fh	19	11	7466256	方放房防芳坊访仿纺肪妨枋
hz	19	7	11978682	后厚候侯猴喉吼齁逅骺鲎垕
wo	19	7	41868998	我沃握窝卧喔涡倭渥蜗斡挝
ua	19	12	2567328	沙啥杀莎傻砂厦杉纱刹煞鲨
zc	19	13	2373297	早造遭燥枣糟噪灶藻澡皂躁
dp	19	7	861193	跌碟蝶爹叠迭谍鲽喋牒堞耋
so	19	7	5877610	所索锁莎缩梭琐嗦娑羧唆蓑
ss	18	8	2605337	送松宋颂嵩怂诵讼耸崧淞悚
gh	18	10	3172136	刚港钢岗冈纲缸扛杠肛罡戆
vs	18	12	27046186	中种重众钟终忠仲肿冢盅衷
np	18	4	340409	涅捏聂镍乜孽颞啮臬镊蘖蹑
kj	18	8	9904273	看砍坎刊堪侃勘槛龛崁阚瞰
bh	18	11	2608676	帮棒榜邦绑磅镑傍蚌膀浜谤
kl	18	7	861179	况狂框矿匡筐旷邝眶哐诳圹
pj	18	10	1983017	盘胖潘判番盼攀畔叛磐泮蟠
dy	18	9	1385427	顿吨炖敦盾蹲墩钝囤遁沌惇
mb	18	6	1553551	民敏闽闵珉旻皿抿泯岷愍悯
lp	17	6	1072345	列烈裂猎劣咧冽鬣洌埒捩趔
tn	17	4	2867201	条调跳挑眺迢窕蜩髫粜佻祧
jr	17	7	1469865	圈卷捐娟眷倦隽绢鹃涓镌狷
bb	17	5	602678	斌宾滨彬缤濒殡槟鬓髌玢镔
dh	17	5	4457916	当党档挡荡铛裆宕砀珰凼谠
la	17	9	4379980	拉啦辣落腊蜡喇垃剌邋砬旯
co	17	6	997662	错措搓厝挫撮磋锉痤蹉矬嵯
td	17	10	8884915	太台泰态胎抬苔钛肽汰邰跆
ky	17	5	494215	困昆坤捆琨鲲堃锟醌焜髡鹍
bk	16	10	10289744	并病冰兵饼屏丙炳秉柄禀槟
er	16	7	15150836	而二尔儿耳饵贰洱迩珥铒鸸
wh	16	10	7316446	王网往望忘旺汪亡妄枉罔惘
pw	16	9	2246371	配佩陪培赔裴沛胚霈呸醅辔
cv	16	7	824853	脆崔催翠摧萃粹璀淬悴啐瘁
rs	16	10	1761185	容融荣蓉溶绒榕戎熔茸镕嵘
ug	16	11	8510905	生省升声圣胜盛剩绳笙牲昇
sz	16	3	449344	搜艘嗖嗽馊叟薮溲廋擞飕瞍
gg	16	7	10502802	更颈梗耕耿羹庚埂赓哽鲠绠
mn	16	9	926827	秒庙苗妙描喵瞄淼缪渺邈藐
pm	15	6	4080094	片便篇偏骗扁翩骈谝胼楩蹁
gd	15	6	6864158	该改盖钙概芥丐溉垓赅陔荄
ou	15	6	4046603	区欧偶藕鸥呕殴瓯耦讴沤怄
dn	15	8	1687697	掉调吊钓雕鲷刁叼貂凋碉铫
kd	15	5	4188587	开凯楷恺铠慨锴揩闿忾锎剀
hx	15	8	9238243	化花话华画划滑桦骅哗猾铧
pn	15	5	1018012	票朴飘漂瓢嫖瞟骠缥嘌剽殍
mh	15	5	548160	忙芒盲茫莽蟒氓邙牻牤杧硭
ma	15	10	8643589	吗马妈嘛码玛麻骂摩抹蚂蟆
ic	15	10	3428388	超炒朝潮吵抄巢焯钞嘲绰晁
nc	15	5	611427	脑闹挠恼瑙淖孬垴铙蛲呶硇
vr	14	6	3570050	转传专赚砖撰篆沌馔僎颛啭
iy	14	7	1341851	春纯唇醇淳蠢椿蝽莼鹑䲠𬭚
qp	14	6	2143770	且切茄伽窃妾怯惬锲挈郄箧
cs	14	5	7785547	从葱聪丛匆琮枞骢璁淙囱熜
na	14	8	10706954	那拿南哪纳娜呐钠捺衲镎乸
hd	14	7	15404795	还海孩害嗨咳亥氦骸骇醢嗐
ze	14	5	3439911	则泽责择咋仄啧赜昃笮迮帻
ld	14	5	12848122	来莱赖濑睐籁赉徕涞癞铼崃
zs	14	7	3172508	总宗综纵棕踪粽鬃枞倧腙偬
dz	14	10	21137632	都读斗豆抖逗痘兜窦陡蚪篼
uz	14	11	7958866	手受收首售瘦守授寿兽狩绶
dg	14	8	15309462	等登灯邓澄蹬瞪凳噔嶝镫磴
qt	14	5	3388054	却确缺雀阙鹊瘸阕炔悫榷碏
uh	13	7	20059878	上商伤尚赏熵裳殇觞晌墒垧
ph	13	5	588866	胖旁庞磅膀乓螃彷滂逄鳑耪
wa	13	7	1211782	瓦挖娃哇蛙袜洼佤娲坬窊腽
zu	13	7	3246485	组足族租祖阻卒诅俎镞菹崒
mk	13	7	5449948	名明命鸣铭冥茗螟酩溟洺暝
gx	13	5	811328	挂瓜刮卦寡呱褂剐胍栝鸹诖
ku	13	7	1880243	库哭苦酷裤枯窟骷喾矻绔刳
xt	13	7	5189212	学血雪薛穴削靴鳕噱谑踅峃
zj	13	4	1189314	赞暂咱攒瓒簪昝錾拶酂糌趱
pa	13	6	1374326	怕帕爬扒趴啪葩琶耙杷筢舥
nm	13	6	12980980	年念粘黏碾廿捻蔫拈撵鲇辇
hy	13	6	781972	混婚魂昏荤浑馄珲诨溷阍惛
kk	12	4	20504039	会快块筷蒯脍侩哙郐鲙狯㧟
cj	12	6	1371709	参餐残惨灿蚕璨粲惭骖黪䅟
zg	12	4	2794114	曾增综赠憎甑锃缯罾鄫矰䎖
nd	12	4	956188	奶奈乃耐迺萘鼐氖柰艿佴耏
kh	12	4	1046565	康抗扛糠亢炕慷钪伉𩾌闶𡐓
hg	12	6	3935430	行恒横衡亨哼珩桁蘅鸻姮堼
cd	12	10	9140263	才菜采财彩材蔡猜踩裁睬偲
pc	12	6	1617988	跑泡抛炮袍刨疱咆庖匏狍脬
ty	12	6	240104	吞屯臀褪囤豚鲀饨暾焞忳坉
bg	12	5	190440	泵崩蹦蚌绷甭迸嘣甏琫镚祊
dr	12	5	2799815	段短端断锻缎椴煅塅簖耑瑖
js	11	1	30482	炯迥炅窘冏颎泂扃坰䌹𬳶
ir	11	6	3452060	穿传川船串喘钏椽氚舛遄
md	11	7	7019832	买卖麦迈埋脉霾唛劢荬鿏
lr	11	3	563815	乱卵銮栾鸾峦滦挛孪娈脔
bd	11	9	3451961	白百伯摆柏败拜佰掰稗捭
ga	11	6	461124	夹噶咖嘎伽尬尕戛旮钆尜
nk	11	4	567554	宁凝拧柠甯狞泞佞咛聍苧
cu	11	5	671330	促粗醋簇卒猝蹴蹙殂徂蔟
pd	11	5	3293945	拍排派牌迫湃徘哌俳簰蒎
bf	11	4	6070172	本奔笨苯贲犇锛坌畚栟倴
vd	11	9	1241604	债择宅摘祭窄寨斋翟豸瘵
xs	11	5	971669	熊雄胸兄凶匈汹芎夐诇讻
gl	11	3	2430603	光广逛咣胱洸犷桄珖垙𨐈
nj	11	4	4099913	南男难楠喃腩囡蝻赧婻萳
pb	11	6	2112124	品拼频聘贫嫔颦牝玭姘𬞟
ie	10	6	4001292	车扯彻撤尺澈掣砗坼㬚
kc	10	3	3008032	考靠烤拷尻铐犒栲洘㸆
fa	10	6	6376334	发法罚伐乏阀筏珐垡砝
ly	10	6	1728580	论轮伦仑沦纶抡囵𬬭𫭢
zd	10	8	62969435	在再载仔灾宰哉栽崽甾
sa	10	4	814901	萨撒洒仨飒卅挲潵靸脎
iv	10	3	465587	吹垂锤槌捶炊棰陲圌倕
nu	10	4	426934	努怒奴弩驽傉胬砮孥笯
no	10	4	1038085	诺娜糯挪喏懦傩锘搦𦰡
rh	10	2	7908988	让壤嚷瓤攘穰禳瀼儴蘘
kz	10	4	1644947	口扣寇抠蔻叩芤筘眍𫸩
cc	10	5	1046293	草曹操槽糙漕嘈艚螬𥕢
vv	10	5	614945	追坠椎锥缀赘隹惴骓缒
vl	10	8	2435084	装状庄撞妆壮桩幢奘戆
uo	10	4	14247845	说数硕朔烁蒴铄槊搠妁
tv	10	5	1793911	推退腿忒褪颓蜕煺魋𬯎
qs	9	2	300714	穷琼穹邛蛩筇茕銎䓖
tg	9	4	594973	疼腾藤滕誊熥縢螣䲢
le	9	3	61046358	了乐勒叻簕饹泐仂鳓
mf	9	4	5968702	们门闷焖扪懑钔呇𫞩
mz	9	4	1932696	某谋牟缪眸哞侔鍪蛑
id	9	4	1740095	差拆柴钗豺瘥侪虿茝
ks	9	4	1801545	空控孔恐崆箜倥硿埪
zy	9	2	241041	尊遵樽鳟撙噂僔嶟𨱔
ul	9	4	1717509	双爽霜泷孀礵漴鹴骦
hh	9	4	3832896	行航杭巷夯吭沆绗颃
sc	9	3	250477	扫骚嫂臊搔瘙缫埽溞
zz	9	4	2673940	走邹奏揍诹陬驺鄹鲰
nq	9	5	1145230	牛纽扭妞钮拗狃忸杻
