部件	codepoint	用字数	首末位用字数
𡕒	U+21552	1	1
⺪	U+2EAA	1	1
亇	U+4E87	1	1
巜	U+5DDC	1	1
⺳	U+2EB3	1	1
卝	U+535D	1	1
匹	U+5339	1	1
屮	U+5C6E	1	1
毌	U+6BCC	1	1
𭃂	U+2D0C2	1	1
丙	U+4E19	1	1
击	U+51FB	1	1
史	U+53F2	1	1
阝	U+961D	1	1
