音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
xk	30	17	10	92.7	13919267	形64 醒21 刑9 邢3 擤0 悻0 荇0 硎0 瑆0 婞0
mc	30	15	12	89.9	1730510	茅7 貌5 卯2 昴0 铆0 茆0 蝥0 峁0 袤0 鄚0 楙0 旄0 蟊0
mw	30	17	10	97.1	14723564	枚21 妹16 媚3 楣0 鹛0 袂0 郿0 浼0 镅0
vz	29	18	9	93.5	3546492	轴20 宙1 帚0 绉0 酎0 妯0 辀0 鸼0 婤0
vo	29	17	10	99.5	8325639	拙1 酌0 擢0 濯0 涿0 茁0 浞0 晫0 汋0 椓0
ia	29	19	8	99.1	3749603	茬1 搽0 槎0 碴0 诧0 檫0 姹0 杈0 锸0
su	29	18	9	93.8	2840775	塑9 肃5 粟2 涑0 谡0 僳0 窣0 骕0 傃0 鹔0
bc	29	17	10	95.6	7910103	煲15 鲍9 豹4 褒1 葆1 苞1 鸨0 趵0
lo	29	18	9	97.6	3179393	萝5 啰0 箩0 骡0 漯0 荦0 泺0 瘰0 猡0
lm	29	17	10	98.6	4563930	镰3 敛1 涟0 鲢0 殓0 潋0 蔹0 梿0 裣0 浰0
jq	28	14	13	99.7	30048631	灸2 揪1 韭1 舅1 鹫1 鸠1 咎0 疚0 赳0 桕0 氿0 鬏0
gj	28	17	10	98.2	4253831	赣3 柑1 尴1 秆0 橄0 酐0 泔0 坩0 澉0 玕0
ih	28	17	10	98.3	9105473	畅11 倡2 娼0 嫦0 阊0 鲿0 菖0 鬯0 伥0 氅0
to	28	18	9	99.5	1343160	橐0 柝0 侂0 柁0 鼍0 箨0 圫0
bm	28	15	12	99.1	4314868	辫1 卞1 匾0 苄0 鳊0 笾0 忭0 抃0 褊0 萹0 碥0
ao	28	16	11	96.3	1283768	敖1 鳌1 螯0 獒0 骜0 遨0 璈0 鏊0 廒0 嶅0 聱0 奡0
fj	28	15	12	80.8	4295117	翻56 返13 藩7 梵3 幡1 畈0 燔0 蘩0 氾0 墦0 𫔍0
ho	27	14	13	99.8	56929097	伙9 惑3 藿0 钬0 佸0 漷0 濩0 嚄0 锪0 劐0 耠0 𬴃0 㸌0
qk	27	17	10	98.9	9076527	氢8 氰0 罄0 檠0 勍0 綮0 苘0 庼0 圊0 碃0
dm	27	17	10	99.5	12203069	淀2 巅1 掂0 踮0 靛0 惦0 癜0 坫0 琔0 扂0
qr	27	17	10	97.1	5683445	拳14 醛2 颧0 绻0 畎0 棬0 辁0 婘0 𨟠0
gr	27	16	11	93.5	5746664	冠26 罐10 鹳0 琯0 祼0 毌0 涫0 蒄0 筦0 爟0 鳤0
jl	27	15	12	96.8	16871649	酱42 浆6 僵2 桨1 绛0 犟0 缰0 糨0 茳0 洚0 弶0
du	27	18	9	99.7	24194293	镀3 渎0 妒0 阇0 牍0 椟0 髑0 黩0 𬭊0
tk	26	16	11	95.9	5836141	庭23 烃0 渟0 颋0 莛0 侹0 桯0 烶0 圢0 䗴0
ff	26	15	12	98.7	6330102	奋5 粪2 棻0 鲼0 偾0 棼0 瀵0 坋0 𣸣0 豮0
ni	26	19	8	99.8	25564428	匿4 溺1 伲0 𫠜0 𫐐0 𨺙0
bj	26	16	11	91.0	6141956	拌17 斑14 坂8 扮6 瓣4 扳2 癍0 柈0 攽0 𨭉0
ci	26	16	11	98.2	8330671	瓷7 赐5 伺0 莿0 鹚0 佽0 𫚖0
vj	26	17	10	83.8	5723937	战88 湛2 辗0 毡0 栴0 鳣0 飐0 鹯0 𫗴0
hs	26	16	11	92.5	2539433	鸿16 泓1 纮0 翃0 蕻0 吽0 荭0 谼0 唝0 𫟹0
if	26	17	10	99.1	4119274	琛2 谌0 谶0 碜0 榇0 𬘭0 梣0 疢0 棽0
vh	25	16	11	97.6	8531799	帐6 彰5 丈4 樟2 漳2 鄣0 幛0 仉0 嫜0
ye	25	15	12	98.5	27475843	页35 晔1 邺0 噎0 掖0 曳0 谒0 倻0 揶0
fg	25	20	7	99.8	4023572	俸0 酆0 沨0 崶0 浲0
qb	25	15	12	98.1	1480081	禽1 芩0 溱0 衾0 噙0 揿0 骎0 吣0 梣0 锓0
gz	25	16	11	99.8	3986117	枸0 缑0 彀0 媾0 姤0 觏0 笱0 雊0
lv	25	19	8	98.2	3587580	屡4 缕1 膂0 梠0 稆0
sv	25	18	9	97.4	3450481	隋4 髓2 隧1 睢0 眭0 穟0 𫟦0
do	24	16	11	99.7	16139266	剁2 堕1 咄0 踱0 哚0 埵0 剟0 㙍0
mg	24	14	13	85.0	1934091	萌27 勐0 獴0 蠓0 蜢0 甍0 艨0 瞢0 鹲0 礞0
jy	24	16	11	83.7	3661945	君51 骏7 皲0 葰0 莙0 鲪0
xq	24	18	9	99.8	1851116	咻0 脩0 庥0 鸺0 珛0 滫0
ve	24	15	12	99.3	28623020	哲16 辙0 蛰0 辄0 蜇0 赭0 鹧0 晢0 䗪0
yt	24	17	10	97.1	8854169	岳13 粤8 玥1 栎0 钺0 龠0 𬸚0
mu	24	14	13	90.6	4477991	墓12 慕9 亩8 募7 暮2 牡1 苜0 𬭁0 𧿹0
dd	24	11	16	96.7	20268655	贷31 袋23 黛6 岱2 逮1 傣0 歹0 迨0 玳0 呔0 垈0 轪0
lw	24	19	8	99.9	4556182	罍0 羸0 嫘0 礌0 藟0
lj	24	16	11	96.6	2353971	揽3 滥2 榄1 婪0 褴0 襕0 漤0 𬒗0
ai	24	16	11	97.4	4566805	唉10 蔼0 皑0 嗳0 瑷0 砹0 毐0 嗌0
da	24	16	11	98.3	20593829	搭31 嗒2 耷0 笪0 靼0 褡0 𫟼0
lh	23	15	12	99.7	1002406	塱0 崀0 埌0 蒗0 蓢0 稂0 桹0 㮾0
xx	23	15	12	99.7	9309615	匣1 遐0 呷0 狎0 柙0 叚0 翈0
ll	23	16	11	99.5	6997606	晾2 粱0 踉0 俍0 辌0 𬜯0
ue	23	13	14	98.2	3770700	拾4 佘1 畲0 赊0 阇0 歙0 厍0 滠0 𪨶0
bn	23	15	12	99.8	2363217	杓0 镳0 骉0 脿0 儦0 熛0 幖0 瘭0
wf	23	15	12	94.1	6241688	闻33 汶3 紊0 阌0 刎0 鳁0 芠0 𫘜0
tc	23	14	13	91.0	1671881	淘12 滔1 焘0 洮0 啕0 绹0 鼗0 梼0
hc	23	10	17	98.8	19447116	毫7 昊6 皓4 壕1 濠1 灏0 嚎0 薅0 颢0 嗥0 皞0 淏0 嚆0
pg	23	13	14	96.5	1204884	膨1 硼1 砰0 芃0 抨0 怦0 椪0 堋0 淜0
tu	22	14	13	99.2	4284051	屠3 菟0 堍0 酴0 葖0 稌0 𬳿0 㻬0
bu	22	15	12	99.9	38562529	簿2 埗0 卟0 晡0 𬷕0
ta	22	16	11	99.8	25544524	塌5 挞0 蹋0 趿0 阘0
lc	22	16	11	99.9	3631969	痨0 荖0 醪0 嫪0 铹0
vc	22	14	13	98.4	11912626	昭12 罩4 钊1 曌0 笊0 旐0 𬬿0
uc	22	15	12	99.7	3798233	劭0 芍0 艄0 筲0 柖0
ql	22	15	12	99.5	3129725	羟1 樯0 戕0 镪0 锖0 玱0 蔃0
ls	22	13	14	98.1	2068717	陇1 聋1 珑0 砻0 癃0 眬0 哢0 漋0 𬕂0
lz	21	17	10	99.9	1349543	髅0 溇0 剅0 䁖0
gs	21	15	12	87.4	7678124	功50 攻25 贡10 恭6 汞2 巩1 䢼0
po	21	11	16	91.2	1457952	珀6 泼4 魄1 皤0 钷0 笸0 桲0 酦0 䥽0
mm	21	14	13	97.9	3317330	缅4 勉2 渑0 湎0 勔0 眄0 呣0
iz	21	14	13	89.0	901132	稠5 酬2 瞅1 俦0 雠0 犨0
ru	21	14	13	99.9	7455738	濡0 铷0 襦0 薷0 洳0 溽0 蓐0
an	21	15	12	98.3	4689843	氨3 庵3 桉0 鹌0 盦0 埯0
go	21	16	11	99.4	14435386	裹7 虢0 椁0 蜾0 𬇹0
mj	21	15	12	99.9	3488013	嫚0 谩0 墁0 鞔0 颟0 𬜬0
xb	20	14	13	99.3	12098852	薪6 歆1 忻1 囟0 伈0 𫷷0
ds	20	13	14	99.7	5802547	侗1 鸫0 峒0 硐0 岽0 恫0 胨0
pk	20	12	15	97.5	3267852	苹8 俜0 玶0 洴0 帡0 荓0 涄0
vg	20	14	13	94.1	6589888	征25 挣11 拯1 诤0 钲0 烝0
