㑇	亻 ⺈ 彐
囚	囗 人
四	囗 儿
回	囗 口
囟	3 囗 乂
因	囗 大
囡	囗 女
团	囗 1 2 3
囤	囗 1 6 2 6
囫	囗 勿
园	囗 二 儿
困	囗 木
囱	3 囗 夂
围	囗 韦
囵	囗 𠆢 匕
囷	囗 千 𠆢
囹	囗 𠆢 ㇏ 龴
固	固
国	囗 玉
图	囗 夂 4 4
囿	囗 𠂇 
圃	囗 甫
圄	囗 五 口
圆	囗 口 贝
圈	囗 丷 夫 ⺋
圉	囗 土 丷 干
圊	囗 龶 
圌	囗 山 而
圐	囗 罒 方
圙	囗 八 1 3 罒 二
圜	囗 罒 1 口 3 6 ㇒ ㇏
土	土
圢	土 丁
圣	又 土
在	𠂇 2 土
圩	土 于
圪	土 𠂉 ㇈
圫	土 ㇒ 七
圬	土 二 5
圭	土 土
圮	土 己
圯	土 巳
地	土 也
圲	土 千
圳	土 3 2 2
圹	土 广
场	土 𠃓
圻	土 斤
圾	土 及
址	土 
坂	土 ㇒ 3 又
均	土 3 5 冫
坉	土 1 6 2 6
坊	土 方
坋	土 八 刀
坌	八 刀 土
坍	土  亠
坎	土 ⺈ 人
坏	土 不
坐	人 人 土
坑	土 亠 几
坒	比 土
块	土 5 大
坚	2 2 又 土
坛	土 二 厶
坜	土 厂 力
坝	土 贝
坞	土 乌
坟	土 文
坠	阝 人 土
坡	土 5 3 2 又
坤	土 日 2
坥	土 且
坦	土 日 1
坨	土 宀 匕
坩	土 甘
坪	土 1 丷 十
坫	土 2 1 口
坬	土 ㇒ 3 6 ㇏ ㇏
坭	土 尸 匕
坯	土 1 亻 4 1
坰	土 冂 口
坳	土 6 厶 力
坷	土 可
坻	土 氏 ㇏
坼	土 斤 ㇏
坽	土 𠆢 ㇏ 龴
垂	千 艹 二
垃	土 立
垄	𠂇  ㇏ 土
垆	土 2 1 尸
垈	亻 弋 土
型	1 𠂇 2 刂 土
垌	土 冂 1 口
垍	土 自
垎	土 各
垏	土 5 三 十
垒	厶 厶 厶 土
垓	土 亠 6 3 人
垕	㇒ 𠂉 口 土
垙	土 ⺌ 1 儿
垚	土 土 土
垛	土 几 木
垞	土 宀 ㇒ 七
垟	土 羊
垠	土 彐 6 ㇒ ㇏
垡	亻 戈 土
垢	土 ㇒ 𠂉 口
垣	土 1 日 1
垤	土 至
垦	彐 6 ㇒ ㇏ 土
垧	土 3 冂 口
垩	1 2 ⺌ 1 土
垫	扌 3 ㇈ ㇏ 土
垭	土 1 2 ⺌ 1
垮	土 大 二 5
垯	土 大 辶
垱	土 ⺌ 彐
垲	土 山 己
垴	土 亠 乂 凵
垵	土 宀 女
垸	土 宀 二 儿
垺	土 爫 子
垾	土 日 干
垿	土 广 予
埂	土 1 日 乂
埃	土 厶 𠂉 大
埆	土 ⺈ 用
埇	土 龴 
埋	土 日 
埌	土 ㇏ 彐 6 ㇒ ㇏
城	土 成
埏	土 ㇒ 2 1 6 廴
埒	土 爫 寸
埔	土 甫
埕	土 口 王
埗	土  2 3 3
埘	土 日 寸
埙	土 口 贝
埚	土 口 冂 人
埝	土 𠆢 ㇏ 5 心
域	土 戈 口 1
埠	土 3  十
埤	土 白 3 十
埪	土 宀 八 工
埫	土 尚
埭	土 5 二 氺
埯	土 大 电
埴	土 直
埵	土 千 艹 二
埸	土 日 勿
培	土 立 口
基	 八 土
埼	土 大 可
埽	土 彐 冖 巾
堂	 口 土
堃	方 方 土
堆	土 亻 亠 龶
堇	廿 口 龶
堉	土 亠 厶 
堋	土 月 月
堌	土 固
堍	土 ⺈ 口 儿 ㇏
堎	土 土 八 夂
堐	土 厂 土 土
堑	 斤 土
堕	阝 𠂇  土
堙	土 覀 土
堞	土 廿 6 木
堠	土 亻 5 1 𠂉 大
堡	亻 口 木 土
堤	土 日 1 龰
堧	土 而 大
堨	土 日 3 5 人 6
堪	土  八 6
堰	土 匚 日 女
堲	彐 6 ㇏ 卩 土
堵	土 十 𠂇 日
堼	土 土 寸 土
堽	土 罒 1 
堾	土 三 人 日
塄	土 罒 方
塅	土 ㇒ 2 三 殳
塆	土 亠 2 2 八 5 丂
塌	土 日 习 习
塍	月 丷 夫 土
塑	丷 1 6 2 3 月 土
塔	土 艹 𠆢 1 口
塘	土 广 5 𰀁 口
塝	土 亠 丷 冖 方
塞	宀 1 艹 1 八 土
塥	土 1 口 冂 丷 1 2
填	土 真
塬	土 厂 白 小
塱	㇏ 彐 6 ㇏ 月 土
塾	亠 口 子 3 ㇈ ㇏ 土
墀	土 尸 2 冫 ㇒ 4 牛
墁	土 日 罒 又
境	土 立 日 儿
墅	日  予 土
墈	土  八 6 力
墉	土 广 5 二  2
墐	土 廿 口 龶
墒	土 亠 丷 冂 八 口
墓	艹 日 大 土
墕	土 1  1 5 灬
墘	土 十 日 十 𠂉 ㇈
墙	土 十 丷 1 囗 口
墚	土 氵 刀 ㇏ ㇏ 木
增	土 丷 囗 ⺌ 日
墟	土 2 1 5 3 七 2 ⺌ 1
墡	土 羊 丷 1 口
墣	土 2 ⺌ 1 丷 1 夫
墦	土 ㇒ 米 田
墨	黑 土
墩	土 亠 口 子 攵
墼	1 日 1 山 殳 土
壁	尸 口 辛 土
壅	亠 6 6 3 亻 亠 龶 土
壑	卜 冖 1 谷 又 土
壕	土 亠 口 冖 豕
壤	土 亠 口 口 1 艹 1 3 6 ㇒ ㇏
士	士
壬	千 1
壮	丬 士
声	士 尸 2
壳	士 冖 几
壶	士 冖 2 ⺌ 1
壸	士 冖 1 2 ⺌ 1
壹	士 冖 1 口 丷 1
处	夂 卜
备	夂 田
复	𠂉 日 夂
夏	1 自 夂
夐	⺈ 2 5 𠆢 目 夂
夔	丷 1 自  巳 八 夂
夕	夕
外	夕 卜
夙	 歹
多	夕 夕
夜	亠 亻 夕 ㇏
够	句 夕 夕
夤	夕 宀 1 日 2 八
夥	日 木 夕 夕
大	大
天	1 大
太	大 ㇏
夫	夫
夬	5 大
夭	㇒ 大
央	冂 大
夯	大 力
失	3 夫
头	氵 人
夷	与 5 人
夸	大 二 5
夹	1 丷 大
夺	大 寸
夼	大 3 2 2
奁	大 匚 乂
奂	⺈ 2 5 大
奄	大 电
奇	大 可
奈	大 二 小
奉	三 人 𰀁
奋	大 田
奎	大 土 土
奏	三 人 1 大
契	丰 刀 大
奓	大 夕 夕
奔	大 十 𠂇 2
奕	亠 3 小 大
奖	丬 夕 大
套	大 1 2 三 厶
奘	6 2 1 3 士 大
奚	爫 6 厶 大
奠	丷 西 1 大
奡	1 自 大 3 2
奢	大 十 𠂇 日
奥	3 冂 米 大
奭	𠂇 1 白 1 白 ㇏
女	女
奴	女 又
奶	女 5 3
奸	女 干
她	女 也
好	女 子
妁	女 勺
如	女 口
妃	女 己
妄	亠 6 女
妆	丬 女
妇	女 彐
妈	女 马
妊	女 千 1
妍	女 1 𠂇 2
妒	女 户
妓	女 十 又
妖	女 ㇒ 大
妗	女 𠆢 ㇏ 5
妘	女 二 厶
妙	女 2 八 3
妞	女 5 
妣	女 比
妤	女 予
妥	爫 女
妧	女 二 儿
妨	女 方
妩	女 二 儿
妪	女 匚 乂
妫	女 为
妭	女 𠂇 又 ㇏
妮	女 尸 匕
妯	女 日 2
妲	女 日 1
妹	女 未
妻	1 5 二 2 女
妾	立 女
姆	女 母
姈	女 𠆢 ㇏ 龴
姊	女 ㇒ 5 2 3
始	女 厶 口
姐	女 且
姑	女 古
姒	女 6 ㇏ 人
姓	女 3 龶
委	禾 女
姗	女 册
姘	女 丷 1 𠂇 2
姚	女 3 冫 6 ㇒ 4
姜	丷 王 女
姝	女 牛 𠆢
姞	女 士 口
姣	女 亠 八 乂
姤	女 ㇒ 𠂉 口
姥	女 十 𠂇 匕
姨	女 1 5 1 5 人
姬	女 匚 2 口 2
姮	女 1 日 1
姱	女 大 二 5
姶	女 𠆢 1 口
姹	女 宀 ㇒ 七
姻	女 囗 大
姽	女 ⺈ 厂 ⺋
姿	冫 ⺈ 人 女
娀	女 戈 𠂇
威	厂 1 女 戈
娃	女 土 土
娄	米 女
娅	女 1 2 ⺌ 1
娆	女 1 6 ㇒ 1 儿
娇	女 ㇒ 大 3 2
娈	亠 2 2 八 女
娉	女 日 2 丂
娌	女 日 
娑	氵 2 八 3 女
娓	女 尸 毛
娘	女 ㇏ 彐 6 ㇒ ㇏
娜	女 5 二 3 阝
娟	女 口 
娠	女 厂 二 6 ㇒ ㇏
娣	女 弟
娥	女 ㇒ 扌 戈
娩	女 ⺈ 口 儿
娱	女 口 1 大
娲	女 口 冂 人
娴	女 门 木
娵	女 耳 又
娶	耳 又 女
娼	女 日 日
婀	女 阝 可
婆	氵 5 3 2 又 女
婉	女 宀 夕 ⺋
婊	女 龶 3 6 ㇒ ㇏
婌	女 2 二 小 又
婍	女 大 可
婕	女 1 5 𰀁 1 3 4
婘	女 丷 夫 ⺋
婚	女 氏 日
婞	女 土 丷 干
婠	女 宀 
婢	女 白 3 十
婤	女  土 口
婧	女 龶 
婪	木 木 女
婫	女 日 比
婳	女 1 田 凵
婴	贝 贝 女
婵	女 丷 日 十
婶	女 宀 日 2
婷	女 亠 口 冖 丁
婺	予 3 攵 女
婻	女 十 冂 丷 干
婼	女 艹 𠂇 口
婿	女 5 2 1 3 4 
媂	女 亠 丷 冖 巾
媄	女 丷 王 大
媆	女 而 大
媒	女 甘 木
媓	女 白 王
媖	女 艹 2 5 大
媚	女 尸 2 目
媛	女 爫 1 𠂇 又
媞	女 日 1 龰
媪	女 日 皿
媭	㇒ ㇒ ㇒ 1 3 贝 女
媱	女 爫 𠂉 1 山
媲	女 3 囗 乂 比
媳	女 自 心
媵	月 丷 夫 女
媸	女 6 2 2 1 虫
媾	女 1 艹 1 冂 
嫁	女 宀 豕
嫂	女 臼 2 又
嫄	女 厂 白 小
嫉	女 疒 𠂉 大
嫌	女 丷 1 5 1 艹 八
嫒	女 爫 冖 𠂇 又
嫔	女 宀 ㇒ 2 1 2 1 八
嫕	女 匚 𠂉 大 心
嫖	女 覀 二 小
嫘	女 田 糸
嫚	女 日 罒 又
嫜	女 立 日 十
嫠	未 攵 厂 女
嫡	女 亠 丷 冂 古
嫣	女 1  1 5 灬
嫦	女  口 巾
嫩	女 束 攵
嫪	女 习 习 𠆢 彡
嫫	女 艹 日 大
嫭	女 2 1 5 3 七 ㇒ 丷 1 2
嫱	女 十 丷 1 囗 口
嫽	女 大 丷 日 小
嬉	女 士 口 丷 1 口
嬖	尸 口 辛 女
嬗	女 亠 囗 口 日 1
嬛	女 罒 1 口 3 6 ㇒ ㇏
嬥	女 习 习 亻 亠 龶
嬬	女  而
嬴	亠 6 口 月 女 几 ㇏
嬷	女 麻 3 厶
嬿	女 廿 口  匕 灬
孀	女  木 目
孅	女 人 人 戈  1 2 三 1
子	子
孑	子
孓	5 卜
孔	子 6
孕	5 3 子
孖	子 子
字	宀 子
存	𠂇 2 子
孙	子 小
孚	爫 子
孛	十 冖 子
孜	子 攵
孝	耂 子
孟	子 皿
孢	子 3 5 巳
季	禾 子
孤	子 ㇒ 3 6 ㇏ ㇏
孥	女 又 子
学	 子
孩	子 亠 6 3 人
孪	亠 2 2 八 子
孬	不 女 子
孰	亠 口 子 3 ㇈ ㇏
孱	尸 子 子 子
孳	丷 1 6 厶 6 厶 子
孵	㇒ 6 ㇏ 3 卩 ㇏ 爫 子
孺	子  而
孽	艹 3  辛 子
宁	宀 丁
它	宀 匕
宄	宀 3 ㇈
宅	宀 ㇒ 七
宇	宀 于
守	宀 寸
安	宀 女
宋	宀 木
完	宀 二 儿
宏	宀 𠂇 厶
宓	宀 ㇏ 6 ㇏ 八
宕	宀 石
宗	宀 二 小
官	宀 
宙	宀 日 2
定	宀 1 龰
宛	宀 夕 ⺋
宜	宀 且
宝	宀 玉
实	宀 氵 人
宠	宀 𠂇  ㇏
审	宀 日 2
客	宀 各
宣	宀 1 日 1
室	宀 至
宥	宀 𠂇 
宦	宀 匚 2 5 1 2
宧	宀 匚 2 口 2
宪	宀  儿
宫	宀 口 口
宬	宀 成
宰	宀 辛
害	宀 丰 口
宴	宀 日 女
宵	宀 ⺌ 
家	宀 豕
宸	宀 厂 二 6 ㇒ ㇏
容	宀 谷
宽	宀 艹 见
宾	宀 ㇒ 2 1 2 1 八
宿	宀 亻 1 白
寁	宀 1 5 𰀁 1 3 4
寂	宀 2 二 小 又
寄	宀 大 可
寅	宀 1 日 2 八
密	宀 ㇏ 6 ㇏ 八 山
寇	宀 二 儿 2 1 又
富	宀 1 口 田
寐	宀 6 2 1 3 未
寒	宀 1 艹 1 八 4 4
寓	宀 日 
寝	宀 丬 彐 冖 又
寞	宀 艹 日 大
察	宀 夕 4 5 ㇏ 二 小
寡	宀 1 3 且 八 刀
寤	宀 6 2 1 3 五 口
寥	宀 习 习 𠆢 彡
寨	宀 1 艹 1 八 1 小
寮	宀 大 丷 日 小
寰	宀 罒 1 口 3 6 ㇒ ㇏
寸	寸
对	又 寸
寺	土 寸
寻	彐 寸
导	巳 寸
寿	三 3 寸
封	土 土 寸
射	3  1 ㇒ 寸
将	丬 夕 寸
尉	尸 二 小 寸
尊	丷 西 1 寸
小	小
少	2 八 3
尔	⺈ 小
尕	5 3 小
尖	小 大
尘	小 土
尚	尚
尜	小 大 小
尝	 二 厶
尢	𠂇 6
尤	尤
尥	𠂇 6 勺
尧	1 6 ㇒ 1 儿
尨	𠂇 6 ㇒ ㇒ ㇒ ㇏
尪	𠂇 6 王
尬	𠂇 6 介
就	亠 口 小 尤
尴	𠂇 6 2 2 𠂉 ㇏ 皿
尸	尸
尹	5 二 3
尺	尸 ㇏
尻	尸 3 ㇈
尼	尸 匕
尽	尸 ㇏ 4 4
尾	尸 毛
尿	尸 水
局	尸 5 口
屁	尸 比
层	尸 二 厶
屃	尸 贝
居	尸 古
屈	尸 出
屉	尸 廿 6
届	尸 日 2
屋	尸 至
屎	尸 米
屏	尸 丷 1 𠂇 2
屐	尸 彳 十 又
屑	尸 ⺌ 
展	尸 艹 1 戈
屙	尸 阝 可
属	尸 ㇒ 口 
屠	尸 十 𠂇 日
屡	尸 米 女
屣	尸 彳  龰
履	尸 彳 𠂉 日 夂
屦	尸 彳 米 女
屯	1 6 2 6
山	山
屹	山 𠂉 ㇈
屺	山 己
屼	山 1 儿
屾	山 山
屿	山 与
岁	山 夕
岂	山 己
岈	山 1 6 2 3
岊	巴 山
岌	山 及
岍	山 1 𠂇 2
岐	山 十 又
岑	山 𠆢 ㇏ 5
岔	八 刀 山
岖	山 匚 乂
岗	山 冂 乂
岘	山 见
岙	㇒ 大 山
岚	山  乂
岛	 山
岜	山 巴
岞	山 𠂉 2 二
岠	山 匚 5 1
岢	山 可
岣	山 句
岨	山 且
岩	山 石
岫	山 日 2
岬	山 日 2
岭	山 𠆢 ㇏ 龴
岱	亻 弋 山
岳	㇒ 2 工 山
岵	山 古
岷	山 民
岸	山 厂 干
岽	山 1 6 小
岿	山 2 3 彐
峁	山 ㇒ 6 3 卩
峂	山 夂 4 4
峃	 山
峄	山 又 𰀁
峋	山 3 5 日
峒	山 冂 1 口
峗	山 ⺈ 厂 ⺋
峘	山 1 日 1
峙	山 土 寸
峛	山 歹 刂
峡	山 1 丷 大
峣	山 1 6 ㇒ 1 儿
峤	山 ㇒ 大 3 2
峥	山 ⺈ 5 二 2
峦	亠 2 2 八 山
峧	山 亠 八 乂
峨	山 ㇒ 扌 戈
峪	山 谷
峭	山 ⺌ 
峰	山 夂 丰
峱	犭 5  山
峻	山 厶 八 夂
峿	山 五 口
崀	山 ㇏ 彐 6 ㇒ ㇏
崁	山 土 ⺈ 人
崂	山 艹 冖 力
崃	山 1 米
崄	山 𠆢 1 ㇏ 丷 1
崆	山 宀 八 工
崇	山 宀 二 小
崌	山 尸 古
崎	山 大 可
崒	山 亠 人 人 十
崔	山 亻 亠 龶
崖	山 厂 土 土
崚	山 土 八 夂
崛	山 尸 出
崞	山 亠 口 子
崟	山 𠆢 干 丷 1
崡	山 5 2 冫 ㇒ 4 6 2
崤	山 乂 𠂇 
崦	山 大 电
崧	山 木 八 厶
崩	山 月 月
崭	山  斤
崮	山 固
崴	山 厂 1 女 戈
崶	山 土 土 寸
崽	山 田 心
崾	山 覀 女
崿	山 口 口 二 5
嵁	山  八 6
嵅	山 厂 1 口 戈
嵇	禾 尤 山
嵊	山 千  匕 𠆢
嵋	山 尸 2 目
嵌	山 甘 ⺈ 人
嵎	山 日 
嵖	山 木 日 1
嵘	山 艹 冖 木
嵚	山 钅 ⺈ 人
嵛	山 𠆢 1  刂
嵝	山 米 女
嵩	山 高
嵫	山 丷 1 6 厶 6 厶
嵬	山 鬼
嵯	山 丷 三 3 工
嵲	山 自 木
嵴	山 冫 ㇒ 4 人 
嶂	山 立 日 十
嶅	龶 5 3 攵 山
嶍	山 习 习 白
嶒	山 丷 囗 ⺌ 日
嶓	山 ㇒ 米 田
嶙	山 米 夕 1 6 2
嶝	山 5 ㇏ 3 3 ㇏ 1 口 丷 1
嶟	山 丷 西 1 寸
嶦	山 ⺈ 厂 八 言
嶲	山 亻 亠 龶 2 6 冂
嶷	山 匕 𠂉 大 龴 5 龰
巅	山 真 1 3 贝
巇	山 2 1 5 3 七 1 口 丷 1 戈
巉	山 ⺈ 口 1 6 匕 ⺈ 口 儿 ㇏
巍	山 千 𠆢 女 鬼
川	3 2 2
州	㇏ 八 2 ㇏ 2
巡	巛 辶
巢	巛 日 木
工	工
左	𠂇 工
巧	工 丂
巨	匚 5 1
巩	工 几 ㇏
巫	工 人 人
差	丷 三 3 工
巯	5 ㇏ 工 亠 厶 
己	己
已	已
巳	巳
巴	巴
巷	艹 1 八 巳
巽	巳 巳 艹 1 八
巾	巾
币	㇒ 巾
市	亠 巾
布	𠂇 巾
帅	2 3 巾
帆	巾 几 ㇏
师	2 3 1 巾
希	乂 𠂇 巾
帏	巾 韦
帐	巾 长
帑	女 又 巾
帔	巾 5 3 2 又
帕	巾 白
帖	巾 2 1 口
帘	宀 八 巾
帙	巾 3 夫
帚	彐 冖 巾
帛	白 巾
帜	巾 口 八
帝	亠 丷 冖 巾
帡	巾 丷 1 𠂇 2
带	 冖 巾
帧	巾 2 1 贝
帨	巾 丷 兄
席	广 廿 巾
帮	三 3 阝 巾
帱	巾 三 3 寸
帷	巾 亻 亠 龶
常	 口 巾
帻	巾 龶 贝
帼	巾 囗 玉
帽	巾 2 5 二 目
幂	冖 日 大 巾
幄	巾 尸 至
幅	巾 1 口 田
幌	巾 日 ⺌ 1 儿
幔	巾 日 罒 又
幕	艹 日 大 巾
幖	巾 覀 二 小
幛	巾 立 日 十
幞	巾 2 ⺌ 1 丷 1 夫
幡	巾 ㇒ 米 田
幢	巾 立 日 
幪	巾 艹 冖 1 豕
干	干
平	1 丷 十
年	𠂉 1 2 十
并	丷 1 𠂇 2
幸	土 丷 干
幺	6 厶
幻	6 厶 5
幼	6 厶 力
幽	山 6 厶 6 厶
广	广
庄	广 土
庆	广 大
庇	广 比
床	广 木
庋	广 十 又
序	广 予
庐	广 户
庑	广 二 儿
库	广 车
应	广 ㇏ 丷 1
底	广 氏 ㇏
庖	广 3 5 巳
店	广 2 1 口
庙	广 日 2
庚	广 5 夫
府	广 付
庞	广 𠂇  ㇏
废	广 6 八 又
庠	广 羊
庤	广 土 寸
庥	广 亻 木
度	广 廿 又
座	广 人 人 土
庭	广 千 1 廴
庱	广 土 八 夂
庳	广 白 3 十
庵	广 大 电
庶	广 廿 灬
康	广 5 二 氺
庸	广 5 二  2
庹	广 廿 尸 ㇏
庼	广 1 6 1 3 贝
庾	广 臼 人
廆	广 鬼
廉	广 丷 1 5 1 艹 八
廊	广 ㇏ 彐 6 ㇏ 阝
廋	广 臼 2 又
廑	广 廿 口 龶
廒	广 龶 5 3 攵
廓	广 亠 口 子 阝
廖	广 习 习 𠆢 彡
廙	广 田 艹 1 八
廛	广 日  八 土
廨	广 ⺈ 用 刀 牛
廪	广 亠 囗 口 二 小
延	㇒ 2 1 6 廴
廷	千 1 廴
建	5 三 十 廴
廿	廿
开	1 𠂇 2
弁	厶 𠂇 2
异	巳 𠂇 2
弃	亠 厶 𠂇 2
弄	王 𠂇 2
弆	土 厶 𠂇 2
弇	𠆢 1 口 𠂇 2
弈	亠 3 小 𠂇 2
弊	丷 巾 八 攵 𠂇 2
弋	弋
式	弋 工
弑	乂 1 小 弋 工
弓	弓
引	弓 2
弗	弓 3 2
弘	弓 厶
弛	弓 也
弟	弟
张	弓 长
弢	弓 6 2 2 又
弥	弓 ⺈ 小
弦	弓 亠 6 厶
弧	弓 ㇒ 3 6 ㇏ ㇏
弨	弓 刀 口
弩	女 又 5 丂
弭	弓 耳
弯	亠 2 2 八 5 丂
弱	弓 冫 5 1 5 冫
弶	弓 亠 口 小
弸	弓 月 月
弹	弓 丷 日 十
强	弓 口 虫
弼	弓 1 白 5 丂
彀	士 冖 1 5 1 5 殳
归	2 3 彐
当	⺌ 彐
录	 氺
彖	6 5 豕
彗	丰 丰 彐
彘	6 5 1 1 6 𠂉 大 匕
彝	6 5 1 米 糸 𠂇 2
彟	彐 寸 艹 亻 亠 龶 又
形	1 𠂇 2 彡
彤	 亠 彡
彦	立 3 彡
彧	戈 口 1 3 3
彩	爫 木 彡
彪	2 1 5 3 七 几 彡
彬	木 木 彡
彭	士 口 丷 1 彡
彰	立 日 十 彡
影	日 亠 口 小 彡
彳	彳
彷	彳 方
役	彳 殳
彻	彳 七 刀
彼	彳 5 3 2 又
往	彳 亠 土
征	彳 1 
徂	彳 且
径	彳 5 ㇏ 工
待	彳 土 寸
徇	彳 3 5 日
很	彳 彐 6 ㇒ ㇏
徉	彳 羊
徊	彳 囗 口
律	彳 5 三 十
徐	彳 𠆢 于 八
徒	彳 土 龰
徕	彳 1 米
得	彳 日 1 寸
徘	彳  1 2 三
徙	彳  龰
徛	彳 大 可
徜	彳 尚
御	彳 𠂉 1  卩
徨	彳 白 王
循	彳 ㇒ 3 十 目
徭	彳 爫 𠂉 1 山
微	彳 山 1 几 攵
徵	彳 山 1 王 攵
德	彳 十 罒 1 心
徼	彳 白 方 攵
徽	彳 山 1 糸 攵
心	心
必	㇏ 6 ㇏ 八
忆	忄 ㇈
忉	忄 刀
忌	己 心
忍	刀 ㇏ 心
忏	忄 千
忐	2 二 心
忑	1 2 4 心
忒	弋 心
忖	忄 寸
志	士 心
忘	亠 6 心
忙	忄 亠 6
忝	1 大 2 ㇏ ㇏ ㇏
忞	文 心
忠	口 2 心
忡	忄 口 2
忤	忄 𠂉 十
忧	忄 尤
忪	忄 八 厶
快	忄 5 大
忭	忄 亠 卜
忮	忄 十 又
忱	忄 冖 儿
忳	忄 1 6 2 6
念	𠆢 ㇏ 5 心
忸	忄 5 
忺	忄 ⺈ 人
忻	忄 斤
忽	勿 心
忾	忄 气
忿	八 刀 心
怀	忄 不
态	大 ㇏ 心
怂	人 人 心
怃	忄 二 儿
怄	忄 匚 乂
怅	忄 长
怆	忄 𠆢 ⺋
怊	忄 刀 口
怍	忄 𠂉 2 二
怎	𠂉 2 二 心
怏	忄 2 5 大
怒	女 又 心
怔	忄 1 
怕	忄 白
怖	忄 𠂇 巾
怙	忄 古
怛	忄 日 1
怜	忄 𠆢 ㇏ 龴
思	田 心
怠	厶 口 心
怡	忄 厶 口
急	⺈ 彐 心
怦	忄 1 丷 十
性	忄 3 龶
怨	夕 ⺋ 心
怩	忄 尸 匕
怪	忄 又 土
怫	忄 5 1 5 3 2
怯	忄 土 厶
怵	忄 木 ㇏
总	丷 口 心
怼	又 寸 心
怿	忄 又 𰀁
恁	亻 千 1 心
恂	忄 3 5 日
恃	忄 土 寸
恋	亠 2 2 八 心
恍	忄 ⺌ 1 儿
恐	工 几 ㇏ 心
恒	忄 1 日 1
恓	忄 西
恔	忄 亠 八 乂
恕	女 口 心
恙	丷 王 心
恚	土 土 心
恝	丰 刀 心
恢	忄 𠂇 火
恣	冫 ⺈ 人 心
恤	忄 3 皿
恧	而 心
恨	忄 彐 6 ㇒ ㇏
恩	囗 大 心
恪	忄 各
恫	忄 冂 1 口
恬	忄 千 口
恭	艹 1 八 2 ㇏ ㇏ ㇏
息	自 心
恰	忄 𠆢 1 口
恳	彐 6 ㇒ ㇏ 心
恶	1 2 ⺌ 1 心
恸	忄 二 厶 力
恹	忄 厂 犬
恺	忄 山 己
恻	忄 贝 刂
恼	忄 亠 乂 凵
恽	忄 冖 车
恿	龴  心
悃	忄 囗 木
悄	忄 ⺌ 
悆	𠆢 于 八 心
悈	忄 戈 𠂇 2
悉	㇒ 米 心
悌	忄 弟
悍	忄 日 干
悒	忄 口 巴
悔	忄 𠂉 母
悖	忄 十 冖 子
悚	忄 束
悛	忄 厶 八 夂
悝	忄 日 
悟	忄 五 口
悠	亻 2 攵 心
悢	忄 ㇏ 彐 6 ㇒ ㇏
患	口 口 2 心
悦	忄 丷 兄
您	亻 ⺈ 小 心
悫	士 冖 几 心
悬	且 厶 心
悭	忄 2 2 又 土
悯	忄 门 文
悰	忄 宀 二 小
悱	忄  1 2 三
悲	 1 2 三 心
悴	忄 亠 人 人 十
悸	忄 千 𠆢 子
悻	忄 土 丷 干
悼	忄 2 1 日 十
情	忄 龶 
惆	忄  土 口
惇	忄 亠 口 子
惊	忄 亠 口 小
惋	忄 宀 夕 ⺋
惎	 八 心
惑	戈 口 1 心
惔	忄 火 火
惕	忄 日 勿
惘	忄 冂 丷 1 亠 6
惙	忄 又 又 又 又
惚	忄 勿 心
惛	忄 氏 日
惜	忄 艹 1 日
惝	忄 尚
惟	忄 亻 亠 龶
惠	1 日 2 1 ㇏ 心
惦	忄 广 2 1 口
惧	忄 且 1 八
惨	忄 厶 大 彡
惩	彳 1  心
惫	夂 田 心
惬	忄 匚 1 丷 大
惭	忄  斤
惮	忄 丷 日 十
惯	忄 6 5 2 1 贝
惰	忄 𠂇 工 
想	木 目 心
惴	忄 山 而
惶	忄 白 王
惹	艹 𠂇 口 心
惺	忄 日 3 龶
愀	忄 千 𠆢 火
愁	禾 火 心
愃	忄 宀 1 日 1
愆	彳 氵 1 丁 心
愈	𠆢 1  刂 心
愉	忄 𠆢 1  刂
愍	民 攵 心
愎	忄 𠂉 日 夂
意	立 日 心
愐	忄 1 3 罒 二
愔	忄 立 日
愕	忄 口 口 二 5
愚	日  心
感	厂 1 口 戈 心
愠	忄 日 皿
愣	忄 罒 方
愤	忄 十 艹 贝
愦	忄 口 2 1 贝
愧	忄 鬼
愫	忄 龶 糸
愭	忄 十 𠂇 匕 日
愿	厂 白 小 心
慆	忄 爫 臼
慈	丷 1 6 厶 6 厶 心
慊	忄 丷 1 5 1 艹 八
慌	忄 艹 亠 6 
慎	忄 真
慑	忄 耳 又 又
慕	艹 日 大 2 ㇏ ㇏ ㇏
慝	匚 艹 𠂇 口 心
慢	忄 日 罒 又
慥	忄  口 辶
慧	丰 丰 彐 心
慨	忄 彐 6 ㇏ 1 6 儿
慬	忄 廿 口 龶
慭	1 米 犬 心
慰	尸 二 小 寸 心
慵	忄 广 5 二  2
慷	忄 广 5 二 氺
憋	丷 巾 八 攵 心
憎	忄 丷 囗 ⺌ 日
憔	忄 亻 亠 龶 灬
憕	忄 5 ㇏ 3 3 ㇏ 1 口 丷 1
憙	士 口 丷 1 口 心
憧	忄 立 日 
憨	5 耳 攵 心
憩	千 口 自 心
憬	忄 日 亠 口 小
憭	忄 大 丷 日 小
憷	忄 木 木 5 龰
憺	忄 ⺈ 厂 八 言
憾	忄 厂 1 口 戈 心
懂	忄 艹 ㇒ 1 日 
懈	忄 ⺈ 用 刀 牛
懊	忄 3 冂 米 大
懋	木 予 3 木 心
懑	氵 艹 1 冂 人 人 心
懒	忄 束 ⺈ 贝
懔	忄 亠 囗 口 二 小
懦	忄  而
