㑇	亻 ⺈ 彐
偭	亻 1 3 罒 二
偰	亻 丰 刀 大
偲	亻 田 心
偶	亻 日 
偷	亻 𠆢 1  刂
偻	亻 米 女
偾	亻 十 艹 贝
偿	亻  二 厶
傀	亻 鬼
傃	亻 龶 糸
傅	亻 甫 寸
傈	亻 覀 木
傉	亻 厂 二 戈 寸
傍	亻 亠 丷 冖 方
傒	亻 爫 6 厶 大
傕	亻 冖 亻 亠 龶
傣	亻 三 人 氺
傥	亻  口 儿
傧	亻 宀 ㇒ 2 1 2 1 八
储	亻 讠 十 𠂇 日
傩	亻 又 亻 亠 龶
催	亻 山 亻 亠 龶
傲	亻 龶 5 3 攵
傺	亻 夕 4 5 ㇏ 二 小
傻	亻 3 囗 乂 八 夂
僇	亻 习 习 𠆢 彡
僎	亻 巳 巳 艹 1 八
像	亻 象
僔	亻 丷 西 1 寸
僖	亻 士 口 丷 1 口
僚	亻 大 丷 日 小
僦	亻 亠 口 小 尤
僧	亻 丷 囗 ⺌ 日
僬	亻 亻 亠 龶 灬
僭	亻 1 6 儿 1 6 儿 日
僮	亻 立 日 
僰	1 巾 𠆢 1 巾 𠆢 人
僳	亻 覀 米
僵	亻 1 田 1 田 1
僻	亻 尸 口 辛
儆	亻 艹 句 攵
儇	亻 罒 1 口 3 6 ㇒ ㇏
儋	亻 ⺈ 厂 八 言
儒	亻  而
儡	亻 田 田 田
儦	亻 广 5 2 2 1 1 6 匕 灬
儳	亻 ⺈ 口 1 6 匕 ⺈ 口 儿 ㇏
儴	亻 亠 口 口 1 艹 1 3 6 ㇒ ㇏
儿	儿
兀	1 儿
允	厶 儿
元	二 儿
兄	兄
充	亠 厶 儿
兆	3 冫 6 ㇒ 4
先	 儿
光	⺌ 1 儿
克	古 儿
免	⺈ 口 儿
兑	丷 兄
兔	⺈ 口 儿 ㇏
兕	2 6 2 5 1 儿
兖	亠 八 厶 儿
党	 口 儿
兜	白 ㇒ 6 5 1 儿
兢	古 儿 古 儿
入	3 ㇏
全	𠆢 王
八	八
公	八 厶
六	亠 八
兮	八 丂
兰	丷 1 二
共	艹 1 八
关	丷 1 大
兴	㇏ 丷 1 八
兵	㇒ 2 1 2 1 八
其	 八
具	且 1 八
典	冂 艹 1 八
兹	丷 1 6 厶 6 厶
养	丷 1 夫 3 2
兼	丷 1 5 1 艹 八
兽	丷 田 1 口
冀	 匕 田 艹 1 八
冁	丷 日 十 尸 艹 1 戈
内	冂 人
冈	冂 乂
冉	冂 
册	册
再	1 冂 
冏	冂 八 口
冒	冂 二 目
冔	冂 二 口 于
冕	冂 二 ⺈ 口 儿
冗	冖 几
写	冖 与
军	冖 车
农	冖 3 6 ㇒ ㇏
冠	冖 二 儿 寸
冢	冖 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
冤	冖 ⺈ 口 儿 ㇏
冥	冖 日 亠 八
冬	夂 4 4
冮	冫 工
冯	冫 马
冰	冫 水
冱	冫 1 6 5 1
冲	冫 口 2
决	冫 5 大
况	冫 兄
冶	冫 厶 口
冷	冫 𠆢 ㇏ 龴
冻	冫 1 6 小
冼	冫  儿
冽	冫 歹 刂
净	冫 ⺈ 5 二 2
凄	冫 1 5 二 2 女
准	冫 亻 亠 龶
凇	冫 木 八 厶
凉	冫 亠 口 小
凋	冫  土 口
凌	冫 土 八 夂
减	冫 厂 1 口 戈
凑	冫 三 人 1 大
凓	冫 覀 木
凘	冫  八 斤
凛	冫 亠 囗 口 二 小
凝	冫 匕 𠂉 大 龴 5 龰
几	几
凡	几 ㇏
凤	 又
凫	 几
凭	亻 千 1 几
凯	山 己 几
凰	 白 王
凳	5 ㇏ 3 3 ㇏ 1 口 丷 1 几
凶	乂 凵
凸	2 1 2 5 1
凹	2 6 2 5 1
出	出
击	二 山
凼	水 凵
函	了 冫 ㇒ 4 6 2
凿	2 ⺌ 1 丷 干 凵
刀	刀
刁	5 1
刃	刀 ㇏
分	八 刀
切	七 刀
刈	乂 刂
刊	干 刂
刍	⺈ 彐
刎	勿 刂
刑	1 𠂇 2 刂
划	戈 刂
刖	月 刂
列	歹 刂
刘	文 刂
则	贝 刂
刚	冂 乂 刂
创	𠆢 ⺋ 刂
初	衤 刀
删	册 刂
判	丷 二 3 刂
刨	勹 巳 刂
利	禾 刂
别	口 力 刂
刬	二 戈 刂
刭	5 ㇏ 工 刂
刮	千 口 刂
到	至 刂
刳	大 二 5 刂
制	3 二 巾 刂
刷	尸 巾 刂
券	丷 夫 刀
刹	乂 1 小 刂
刺	1 巾 𠆢 刂
刻	亠 6 3 人 刂
刽	𠆢 二 厶 刂
刿	山 夕 刂
剀	山 己 刂
剁	几 木 刂
剂	文 3 2 刂
剃	弟 刂
剅	1 口 丷 1 刂
削	⺌  刂
剋	古 儿 刂
剌	束 刂
前	丷 1  刂
剐	口 冂 人 刂
剑	𠆢 1 ㇏ 丷 1 刂
剔	日 勿 刂
剕	 1 2 三 刂
