级别	频率	字	现拆分	处置(留空待填)
L1	4106	逅	㇒ 𠂉 口 辶	
L1	4075	聿	5 三 十	
L1	4038	砾	石 ㇒ 6 小	
L1	4029	琵	王 王 1 6 匕	
L1	4002	楂	木 木 日 1	
L1	3975	窘	宀 八 5 二 3 口	
L1	3972	潢	氵 艹 1 1 日 乂	
L1	3956	揩	扌 1 6 匕 白	
L1	3936	蛆	虫 2 5 三	
L1	3931	戛	1 自 戈	
L1	3922	胧	月 𠂇  ㇏	
L1	3890	颧	艹 口 口 亻 亠 龶 1 3 贝	
L1	3864	颢	日 亠 口 小 1 3 贝	
L1	3794	睾	3 罒 土 丷 干	
L1	3718	挎	扌 大 二 5	
L1	3669	淖	氵 2 1 日 十	
L1	3668	岫	山 日 2	
L1	3647	锺	钅 ㇒ 1 日 	
L1	3640	抻	扌 日 2	
L1	3625	鲇	鱼 2 1 口	
L1	3613	粱	氵 刀 ㇏ ㇏ 米	
L1	3567	匮	匚 口 2 1 贝	
L1	3557	畈	田 ㇒ 3 又	
L1	3503	锟	钅 日 1 6 匕	
L1	3488	嵇	禾 𠂇 6 ㇏ 山	
L1	3455	虬	虫 6	
L1	3370	涣	氵 ⺈ 2 5 大	
L1	3321	衅	3 皿 丷 𰀁	
L1	3299	劾	亠 6 3 人 力	
L1	3280	苋	艹 2 5 儿	
L1	3270	踮	 广 2 1 口	
L1	3269	萜	艹 巾 2 1 口	
L1	3227	謇	宀 1 艹 1 八 言	
L1	3203	恂	忄 3 5 日	
L1	3195	珣	王 3 5 日	
L1	3152	迸	丷 1 𠂇 2 辶	
L1	3135	咙	口 𠂇  ㇏	
L1	3131	泱	氵 2 5 大	
L1	3124	岘	山 2 5 儿	
L1	3079	笕	⺮ 2 5 儿	
L1	3060	痪	疒 ⺈ 2 5 大	
L1	3054	倬	亻 2 1 日 十	
L1	3023	苫	艹 2 1 口	
L1	2973	椴	木 ㇒ 2 三 殳	
L1	2968	槲	木 ⺈ 用 氵 2	
L1	2920	韫	二 5 2 日 皿	
L1	2904	辊	 日 1 6 匕	
L1	2853	碴	石 木 日 1	
L1	2823	颙	日  1 3 贝	
L1	2819	瑁	王 2 5 二 目	
L1	2817	唧	口 彐 6 ㇏ 卩	
L1	2805	钹	钅 𠂇 又 ㇏	
L1	2698	翀	习 习 口 2	
L1	2672	觐	廿 口 龶 2 5 儿	
L1	2650	鲱	鱼  1 2 三	
L1	2622	馔	⺈ 6 巳 巳 艹 1 八	
L1	2542	罄	士 尸 2 殳 𠂉 1 山	
L1	2503	繇	爫 𠂉 1 山 ㇒ 糸	
L1	2498	诅	讠 2 5 三	
L1	2434	虻	虫 亠 6	
L1	2427	甥	3 龶 田 力	
L1	2419	砵	石 木 1	
L1	2402	菟	艹 ⺈ 口 儿 ㇏	
L1	2379	汊	氵 又 ㇏	
L1	2376	谂	讠 𠆢 ㇏ 5 心	
L1	2367	芘	艹 1 6 匕	
L1	2346	鲣	鱼 2 2 又 土	
L1	2338	鞅	廿 口 十 2 5 大	
L1	2322	嵴	山 冫 ㇒ 4 人 	
L1	2321	咄	口 6 2 山	
L1	2282	鄱	㇒ 米 田 阝	
L1	2272	陛	阝 1 6 匕 土	
L1	2262	泺	氵 ㇒ 6 小	
L1	2252	谔	讠 口 口 二 5	
L1	2250	蹇	宀 1 艹 1 八 足	
L1	2187	掬	扌 3 5 米	
L1	2186	钣	钅 ㇒ 3 又	
L1	2180	砧	石 2 1 口	
L1	2178	茁	艹 6 2 山	
L1	2169	椽	木 6 5 豕	
L1	2138	阈	门 戈 口 1	
L1	2131	酢	西 1 𠂉 2 二	
L1	2128	苡	艹 6 ㇏ 人	
L1	2126	怛	忄 日 1	
L1	2117	孪	亠 2 2 八 子	
L1	2086	缬	纟 士 口 1 3 贝	
L1	2083	钽	钅 日 1	
L1	2076	锷	钅 口 口 二 5	
L1	2073	螭	虫 亠 乂 6 2 冂 厶	
L1	2052	赉	1 米 贝	
L1	2032	袒	衤 日 1	
L1	2012	惦	忄 广 2 1 口	
L1	2012	鎏	氵 亠 厶  𠆢 干 丷 1	
L1	1957	獒	龶 5 3 攵 犬	
L1	1954	愕	忄 口 口 二 5	
L1	1928	纫	纟 刀 ㇏	
L1	1921	缑	纟 亻 5 1 𠂉 大	
L1	1907	伫	亻 宀 1	
L1	1873	滏	氵 八 乂 干 丷 1	
L1	1868	黜	囗 丷  灬 6 2 山	
L1	1861	煅	火 ㇒ 2 三 殳	
L1	1856	顼	王 1 3 贝	
L1	1853	狎	犭 日 2	
L1	1849	荏	艹 亻 千 1	
L1	1837	焜	火 日 1 6 匕	
L1	1819	窿	宀 八 阝 夂 1 3 龶	
L1	1812	颀	斤 1 3 贝	
L1	1800	沭	氵 木 ㇏	
L1	1763	庹	广 廿 尸 ㇏	
L1	1757	蜚	 1 2 三 虫	
L1	1749	贽	扌 3 ㇈ ㇏ 贝	
L1	1743	鹉	1 弋  鸟	
L1	1731	疽	疒 2 5 三	
L1	1708	苴	艹 2 5 三	
L1	1707	骜	龶 5 3 攵 马	
L1	1697	铄	钅 ㇒ 6 小	
L1	1693	掾	扌 6 5 豕	
L1	1688	绺	纟 夂 2 4 口	
L1	1658	皈	白 ㇒ 3 又	
L1	1627	柝	木 斤 ㇏	
L1	1614	咆	口 3 5 巳	
L1	1608	垓	土 亠 6 3 人	
L1	1598	撷	扌 士 口 1 3 贝	
L1	1589	闩	门 1	
L1	1547	鹡	冫 ㇒ 4 人  鸟	
L1	1540	醍	西 1 日 1 龰	
L1	1522	瘠	疒 冫 ㇒ 4 人 	
L1	1521	锛	钅 大 十 𠂇 2	
L1	1520	浐	氵 立 3	
L1	1505	陉	阝 5 ㇏ 工	
L1	1492	赜	匚 2 口 2 龶 贝	
L1	1490	焓	火 𠆢 ㇏ 5 口	
L1	1485	庖	广 3 5 巳	
L1	1483	榧	木 匚  1 2 三	
L1	1481	肟	月 二 5	
L1	1478	遨	龶 5 3 攵 辶	
L1	1444	衩	衤 又 ㇏	
L1	1437	靥	厂 犬 1 3 罒 二	
L1	1432	妣	女 1 6 匕	
L1	1429	魑	鬼 亠 乂 6 2 冂 厶	
L1	1410	苎	艹 宀 1	
L1	1405	徇	彳 3 5 日	
L1	1401	囱	3 囗 夂	
L1	1392	颛	山 而 1 3 贝	
L1	1391	痱	疒  1 2 三	
L1	1383	篝	⺮ 1 艹 1 冂 	
L1	1382	棹	木 2 1 日 十	
L1	1381	衾	𠆢 ㇏ 5 衣	
L1	1332	俳	亻  1 2 三	
L1	1329	癀	疒 艹 1 1 日 乂	
L1	1324	亶	亠 囗 口 日 1	
L1	1316	疸	疒 日 1	
L1	1303	衽	衤 千 1	
L1	1294	樗	木  二 5	
L1	1288	噙	口 𠆢 亠 乂 6 2 冂 厶	
L1	1273	楯	木 ㇒ 3 十 目	
L1	1272	鹂	1   鸟	
L1	1264	囟	3 囗 乂	
L1	1257	珅	王 日 2	
L1	1250	栌	木 2 1 尸	
L1	1229	笪	⺮ 日 1	
L1	1227	忡	忄 口 2	
L1	1224	悭	忄 2 2 又 土	
L1	1222	俎	人 人 2 5 三	
L1	1179	仞	亻 刀 ㇏	
L1	1175	忐	2 二 心	
L1	1172	怏	忄 2 5 大	
L1	1169	诽	讠  1 2 三	
L1	1167	姒	女 6 ㇏ 人	
L1	1161	潟	氵 臼 3 5 灬	
L1	1153	晷	日 夂 2 4 口	
L1	1138	璈	王 龶 5 3 攵	
L1	1131	胪	月 2 1 尸	
L1	1109	昝	夂 2 4 日	
L1	1109	轫	 刀 ㇏	
L1	1109	郏	1 丷 大 阝	
L1	1104	绂	纟 𠂇 又 ㇏	
L1	1083	阂	门 亠 6 3 人	
L1	1079	酆	山 丰 丰 1 口 丷 1 阝	
L1	1069	垕	㇒ 𠂉 口 土	
L1	1064	茏	艹 𠂇  ㇏	
L1	1051	枇	木 1 6 匕	
L1	1041	邴	1 冂 人 阝	
L1	1022	玷	王 2 1 口	
L1	991	绌	纟 6 2 山	
L1	986	胛	月 日 2	
L1	976	阄	门 ⺈ 日 6	
L1	969	錾	 斤 𠆢 干 丷 1	
L1	965	觊	山 己 2 5 儿	
L1	959	螽	夂 4 4 虫 虫	
L1	945	颡	又 又 又 木 1 3 贝	
L1	940	隰	阝 日 6 厶 6 厶 灬	
L1	919	雩	 二 5	
L1	914	磲	石 氵 匚 5 1 木	
L1	911	檎	木 𠆢 亠 乂 6 2 冂 厶	
L1	904	裟	氵 2 八 3 衣	
L1	899	旮	3 ㇈ 日	
L1	894	杈	木 又 ㇏	
L1	867	枧	木 2 5 儿	
L1	867	笥	⺮ 5 1 口	
L1	849	腼	月 1 3 罒 二	
L1	839	蓥	艹 冖 𠆢 干 丷 1	
L1	836	舯	舟 口 2	
L1	830	卮	㇒ 𠂉 ⺋	
L1	829	揸	扌 木 日 1	
L1	816	蚯	虫 ㇒ 2 工	
L1	814	鲅	鱼 𠂇 又 ㇏	
L1	805	祓	礻 𠂇 又 ㇏	
L1	803	喈	口 1 6 匕 白	
L1	798	呻	口 日 2	
L1	788	跸	 1 6 匕 十	
L1	779	夤	夕 宀 1 日 2 八	
L1	755	虺	1 儿 虫	
L1	755	钆	钅 6	
L1	754	呔	口 大 ㇏	
L1	729	赅	贝 亠 6 3 人	
L1	724	蝌	虫 千 𠆢 氵 2	
L1	723	葚	艹  八 6	
L1	722	狍	犭 3 5 巳	
L1	721	垆	土 2 1 尸	
L1	718	亍	1 丁	
L1	711	鸷	扌 3 ㇈ ㇏ 鸟	
L1	706	魃	鬼 𠂇 又 ㇏	
L1	685	栒	木 3 5 日	
L1	674	砒	石 1 6 匕	
L1	664	栊	木 𠂇  ㇏	
L1	663	峋	山 3 5 日	
L1	661	岿	山 2 3 彐	
L1	660	龊	 人 6 2 足	
L1	648	蚪	虫 氵 2	
L1	638	饸	⺈ 6 𠆢 1 口	
L1	630	嵖	山 木 日 1	
L1	617	嬗	女 亠 囗 口 日 1	
L1	615	浈	氵 2 1 贝	
L1	611	猹	犭 木 日 1	
L1	599	甪	3 用	
L1	591	篑	⺮ 口 2 1 贝	
L1	586	蕖	艹 氵 匚 5 1 木	
