词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
舰长	jmih	jmvh	jian4 zhang3	158	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还击	hdji	hrji	huan2 ji1	155	第一批；应用前抽查并按基础词表原顺序重排新码位候选
炮弹	pctj	pcdj	pao4 dan4	153	第一批；应用前抽查并按基础词表原顺序重排新码位候选
出没	iumw	iumo	chu1 mo4	152	第一批；应用前抽查并按基础词表原顺序重排新码位候选
伎俩	jilx	jill	ji4 liang3	146	第一批；应用前抽查并按基础词表原顺序重排新码位候选
止血	vixp	vixt	zhi3 xue4	143	第一批；应用前抽查并按基础词表原顺序重排新码位候选
坦率	tjlv	tjuk	tan3 shuai4	139	第一批；应用前抽查并按基础词表原顺序重排新码位候选
淹没	yjmw	yjmo	yan1 mo4	139	第一批；应用前抽查并按基础词表原顺序重排新码位候选
伺候	sihz	cihz	ci4 hou4	138	第一批；应用前抽查并按基础词表原顺序重排新码位候选
社长	ueih	uevh	she4 zhang3	138	第一批；应用前抽查并按基础词表原顺序重排新码位候选
心血	xbxp	xbxt	xin1 xue4	136	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血清	xpqk	xtqk	xue4 qing1	135	第一批；应用前抽查并按基础词表原顺序重排新码位候选
萝卜	lobu	lobo	luo2 bo5	134	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重逢	vsfg	isfg	chong2 feng2	132	第一批；应用前抽查并按基础词表原顺序重排新码位候选
草率	cclv	ccuk	cao3 shuai4	130	第一批；应用前抽查并按基础词表原顺序重排新码位候选
堵塞	dusd	duse	du3 se4	124	第一批；应用前抽查并按基础词表原顺序重排新码位候选
反省	fjug	fjxk	fan3 xing3	123	第一批；应用前抽查并按基础词表原顺序重排新码位候选
铃铛	lkig	lkdh	ling2 dang1	121	第一批；应用前抽查并按基础词表原顺序重排新码位候选
衣着	yive	yivo	yi1 zhuo2	120	第一批；应用前抽查并按基础词表原顺序重排新码位候选
埋怨	mdyr	mjyr	man2 yuan4	118	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹头	tjtz	djtz	dan4 tou2	118	第一批；应用前抽查并按基础词表原顺序重排新码位候选
班长	bjih	bjvh	ban1 zhang3	117	第一批；应用前抽查并按基础词表原顺序重排新码位候选
邮差	yzia	yzid	you2 chai1	117	第一批；应用前抽查并按基础词表原顺序重排新码位候选
热血	rexp	rext	re4 xue4	116	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行列	xklp	hhlp	hang2 lie4	116	第一批；应用前抽查并按基础词表原顺序重排新码位候选
镇长	vfih	vfvh	zhen4 zhang3	115	第一批；应用前抽查并按基础词表原顺序重排新码位候选
丰盛	fgig	fgug	feng1 sheng4	114	第一批；应用前抽查并按基础词表原顺序重排新码位候选
自传	ziir	zivr	zi4 zhuan4	112	第一批；应用前抽查并按基础词表原顺序重排新码位候选
流露	lqlz	lqlu	liu2 lu4	111	第一批；应用前抽查并按基础词表原顺序重排新码位候选
强劲	qljb	qljk	qiang2 jing4	110	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行家	xkjx	hhjx	hang2 jia1	107	第一批；应用前抽查并按基础词表原顺序重排新码位候选
熟练	uzlm	uulm	shu2 lian4	105	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重申	vsuf	isuf	chong2 shen1	102	第一批；应用前抽查并按基础词表原顺序重排新码位候选
