单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
饺,3695,jnge,1,1,饺,27575,交割 交个,,,retain_single,按发布候选顺序落实,
馅,3696,xmgl,1,1,馅,8307,闲逛,,,retain_single,按发布候选顺序落实,
驹,3708,junj,1,1,驹,57906,莒南,,,retain_single,按发布候选顺序落实,
骏,3715,jyng,1,1,骏,41658,均能,,,retain_single,按发布候选顺序落实,
鲍,3724,bcyt,1,1,鲍,27784,包月,6639,抱成一团,retain_single,按发布候选顺序落实,
鲷,3727,dnyj,2,2,貂,18429,吊唁,,,retain_single,按发布候选顺序落实,
鳍,3730,qiya,1,2,气压,9666,气压 欺压,,,word_first,已裁决,气压／欺压优先；鳍有三码次选
鳝,3732,ujyj,1,1,鳝,48040,山岩 善言,,,retain_single,按发布候选顺序落实,
鸽,3737,gedc,1,1,鸽,55980,割刀,,,retain_single,按发布候选顺序落实,
鹅,3739,eebc,1,1,鹅,16335,恶报,,,retain_single,按发布候选顺序落实,
鹭,3741,lukc,1,1,鹭,21378,路考,,,retain_single,按发布候选顺序落实,
麟,3745,lbbh,1,1,麟,21635,邻邦,,,retain_single,按发布候选顺序落实,
黔,3748,qmtv,1,1,黔,25245,前腿,,,retain_single,按发布候选顺序落实,
鼠,3752,uulz,1,1,鼠,20996,疏漏,,,retain_single,按发布候选顺序落实,
㙘,3767,ycpm,1,2,药片,11074,药片,,,word_first,按发布候选顺序落实,
㛃,3769,jpxm,1,2,界限,5085,界限 接线 界线,,,word_first,按发布候选顺序落实,
㥄,3776,lkvg,2,3,领证,26536,领证,,,word_first,按发布候选顺序落实,
㰀,3787,liao,1,1,㰀,45711,李敖,,,retain_single,按发布候选顺序落实,
㺄,3796,yuhe,1,2,愈合,11940,愈合,,,word_first,按发布候选顺序落实,
㻬,3797,tutz,1,2,秃头,6120,秃头 兔头,,,word_first,按发布候选顺序落实,
䎃,3806,rjln,1,2,燃料,5771,燃料 染料,,,word_first,按发布候选顺序落实,
䓛,3813,ququ,1,2,区区,12715,区区 蛐蛐 屈曲,,,word_first,按发布候选顺序落实,
䓨,3814,ykqb,2,2,罂,31933,迎亲,,,retain_single,按发布候选顺序落实,
䓫,3815,qiqn,2,3,七窍,24481,七窍 奇巧,,,word_first,按发布候选顺序落实,
䜣,3821,xbmf,1,1,䜣,45929,心门,,,retain_single,按发布候选顺序落实,
䝙,3822,iuye,1,1,䝙,36580,初夜,,,retain_single,按发布候选顺序落实,
䥽,3826,pong,1,1,䥽,43293,颇能,,,retain_single,按发布候选顺序落实,
䦃,3827,vona,1,2,捉拿,22910,捉拿,,,word_first,按发布候选顺序落实,
䲟,3828,ybyi,1,2,音译,18106,音译 引以 阴翳,,,word_first,按发布候选顺序落实,
䴘,3836,tikc,1,1,䴘,50905,替考,,,retain_single,按发布候选顺序落实,
䴙,3837,pitc,1,2,皮套,24115,皮套,,,word_first,按发布候选顺序落实,
丕,3840,pirr,1,2,疲软,16546,疲软,,,word_first,按发布候选顺序落实,
亟,3851,jixr,1,1,亟,54393,机选,,,retain_single,按发布候选顺序落实,
亟,3851,qixr,1,1,亟,43631,气旋,,,retain_single,按发布候选顺序落实,
亢,3853,khbd,1,1,亢,33021,康柏,11167,葵花宝典,retain_single,按发布候选顺序落实,
亵,3855,xpgh,1,1,亵,35715,斜杠,,,retain_single,按发布候选顺序落实,
亸,3857,doks,1,2,多孔,25452,多孔 多空,,,word_first,按发布候选顺序落实,
仄,3861,zecd,1,1,仄,30649,择菜,,,retain_single,按发布候选顺序落实,
仞,3864,rfzd,1,1,仞,37019,认栽,,,retain_single,按发布候选顺序落实,
伈,3871,xbzv,1,2,心醉,17258,心醉,,,word_first,按发布候选顺序落实,
伉,3872,khzd,1,2,抗灾,21814,抗灾,,,word_first,按发布候选顺序落实,
伎,3874,jizg,1,2,激增,19648,激增,,,word_first,按发布候选顺序落实,
佁,3884,yizj,1,1,佁,45238,已赞,,,retain_single,按发布候选顺序落实,
佖,3886,bizv,1,2,闭嘴,8425,闭嘴,,,word_first,按发布候选顺序落实,
佶,3896,jizj,1,2,积攒,11438,积攒,,,word_first,按发布候选顺序落实,
侏,3907,vuzs,1,1,侏,47649,猪鬃,,,retain_single,按发布候选顺序落实,
俎,3918,zudr,1,2,阻断,12659,阻断,,,word_first,按发布候选顺序落实,
俟,3924,qizs,1,1,俟,55426,气宗,,,retain_single,按发布候选顺序落实,
俣,3926,yuzv,1,1,俣,46904,鱼嘴,,,retain_single,按发布候选顺序落实,
俸,3934,fgze,1,1,俸,56894,丰泽,,,retain_single,按发布候选顺序落实,
倏,3937,uuzv,1,2,赎罪,16915,赎罪 恕罪,,,word_first,按发布候选顺序落实,
倥,3943,kszs,1,1,倥,55283,倥偬,,,retain_single,按发布候选顺序落实,
倨,3945,juzg,1,2,剧增,20982,剧增,,,word_first,按发布候选顺序落实,
偓,3956,wozh,1,1,偓,34817,窝赃,,,retain_single,按发布候选顺序落实,
偬,3959,zszv,1,1,偬,57583,宗罪,,,retain_single,按发布候选顺序落实,
偰,3961,xpzv,1,2,谢罪,24556,谢罪,,,word_first,按发布候选顺序落实,
傣,3972,ddzo,1,1,傣,46909,呆坐,,,retain_single,按发布候选顺序落实,
僭,3983,jmza,1,1,僭,35274,间杂,,,retain_single,按发布候选顺序落实,
儆,3987,jkzg,1,2,净增,25175,净增 敬赠,,,word_first,按发布候选顺序落实,
兀,3994,wunn,1,1,兀,59612,无尿,,,retain_single,按发布候选顺序落实,
兖,3996,yjbn,1,1,兖,53889,言表,,,retain_single,按发布候选顺序落实,
凫,4011,fucd,2,2,腐,31764,福彩 辅材,,,retain_single,按发布候选顺序落实,
刍,4014,iumm,1,2,出面,8016,出面,,,word_first,按发布候选顺序落实,
剟,4030,dogo,1,1,剟,41696,多国,,,retain_single,按发布候选顺序落实,
剡,4031,ujwo,1,1,剡,32223,山窝,,,retain_single,按发布候选顺序落实,
劁,4033,qnpo,1,1,劁,42267,敲破,,,retain_single,按发布候选顺序落实,
劓,4037,yilo,1,2,遗落,22288,遗落,,,word_first,按发布候选顺序落实,
劼,4041,jppk,1,1,劼,16001,截屏,,,retain_single,按发布候选顺序落实,
劾,4042,hebk,1,2,合并,7579,合并,,,word_first,按发布候选顺序落实,
勍,4043,qkkk,1,2,轻快,11751,轻快,,,word_first,按发布候选顺序落实,
勐,4044,mgxk,1,1,勐,31582,猛醒 梦醒,,,retain_single,按发布候选顺序落实,
勔,4045,mmlk,1,1,勔,49452,棉铃,,,retain_single,按发布候选顺序落实,
勖,4046,xulk,1,1,勖,38564,虚灵,,,retain_single,按发布候选顺序落实,
勰,4049,xpkv,1,1,勰,50395,血亏,,,retain_single,按发布候选顺序落实,
匜,4053,yilh,1,2,伊朗,7838,伊朗,,,word_first,按发布候选顺序落实,
匾,4058,bmlq,1,1,匾,55799,变流,,,retain_single,按发布候选顺序落实,
卣,4063,yzsr,2,3,油酸,28512,油酸,,,word_first,按发布候选顺序落实,
厥,4070,jtcd,1,1,厥,42814,绝才 蕨菜,,,retain_single,按发布候选顺序落实,
叵,4081,polj,1,2,破烂,6537,破烂,,,word_first,按发布候选顺序落实,
吮,4090,uyjn,1,1,吮,36704,顺脚,,,retain_single,按发布候选顺序落实,
吽,4092,hsjn,1,2,红椒,28909,红椒,,,word_first,按发布候选顺序落实,
呖,4098,lijk,1,2,历经,7690,历经 离境 离京,,,word_first,按发布候选顺序落实,
呱,4102,gujb,1,2,鼓劲,14046,鼓劲 古今 股金,,,word_first,按发布候选顺序落实,
咙,4118,lsjk,1,2,龙井,19421,龙井,,,word_first,按发布候选顺序落实,
咛,4120,nkjn,1,1,咛,34177,凝胶,,,retain_single,按发布候选顺序落实,
咣,4123,gljn,1,2,广角,13323,广角 光脚,,,word_first,按发布候选顺序落实,
咿,4130,yijk,1,2,已经,19,已经 意境 易经 一经,,,word_first,已裁决,已经等词优先；咿有三码次选
哂,4131,ufjy,1,1,哂,48463,神君,,,retain_single,按发布候选顺序落实,
哔,4137,bijb,1,2,逼近,16358,逼近,,,word_first,按发布候选顺序落实,
哕,4138,hvjx,1,2,回家,100,回家 汇价,,,word_first,按发布候选顺序落实,
哕,4138,ytjx,1,2,越加,23086,越加 约架,,,word_first,按发布候选顺序落实,
哙,4140,kkjk,1,1,哙,33262,块茎,,,retain_single,按发布候选顺序落实,
唁,4150,yjjm,1,2,眼见,8946,眼见 眼尖 眼睑 盐碱,,,word_first,按发布候选顺序落实,
唝,4154,hsjq,1,2,红酒,21667,红酒,3747,婚丧嫁娶,word_first,按发布候选顺序落实,
唧,4157,jijy,1,2,季军,19518,季军,3146,基础教育 即插即用,word_first,按发布候选顺序落实,
啕,4171,tcjb,1,2,淘金,15050,淘金,,,word_first,按发布候选顺序落实,
啬,4177,sebj,1,1,啬,34289,色斑,16591,死而不僵,retain_single,按发布候选顺序落实,
啭,4178,vrjk,1,1,啭,47661,专精,,,retain_single,按发布候选顺序落实,
啶,4183,dkjl,1,1,啶,41771,定将,,,retain_single,按发布候选顺序落实,
啷,4184,lhjy,1,2,郎君,15983,郎君,16020,灵活就业,word_first,按发布候选顺序落实,
喆,4190,vepj,1,1,喆,48292,这盘,,,retain_single,按发布候选顺序落实,
喳,4200,iajr,1,1,喳,37400,查卷,,,retain_single,按发布候选顺序落实,
喳,4200,vajr,1,1,喳,46330,诈捐,,,retain_single,按发布候选顺序落实,
喹,4202,kvjp,1,1,喹,41404,匮竭,,,retain_single,按发布候选顺序落实,
嗌,4206,yijt,2,2,邑,39118,一绝,,,retain_single,按发布候选顺序落实,
嗥,4216,hcjb,1,2,耗尽,9614,耗尽 好近,,,word_first,按发布候选顺序落实,
嗬,4220,hejn,2,2,呵,23092,合脚,,,retain_single,按发布候选顺序落实,
嘘,4229,uijr,1,2,试卷,7089,试卷,,,word_first,按发布候选顺序落实,
嘟,4234,dujy,1,1,嘟,56882,毒菌,,,retain_single,按发布候选顺序落实,
嘡,4235,thjp,1,2,堂姐,15396,堂姐,,,word_first,按发布候选顺序落实,
嘤,4237,ykjm,1,2,硬件,5478,硬件 营建,,,word_first,按发布候选顺序落实,
嘧,4238,miju,1,1,嘧,34390,迷局 蜜橘,,,retain_single,按发布候选顺序落实,
噤,4253,jbjq,1,1,噤,40173,禁酒,,,retain_single,按发布候选顺序落实,
噱,4256,xtjy,1,1,噱,36323,学军,,,retain_single,按发布候选顺序落实,
