单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
萏,6839,djql,1,1,萏,56923,单枪,9373,地尽其利,retain_single,按发布候选顺序落实,
萑,6840,hrqp,1,1,萑,52951,环切,,,retain_single,按发布候选顺序落实,
萣,6844,dkql,1,1,萣,58856,钉枪,,,retain_single,按发布候选顺序落实,
萳,6847,njqb,1,1,萳,45228,男寝,,,retain_single,按发布候选顺序落实,
葶,6865,tkqn,1,1,葶,45070,挺巧,,,retain_single,按发布候选顺序落实,
葺,6867,qiqm,1,2,七千,10859,七千,,,word_first,按发布候选顺序落实,
蒇,6869,ijqq,1,1,蒇,58182,铲球,,,retain_single,按发布候选顺序落实,
蒈,6870,kdql,1,2,开枪,2454,开枪 开腔,,,word_first,按发布候选顺序落实,
蒌,6872,lzqm,1,1,蒌,42442,楼前,,,retain_single,按发布候选顺序落实,
蒡,6877,bhql,1,2,帮腔,26096,帮腔,9372,不合情理,word_first,按发布候选顺序落实,
蒨,6878,qmqr,1,1,蒨,43192,钱权 缱绻,,,retain_single,按发布候选顺序落实,
蒺,6883,jiqs,2,2,芨,53019,技穷,,,retain_single,按发布候选顺序落实,
蓇,6888,guqb,2,3,古琴,19372,古琴,,,word_first,按发布候选顺序落实,
蓢,6897,lhqr,1,1,蓢,54988,狼犬,,,retain_single,按发布候选顺序落实,
蓣,6898,yuqq,1,2,欲求,29867,欲求,,,word_first,按发布候选顺序落实,
蔀,6904,buqy,1,1,蔀,40631,不群 布裙,,,retain_single,按发布候选顺序落实,
蔸,6913,dzqn,1,2,陡峭,18412,陡峭,,,word_first,按发布候选顺序落实,
蔼,6917,aiql,1,1,蔼,52285,矮墙,,,retain_single,按发布候选顺序落实,
蕈,6919,xyqb,1,1,蕈,30738,寻亲,1346,悬崖峭壁 虚有其表,retain_single,按发布候选顺序落实,
薅,6930,hcqn,1,2,好巧,25971,好巧,,,word_first,按发布候选顺序落实,
薢,6933,xpqn,1,1,薢,54289,斜桥,,,retain_single,按发布候选顺序落实,
薿,6941,niql,1,1,薿,48756,泥墙,,,retain_single,按发布候选顺序落实,
藓,6944,xmqb,1,2,先秦,22924,先秦 弦琴,,,word_first,按发布候选顺序落实,
藠,6947,jnql,1,2,缴枪,28886,缴枪 较强,,,word_first,按发布候选顺序落实,
虒,6958,sikd,1,2,撕开,9897,撕开,,,word_first,按发布候选顺序落实,
虓,6959,xnhd,1,2,小孩,617,小孩,,,word_first,按发布候选顺序落实,
蛔,7005,hvwj,1,1,蛔,43896,会玩,15383,悔之无及,retain_single,按发布候选顺序落实,
蛭,7010,viwh,1,2,指望,1895,指望 之王,,,word_first,按发布候选顺序落实,
蛲,7013,ncwh,1,1,蛲,58174,脑王,14376,你唱我和,retain_single,按发布候选顺序落实,
蜒,7027,yjwo,1,2,燕窝,13442,燕窝 眼窝,,,word_first,按发布候选顺序落实,
蝮,7054,fuwg,1,2,富翁,8344,富翁,9950,反守为攻,word_first,按发布候选顺序落实,
螈,7064,yrwf,1,2,原文,7973,原文,,,word_first,按发布候选顺序落实,
螗,7066,thwj,1,1,螗,33323,汤碗 糖丸,,,retain_single,按发布候选顺序落实,
螫,7071,uipw,1,2,失陪,12713,失陪 适配,,,word_first,按发布候选顺序落实,
螭,7073,iiwo,1,1,螭,59014,吃我,,,retain_single,按发布候选顺序落实,
蠋,7095,vuww,1,1,蠋,7707,诸位 助威,,,retain_single,按发布候选顺序落实,
衃,7103,pwtd,1,2,胚胎,11687,胚胎,,,word_first,按发布候选顺序落实,
衎,7106,kjxx,1,1,衎,42700,砍下 看下,,,retain_single,按发布候选顺序落实,
衢,7109,quxp,1,2,驱邪,22122,驱邪 去屑,,,word_first,按发布候选顺序落实,
衾,7114,qbvg,1,2,勤政,25912,勤政 亲政,,,word_first,按发布候选顺序落实,
衿,7115,jbvv,1,1,衿,40881,紧追,15564,局部战争,retain_single,按发布候选顺序落实,
裥,7139,jmva,1,2,奸诈,23757,奸诈 煎炸,,,word_first,按发布候选顺序落实,
裱,7142,bnvg,1,2,表征,23590,表征,,,word_first,按发布候选顺序落实,
裾,7145,juvg,1,2,举证,21237,举证,,,word_first,按发布候选顺序落实,
褂,7146,gxvs,1,2,挂钟,26599,挂钟,,,word_first,按发布候选顺序落实,
褓,7148,bcva,1,2,爆炸,1039,爆炸 包扎,,,word_first,按发布候选顺序落实,
褕,7149,yuve,2,2,愉,40939,遇着 愚者,,,retain_single,按发布候选顺序落实,
褡,7153,davj,1,2,大战,3910,大战 大展 大站,,,word_first,按发布候选顺序落实,
褫,7155,iivd,1,1,褫,30213,吃斋,,,retain_single,按发布候选顺序落实,
褯,7156,jpvg,1,1,褯,52807,结症,,,retain_single,按发布候选顺序落实,
褶,7159,vevl,1,2,着装,9557,着装 这桩,,,word_first,按发布候选顺序落实,
襫,7166,uivd,1,1,襫,55060,石寨,,,retain_single,按发布候选顺序落实,
觜,7179,ziyh,1,2,滋养,10868,滋养 字样 紫阳 资阳,,,word_first,按发布候选顺序落实,
觞,7180,uhhx,1,1,觞,39353,赏花,9202,山呼海啸,retain_single,按发布候选顺序落实,
觱,7186,bibh,1,2,臂膀,12305,臂膀,,,word_first,按发布候选顺序落实,
觿,7188,xihj,1,2,稀罕,5415,稀罕 西汉,,,word_first,按发布候选顺序落实,
訇,7190,hslm,1,2,红脸,12891,红脸 红莲,,,word_first,按发布候选顺序落实,
訚,7191,yblm,1,2,银联,28337,银联,,,word_first,按发布候选顺序落实,
詈,7193,litm,1,2,犁田,26158,犁田,,,word_first,按发布候选顺序落实,
讪,7200,ujmu,1,2,山姆,5108,山姆 杉木,5599,神经末梢,word_first,按发布候选顺序落实,
讫,7201,qimz,1,1,讫,37968,奇谋,,,retain_single,按发布候选顺序落实,
讱,7202,rfmd,1,1,讱,20422,人脉 任脉,,,retain_single,按发布候选顺序落实,
讹,7205,eemg,1,2,噩梦,2222,噩梦 恶梦,,,word_first,按发布候选顺序落实,
诃,7208,hemn,1,2,禾苗,24226,禾苗,,,word_first,按发布候选顺序落实,
诎,7213,qumu,1,2,曲目,9406,曲目,,,word_first,按发布候选顺序落实,
诘,7219,jpmj,1,2,届满,26589,届满,,,word_first,按发布候选顺序落实,
诜,7222,ufmn,1,2,神庙,12897,神庙 神妙,,,word_first,按发布候选顺序落实,
诣,7225,yima,1,2,姨妈,2349,姨妈 一码 译码,,,word_first,按发布候选顺序落实,
诩,7229,xumn,1,1,诩,39063,虚渺,,,retain_single,按发布候选顺序落实,
诰,7231,gcmj,1,1,诰,43332,高慢,,,retain_single,按发布候选顺序落实,
诿,7237,wwmm,1,2,未免,5761,未免 卫冕,,,word_first,按发布候选顺序落实,
谀,7238,yumd,1,2,预埋,27648,预埋,,,word_first,按发布候选顺序落实,
谚,7252,yjmk,1,2,严明,20525,严明 言明,,,word_first,按发布候选顺序落实,
谛,7253,dimg,1,1,谛,40274,缔盟,,,retain_single,按发布候选顺序落实,
谫,7263,jmmo,2,3,建模,16927,缄默 建模,,,word_first,按发布候选顺序落实,
谿,7272,xibj,1,2,戏班,29642,戏班,,,word_first,按发布候选顺序落实,
豕,7275,uiyy,1,2,时运,19626,时运 诗云,2199,事出有因,word_first,按发布候选顺序落实,
貂,7284,dnyj,1,1,貂,18429,吊唁,,,retain_single,按发布候选顺序落实,
貅,7285,xqya,1,1,貅,53230,秀雅,,,retain_single,按发布候选顺序落实,
赈,7304,vfql,1,1,赈,59012,真强,,,retain_single,按发布候选顺序落实,
赊,7306,ueqq,1,2,奢求,24567,奢求,,,word_first,按发布候选顺序落实,
赑,7308,biqq,1,1,赑,33181,比丘 壁球,,,retain_single,按发布候选顺序落实,
赙,7314,fuqn,1,2,浮桥,22846,浮桥,,,word_first,按发布候选顺序落实,
赟,7317,yyqq,1,2,运球,15758,运球,,,word_first,按发布候选顺序落实,
赡,7318,ujqm,1,2,山前,27135,山前,,,word_first,按发布候选顺序落实,
趄,7323,jukr,1,2,巨款,10410,巨款,,,word_first,按发布候选顺序落实,
趵,7329,bckd,1,1,趵,34417,剥开 爆开,,,retain_single,按发布候选顺序落实,
趿,7333,taks,1,1,趿,55069,踏空,,,retain_single,按发布候选顺序落实,
跂,7334,qikg,1,1,跂,59291,弃坑,,,retain_single,按发布候选顺序落实,
跖,7340,vikc,1,1,跖,34836,指靠 炙烤,,,retain_single,按发布候选顺序落实,
跚,7342,ujkr,1,2,善款,22175,善款,,,word_first,按发布候选顺序落实,
跤,7346,jnke,1,2,教课,14493,教课 教科,,,word_first,按发布候选顺序落实,
跺,7353,doka,1,1,跺,59309,多卡,,,retain_single,按发布候选顺序落实,
跻,7354,jiky,1,1,跻,30395,济困,,,retain_single,按发布候选顺序落实,
跽,7355,jikv,1,2,击溃,15085,击溃,,,word_first,按发布候选顺序落实,
踟,7364,iikj,1,1,踟,48574,赤坎,,,retain_single,按发布候选顺序落实,
踶,7371,dikl,1,2,地矿,27812,地矿,,,word_first,按发布候选顺序落实,
踺,7372,jmko,1,1,踺,34870,简括,,,retain_single,按发布候选顺序落实,
蹯,7391,fjka,1,1,蹯,34755,饭卡,,,retain_single,按发布候选顺序落实,
蹾,7397,dykg,1,1,蹾,26816,蹲坑,7469,大有可观,retain_single,按发布候选顺序落实,
躐,7402,lpkz,1,2,裂口,18809,裂口,,,word_first,按发布候选顺序落实,
轫,7407,rfcd,1,2,人才,902,人才,,,word_first,按发布候选顺序落实,
轶,7413,yics,1,1,轶,30680,依从,,,retain_single,按发布候选顺序落实,
轼,7418,uics,1,2,侍从,17078,侍从 失聪 师从,,,word_first,按发布候选顺序落实,
辙,7436,vecg,1,1,辙,37815,这层,,,retain_single,按发布候选顺序落实,
辚,7437,lbch,1,1,辚,24336,临沧,,,retain_single,按发布候选顺序落实,
迕,7440,wudo,1,1,迕,42282,无多,,,retain_single,按发布候选顺序落实,
迤,7442,yido,1,1,迤,40990,一朵,,,retain_single,按发布候选顺序落实,
逋,7452,bulo,1,2,部落,2522,部落,,,word_first,按发布候选顺序落实,
逖,7455,tiho,1,2,提货,17676,提货,,,word_first,按发布候选顺序落实,
逦,7457,lido,2,2,隶,33914,力夺 利多,,,retain_single,按发布候选顺序落实,
逵,7461,kvpo,1,1,逵,55824,窥破,,,retain_single,按发布候选顺序落实,
逶,7462,wwco,1,1,逶,53767,位错,,,retain_single,按发布候选顺序落实,
遄,7464,iruo,1,2,传说,1557,传说,,,word_first,按发布候选顺序落实,
遐,7466,xxzo,1,1,遐,30552,下作,,,retain_single,按发布候选顺序落实,
遒,7468,qqvo,1,1,遒,34976,球桌,,,retain_single,按发布候选顺序落实,
遴,7472,lbbo,1,1,遴,40220,鳞波,,,retain_single,按发布候选顺序落实,
遹,7473,yugo,1,1,遹,32047,雨果,,,retain_single,按发布候选顺序落实,
遽,7474,juso,1,2,居所,29606,居所,,,word_first,按发布候选顺序落实,
邂,7475,xpho,1,2,卸货,9514,卸货 泻火 邪火,,,word_first,按发布候选顺序落实,
邕,7479,ysyt,1,2,踊跃,14503,踊跃,,,word_first,按发布候选顺序落实,
邘,7481,yuxy,1,1,邘,51502,鱼汛,,,retain_single,按发布候选顺序落实,
邬,7487,wucy,1,1,邬,58670,无存,,,retain_single,按发布候选顺序落实,
邰,7489,tdky,1,1,邰,44774,太困,,,retain_single,按发布候选顺序落实,
邾,7497,vusy,1,2,竹笋,16357,竹笋,,,word_first,按发布候选顺序落实,
郢,7512,ykjy,1,2,英俊,3950,英俊 英军,,,word_first,按发布候选顺序落实,
郾,7521,yjly,1,2,言论,3292,言论,,,word_first,按发布候选顺序落实,
鄄,7525,jryy,1,1,鄄,56372,卷云,,,retain_single,按发布候选顺序落实,
鄗,7529,hcky,2,2,豪,31485,好困,,,retain_single,按发布候选顺序落实,
鄘,7530,yscy,1,1,鄘,33825,永存,5661,远涉重洋,retain_single,按发布候选顺序落实,
鄞,7533,ybiy,1,1,鄞,32992,阴唇,,,retain_single,按发布候选顺序落实,
鄠,7534,huly,1,2,囫囵,21876,囫囵,9308,火烧连营 黑山老妖,word_first,按发布候选顺序落实,
酅,7543,xiuy,1,2,吸吮,24673,吸吮,,,word_first,按发布候选顺序落实,
酆,7544,fguy,1,1,酆,36242,丰顺,,,retain_single,按发布候选顺序落实,
酏,7548,yiyh,1,2,一样,30,一样 异样 益阳,4267,一唱一和,word_first,按发布候选顺序落实,
酝,7551,yyyk,1,2,运营,4080,运营,,,word_first,按发布候选顺序落实,
酣,7555,hjyi,1,2,含义,3496,含义 寒意 涵义 含意 寒衣,,,word_first,按发布候选顺序落实,
酤,7556,guyr,2,3,雇员,8824,雇员 固原 故园,1342,孤身一人,word_first,按发布候选顺序落实,
酩,7558,mkyj,1,2,名言,6941,名言 明艳,,,word_first,按发布候选顺序落实,
酲,7560,igyt,1,1,酲,37969,成约 呈阅,,,retain_single,按发布候选顺序落实,
酽,7564,yjyk,1,2,眼影,9159,眼影 掩映,,,word_first,按发布候选顺序落实,
醐,7569,huyr,1,1,醐,54456,护院,,,retain_single,按发布候选顺序落实,
醑,7570,xuyr,1,2,许愿,5554,许愿,,,word_first,按发布候选顺序落实,
醢,7572,hdyt,1,1,醢,56536,海月,,,retain_single,按发布候选顺序落实,
醪,7574,lcyk,1,2,老鹰,8911,老鹰 老营,,,word_first,按发布候选顺序落实,
醯,7577,xiyt,1,2,喜悦,4448,喜悦,,,word_first,按发布候选顺序落实,
醴,7578,liyr,1,2,梨园,21851,梨园,,,word_first,按发布候选顺序落实,
醾,7581,miyb,1,1,醾,37803,秘银,,,retain_single,按发布候选顺序落实,
钚,7608,bund,1,1,钚,47452,不耐,14630,八十年代,retain_single,按发布候选顺序落实,
钤,7611,qmnv,1,2,倩女,24167,倩女,,,word_first,按发布候选顺序落实,
钨,7612,wunc,1,2,无脑,21682,无脑,,,word_first,按发布候选顺序落实,
钪,7613,khnd,1,1,钪,50782,康奈,,,retain_single,按发布候选顺序落实,
铆,7628,mcni,1,2,猫腻,14433,猫腻,,,word_first,按发布候选顺序落实,
铈,7629,uing,1,2,势能,27494,势能,,,word_first,按发布候选顺序落实,
铊,7631,tang,1,1,铊,55921,他能 她能,,,retain_single,按发布候选顺序落实,
铋,7633,binv,1,2,婢女,22624,婢女,,,word_first,按发布候选顺序落实,
铌,7634,ning,1,1,铌,50305,你能,,,retain_single,按发布候选顺序落实,
铍,7635,pinh,1,2,皮囊,27250,皮囊,,,word_first,按发布候选顺序落实,
铒,7639,ernm,1,1,铒,46440,二年,,,retain_single,按发布候选顺序落实,
铗,7642,jxnv,1,1,铗,58059,嫁女,,,retain_single,按发布候选顺序落实,
铚,7645,vinh,1,2,智囊,24717,智囊,,,word_first,按发布候选顺序落实,
铣,7653,xinn,1,1,铣,33005,犀鸟,,,retain_single,按发布候选顺序落实,
铱,7664,ying,1,2,异能,29925,异能,,,word_first,按发布候选顺序落实,
铵,7667,annm,1,1,铵,40311,按年,,,retain_single,按发布候选顺序落实,
铻,7670,wunj,2,2,牾,42881,舞男,,,retain_single,按发布候选顺序落实,
锆,7676,gcnj,2,2,镐,23875,高难,,,retain_single,按发布候选顺序落实,
锔,7686,junj,2,2,驹,57906,莒南,,,retain_single,按发布候选顺序落实,
锛,7692,bfnq,1,1,锛,53727,奔牛 笨牛,,,retain_single,按发布候选顺序落实,
锧,7698,vinq,1,2,执拗,17864,执拗,,,word_first,按发布候选顺序落实,
锨,7699,xmnd,1,2,鲜奶,15856,鲜奶,,,word_first,按发布候选顺序落实,
镄,7721,fwnq,1,1,镄,30666,肥妞 肥牛,,,retain_single,按发布候选顺序落实,
镋,7727,thnn,1,1,镋,36307,糖尿,,,retain_single,按发布候选顺序落实,
镐,7731,gcnj,1,1,镐,23875,高难,,,retain_single,按发布候选顺序落实,
镝,7741,dinr,1,1,镝,45120,地暖,,,retain_single,按发布候选顺序落实,
镱,7760,yinv,1,1,镱,32478,义女,,,retain_single,按发布候选顺序落实,
闱,7767,wwle,1,2,为了,85,为了 未了,,,word_first,按发布候选顺序落实,
闼,7770,talo,1,1,闼,39114,塔罗,,,retain_single,按发布候选顺序落实,
阂,7773,held,1,2,何来,18710,何来,,,word_first,按发布候选顺序落实,
阇,7777,dula,1,2,毒辣,17581,毒辣,,,word_first,按发布候选顺序落实,
阈,7779,yulr,1,1,阈,34849,鱼卵,17675,倚势凌人,retain_single,按发布候选顺序落实,
阋,7782,xiln,1,1,阋,51728,细聊,,,retain_single,按发布候选顺序落实,
阒,7787,qulv,1,2,曲率,27664,曲率,,,word_first,按发布候选顺序落实,
阱,7795,jkyj,1,2,经验,491,经验 惊艳,,,word_first,按发布候选顺序落实,
阽,7797,dmyj,1,2,点烟,24437,点烟 碘盐 电眼,,,word_first,按发布候选顺序落实,
陂,7798,piyh,1,1,陂,38591,皮痒,,,retain_single,按发布候选顺序落实,
陟,7805,viyk,1,2,直营,26825,直营 支应,,,word_first,按发布候选顺序落实,
隃,7810,uuye,1,2,树叶,4642,树叶 书页 输液,,,word_first,按发布候选顺序落实,
雩,7827,yulz,1,2,雨露,12428,雨露,,,word_first,按发布候选顺序落实,
雳,7829,lilk,1,1,雳,50922,醴陵,,,retain_single,按发布候选顺序落实,
霁,7831,jily,1,1,霁,30372,棘轮,,,retain_single,按发布候选顺序落实,
霨,7836,wwln,1,1,霨,35573,喂料,,,retain_single,按发布候选顺序落实,
靛,7841,dmxl,1,1,靛,48717,电箱 点香,,,retain_single,按发布候选顺序落实,
靼,7848,dair,1,1,靼,32055,打穿 大船,,,retain_single,按发布候选顺序落实,
靽,7849,bjie,1,2,班车,7459,班车 板车,,,word_first,按发布候选顺序落实,
鞁,7851,bwih,1,1,鞁,38405,备尝,,,retain_single,按发布候选顺序落实,
鞡,7858,laih,1,2,拉长,8029,拉长 腊肠,,,word_first,按发布候选顺序落实,
鞨,7861,heil,1,2,河床,18436,河床,,,word_first,按发布候选顺序落实,
顸,7874,hjxq,1,2,含羞,22682,含羞,,,word_first,按发布候选顺序落实,
颥,7892,rulq,1,1,颥,36362,入流 如流,,,retain_single,按发布候选顺序落实,
颦,7893,pbyb,1,2,拼音,10072,拼音,,,word_first,按发布候选顺序落实,
颧,7894,qrqq,1,2,全球,1266,全球,,,word_first,按发布候选顺序落实,
飗,7902,lqda,1,2,溜达,4573,溜达 六大,,,word_first,按发布候选顺序落实,
飨,7904,xlfw,1,1,飨,45009,香妃 湘妃,,,retain_single,按发布候选顺序落实,
饩,7911,xigu,1,1,饩,30216,溪谷 戏骨,,,retain_single,按发布候选顺序落实,
饴,7917,yigj,2,3,乙肝,17341,乙肝 易感,,,word_first,按发布候选顺序落实,
饸,7919,hegj,1,2,何干,28952,何干 核苷 喝干,,,word_first,按发布候选顺序落实,
馇,7927,iagr,1,2,茶馆,12058,茶馆 插管,,,word_first,按发布候选顺序落实,
馑,7934,jbgx,1,1,馑,36481,金瓜,15554,绝不姑息,retain_single,按发布候选顺序落实,
馓,7936,sjgg,1,2,三更,19137,三更,,,word_first,按发布候选顺序落实,
馔,7937,vrgv,1,2,专柜,8793,专柜 转轨,,,word_first,按发布候选顺序落实,
驷,7949,sint,1,2,肆虐,10807,肆虐,,,word_first,按发布候选顺序落实,
骀,7953,tdnj,1,2,台南,22618,台南,,,word_first,按发布候选顺序落实,
骈,7957,pmnq,1,1,骈,54756,犏牛,,,retain_single,按发布候选顺序落实,
骍,7961,xknh,1,2,行囊,16597,行囊,,,word_first,按发布候选顺序落实,
骐,7963,qinv,1,2,妻女,24642,妻女,,,word_first,按发布候选顺序落实,
骕,7966,sunv,1,1,骕,40384,素女,,,retain_single,按发布候选顺序落实,
骥,7980,jinv,1,2,妓女,6499,妓女 继女,,,word_first,按发布候选顺序落实,
骶,7985,dibn,1,2,地表,9063,地表 地标,,,word_first,按发布候选顺序落实,
骺,7988,hzbj,1,1,骺,52824,厚板 后半,,,retain_single,按发布候选顺序落实,
髁,7991,keba,1,1,髁,46614,磕巴,,,retain_single,按发布候选顺序落实,
髃,7993,yubo,1,2,余波,27749,余波 玉帛,,,word_first,按发布候选顺序落实,
髫,8001,tnrj,1,1,髫,45095,挑染,,,retain_single,按发布候选顺序落实,
髻,8005,jirj,1,2,既然,582,既然 寂然,,,word_first,按发布候选顺序落实,
鬶,8018,gvvh,1,2,规章,14370,规章,,,word_first,按发布候选顺序落实,
鬷,8019,zshg,1,2,纵横,9498,纵横,,,word_first,按发布候选顺序落实,
鱾,8030,jiyt,1,1,鱾,51515,集约 激越,,,retain_single,按发布候选顺序落实,
鲃,8034,bayt,1,2,八月,2816,八月,,,word_first,按发布候选顺序落实,
鲆,8036,pkyb,1,2,平阴,28401,平阴,,,word_first,按发布候选顺序落实,
鲉,8038,yzya,1,2,优雅,2891,优雅 幽雅 油压,,,word_first,按发布候选顺序落实,
鲋,8040,fuyt,1,1,鲋,14676,赴约 负约,,,retain_single,按发布候选顺序落实,
鲏,8043,piyh,2,2,陂,38591,皮痒,,,retain_single,按发布候选顺序落实,
鲐,8044,tdyj,1,1,鲐,31927,抬眼 太严,,,retain_single,按发布候选顺序落实,
鲒,8046,jpyj,1,2,戒烟,5836,戒烟 戒严,,,word_first,按发布候选顺序落实,
鲔,8047,wwyr,1,2,委员,3092,委员 惟愿,12761,我为鱼肉,word_first,按发布候选顺序落实,
鲖,8049,tsyj,1,1,鲖,35685,童言 童颜,,,retain_single,按发布候选顺序落实,
鲘,8051,hzyj,1,2,喉炎,29486,喉炎,,,word_first,按发布候选顺序落实,
鲚,8053,jiyy,2,3,积云,29984,积云,,,word_first,按发布候选顺序落实,
鲛,8054,jnye,1,2,郊野,28381,郊野,,,word_first,按发布候选顺序落实,
鲪,8066,jyyj,1,2,军演,24320,军演,,,word_first,按发布候选顺序落实,
鲫,8067,jiyy,1,2,积云,29984,积云,,,word_first,按发布候选顺序落实,
鲭,8069,qkyr,1,2,情愿,4159,情愿 情缘 清远 请愿 庆元,,,word_first,按发布候选顺序落实,
鲳,8075,ihya,1,1,鲳,50539,常压 长牙,,,retain_single,按发布候选顺序落实,
鲴,8076,guyr,1,2,雇员,8824,雇员 固原 故园,1342,孤身一人,word_first,按发布候选顺序落实,
鲹,8078,ufyk,1,2,身影,4557,身影 神鹰,,,word_first,按发布候选顺序落实,
鲿,8084,ihyk,1,1,鲿,34119,长缨 长影,,,retain_single,按发布候选顺序落实,
鳐,8097,ycyb,1,1,鳐,37042,药引,,,retain_single,按发布候选顺序落实,
鳒,8099,jmyj,1,2,检验,2655,检验,,,word_first,按发布候选顺序落实,
鳢,8112,liyr,2,3,梨园,21851,梨园,,,word_first,按发布候选顺序落实,
鳤,8114,gryh,1,1,鳤,51618,灌阳,,,retain_single,按发布候选顺序落实,
鸠,8115,jqhc,1,1,鸠,49410,九号,,,retain_single,按发布候选顺序落实,
鸢,8116,yrbc,1,2,元宝,16925,元宝,,,word_first,按发布候选顺序落实,
鸨,8119,bcgc,1,2,报告,525,报告,,,word_first,按发布候选顺序落实,
鸯,8125,yhlc,1,2,养老,3759,养老,,,word_first,按发布候选顺序落实,
鸰,8126,lkvc,1,1,鸰,41498,另找,,,retain_single,按发布候选顺序落实,
鸲,8128,qulc,1,1,鸲,38393,劬劳,,,retain_single,按发布候选顺序落实,
鸵,8130,tocg,1,1,鸵,50791,脱层,,,retain_single,按发布候选顺序落实,
鸸,8133,erlc,1,1,鸸,39516,二老,,,retain_single,按发布候选顺序落实,
鸺,8135,xqzc,1,2,修造,26366,修造,,,word_first,按发布候选顺序落实,
鹁,8140,bobc,1,2,播报,9490,播报,,,word_first,按发布候选顺序落实,
鹂,8141,lidc,1,2,力道,19584,力道 利刀,,,word_first,按发布候选顺序落实,
鹄,8143,hunc,1,2,胡闹,6657,胡闹,,,word_first,按发布候选顺序落实,
鹆,8145,yuvc,1,2,预兆,9509,预兆 玉照,,,word_first,按发布候选顺序落实,
鹇,8146,xmlc,1,1,鹇,36803,显老,,,retain_single,按发布候选顺序落实,
鹈,8147,tibc,1,2,提包,12390,提包,,,word_first,按发布候选顺序落实,
鹉,8148,wurc,1,2,勿扰,17217,勿扰,,,word_first,按发布候选顺序落实,
鹊,8149,qtic,1,2,雀巢,20160,雀巢 鹊巢,,,word_first,按发布候选顺序落实,
鹌,8151,anvc,1,2,按照,910,按照,,,word_first,按发布候选顺序落实,
鹑,8155,iykc,1,1,鹑,54802,春考,,,retain_single,按发布候选顺序落实,
鹘,8161,gubc,1,2,古堡,18291,古堡 鼓包,,,word_first,按发布候选顺序落实,
鹘,8161,hubc,1,2,虎豹,24222,虎豹,,,word_first,按发布候选顺序落实,
鹛,8165,mwtc,1,2,每套,29769,每套,,,word_first,按发布候选顺序落实,
鹜,8166,wugc,1,2,诬告,18343,诬告,,,word_first,按发布候选顺序落实,
鹝,8167,yihc,1,2,一号,23468,一号,,,word_first,按发布候选顺序落实,
鹞,8168,ycbc,1,2,腰包,11849,腰包 药包,,,word_first,按发布候选顺序落实,
鹢,8172,yivc,1,2,依照,7863,依照 遗照 一兆 遗诏,,,word_first,按发布候选顺序落实,
鹨,8176,lqnc,1,1,鹨,33283,流脑,,,retain_single,按发布候选顺序落实,
鹬,8180,yugc,1,2,预告,3890,预告,,,word_first,按发布候选顺序落实,
鹯,8182,vjbc,1,2,战报,22324,战报,,,word_first,按发布候选顺序落实,
麀,8188,yzbg,1,1,麀,23379,油泵,12734,一字不改,retain_single,按发布候选顺序落实,
麂,8189,jibd,1,2,几百,2224,几百 击败 祭拜,,,word_first,按发布候选顺序落实,
麹,8199,quxb,1,2,取信,24740,取信,,,word_first,按发布候选顺序落实,
黇,8201,tmij,1,1,黇,30582,田产,,,retain_single,按发布候选顺序落实,
黉,8202,hsse,1,2,红色,904,红色,,,word_first,按发布候选顺序落实,
黍,8203,uuco,1,1,黍,42265,数错 输错,,,retain_single,按发布候选顺序落实,
黜,8204,iutu,1,2,出土,14003,出土,,,word_first,按发布候选顺序落实,
黝,8205,yztk,1,2,游艇,6288,游艇 又听,,,word_first,按发布候选顺序落实,
黠,8207,xxtj,1,1,黠,34394,下探,,,retain_single,按发布候选顺序落实,
黪,8213,cjtk,1,2,餐厅,1758,餐厅,,,word_first,按发布候选顺序落实,
鼯,8228,wulj,1,1,鼯,41394,勿滥 乌兰,,,retain_single,按发布候选顺序落实,
鼱,8229,jklr,1,2,痉挛,13156,痉挛,,,word_first,按发布候选顺序落实,
鼷,8230,xilv,1,1,鼷,36980,息率,,,retain_single,按发布候选顺序落实,
鼹,8231,yjlm,1,2,演练,10300,演练 眼帘,,,word_first,按发布候选顺序落实,
齑,8237,jiqr,1,2,集权,27634,集权 极权,,,word_first,按发布候选顺序落实,
龃,8241,juyr,1,2,剧院,4752,剧院 巨猿,3249,教书育人 假手于人,word_first,按发布候选顺序落实,
龅,8242,bcyt,2,2,鲍,27784,包月,6639,抱成一团,retain_single,按发布候选顺序落实,
龆,8243,tnyj,1,2,调研,11703,调研,,,word_first,按发布候选顺序落实,
龉,8246,yuyj,1,2,语言,982,语言 预言 寓言 预演,,,word_first,按发布候选顺序落实,
龌,8249,woyh,1,1,龌,53240,涡阳,,,retain_single,按发布候选顺序落实,
龛,8250,kjdk,1,1,龛,49282,勘定,,,retain_single,按发布候选顺序落实,
龢,8252,hedc,1,2,河道,11841,河道 喝道,,,word_first,按发布候选顺序落实,
鿎,8254,daco,1,1,鿎,38179,大错 打错,,,retain_single,按发布候选顺序落实,
𠙶,8258,ouxl,1,2,偶像,1117,偶像,,,word_first,按发布候选顺序落实,
𣗋,8262,dhan,1,2,档案,2255,档案,,,word_first,按发布候选顺序落实,
𦰡,8279,naqy,1,2,那群,26997,那群,,,word_first,按发布候选顺序落实,
𨭉,8286,bjqn,1,2,板桥,22764,板桥,,,word_first,按发布候选顺序落实,
