汉字	分类	当前拆分	历史拆分	当前宿主序列	历史宿主序列
璒	canonical_host_equivalent	王 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	王 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	王 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	王 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
璘	canonical_host_equivalent	王 ＋ 米 ＋ 夕 ＋ 降下角	王 ＋ 米 ＋ 夕 ＋ 㐄	王 ＋ 米 ＋ 夕 ＋ 降下角	王 ＋ 米 ＋ 夕 ＋ 降下角
瓣	accepted_frame_semantics	辡 ＋ 瓜	辛 ＋ 瓜	辛 ＋ 爫	辛 ＋ 爫
癍	accepted_frame_semantics	疒 ＋ 玨 ＋ 文	疒 ＋ 王 ＋ 文	广 ＋ 王 ＋ 文	广 ＋ 王 ＋ 文
癸	canonical_host_equivalent	登字头 ＋ 天	癶 ＋ 天	夕 ＋ 大	夕 ＋ 大
登	canonical_host_equivalent	登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
睽	canonical_host_equivalent	目 ＋ 登字头 ＋ 天	目 ＋ 癶 ＋ 天	日 ＋ 夕 ＋ 大	日 ＋ 夕 ＋ 大
瞪	canonical_host_equivalent	目 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	目 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	日 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	日 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
瞬	canonical_host_equivalent	目 ＋ 爫 ＋ 冖 ＋ 夕 ＋ 降下角	目 ＋ 爫 ＋ 冖 ＋ 夕 ＋ 㐄	日 ＋ 爪头 ＋ 宀 ＋ 夕 ＋ 降下角	日 ＋ 爪头 ＋ 宀 ＋ 夕 ＋ 降下角
瞵	canonical_host_equivalent	目 ＋ 米 ＋ 夕 ＋ 降下角	目 ＋ 米 ＋ 夕 ＋ 㐄	日 ＋ 米 ＋ 夕 ＋ 降下角	日 ＋ 米 ＋ 夕 ＋ 降下角
硪	accepted_manual_rule_semantics	石 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	石 ＋ 戈	石 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	石 ＋ 戈
磔	canonical_host_equivalent	石 ＋ 夕 ＋ 降下角 ＋ 木	石 ＋ 夕 ＋ 㐄 ＋ 木	石 ＋ 夕 ＋ 降下角 ＋ 木	石 ＋ 夕 ＋ 降下角 ＋ 木
磴	canonical_host_equivalent	石 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	石 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	石 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	石 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
磷	canonical_host_equivalent	石 ＋ 米 ＋ 夕 ＋ 降下角	石 ＋ 米 ＋ 夕 ＋ 㐄	石 ＋ 米 ＋ 夕 ＋ 降下角	石 ＋ 米 ＋ 夕 ＋ 降下角
管	canonical_host_equivalent	竹头 ＋ 宀 ＋ 官字底	竹头 ＋ 宀 ＋ 㠯	竹 ＋ 宀 ＋ 追字心	竹 ＋ 宀 ＋ 追字心
箭	deferred_encoding_layer	竹头 ＋ 丷 ＋ 一 ＋ 青字底 ＋ 刂	竹头 ＋ 八	竹 ＋ 八 ＋ 横 ＋ 月 ＋ 刀	竹 ＋ 八
粼	canonical_host_equivalent	米 ＋ 夕 ＋ 降下角 ＋ 折 ＋ 折	米 ＋ 夕 ＋ 㐄 ＋ 折 ＋ 折	米 ＋ 夕 ＋ 降下角 ＋ 折 ＋ 折	米 ＋ 夕 ＋ 降下角 ＋ 折 ＋ 折
绛	canonical_host_equivalent	纟 ＋ 夂 ＋ 降下角	纟 ＋ 夂 ＋ 㐄	纟 ＋ 又 ＋ 降下角	纟 ＋ 又 ＋ 降下角
绾	canonical_host_equivalent	纟 ＋ 宀 ＋ 官字底	纟 ＋ 宀 ＋ 㠯	纟 ＋ 宀 ＋ 追字心	纟 ＋ 宀 ＋ 追字心
缱	canonical_host_equivalent	纟 ＋ 贵字头 ＋ 官字底 ＋ 辶	纟 ＋ 贵字头 ＋ 㠯 ＋ 辶	纟 ＋ 虫 ＋ 追字心 ＋ 辶	纟 ＋ 虫 ＋ 追字心 ＋ 辶
翷	canonical_host_equivalent	米 ＋ 夕 ＋ 降下角 ＋ 习 ＋ 习	米 ＋ 夕 ＋ 㐄 ＋ 习 ＋ 习	米 ＋ 夕 ＋ 降下角 ＋ 习 ＋ 习	米 ＋ 夕 ＋ 降下角 ＋ 习 ＋ 习
耜	canonical_host_equivalent	二 ＋ 木 ＋ 官字底	二 ＋ 木 ＋ 㠯	二 ＋ 木 ＋ 追字心	二 ＋ 木 ＋ 追字心
膦	canonical_host_equivalent	月 ＋ 米 ＋ 夕 ＋ 降下角	月 ＋ 米 ＋ 夕 ＋ 㐄	月 ＋ 米 ＋ 夕 ＋ 降下角	月 ＋ 米 ＋ 夕 ＋ 降下角
舛	canonical_host_equivalent	夕 ＋ 降下角	夕 ＋ 㐄	夕 ＋ 降下角	夕 ＋ 降下角
舜	canonical_host_equivalent	爫 ＋ 冖 ＋ 夕 ＋ 降下角	爫 ＋ 冖 ＋ 夕 ＋ 㐄	爪头 ＋ 宀 ＋ 夕 ＋ 降下角	爪头 ＋ 宀 ＋ 夕 ＋ 降下角
舞	canonical_host_equivalent	卧人 ＋ 卌 ＋ 一 ＋ 夕 ＋ 降下角	卧人 ＋ 卌 ＋ 一 ＋ 夕 ＋ 㐄	卧人 ＋ 舞字头无卧人无横 ＋ 横 ＋ 夕 ＋ 降下角	卧人 ＋ 舞字头无卧人无横 ＋ 横 ＋ 夕 ＋ 降下角
莪	accepted_manual_rule_semantics	艹 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	艹 ＋ 戈	艹 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	艹 ＋ 戈
菅	canonical_host_equivalent	艹 ＋ 宀 ＋ 官字底	艹 ＋ 宀 ＋ 㠯	艹 ＋ 宀 ＋ 追字心	艹 ＋ 宀 ＋ 追字心
萋	accepted_manual_rule_semantics	艹 ＋ 横 ＋ 肀 ＋ 女	艹 ＋ 一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女	艹 ＋ 横 ＋ 争字底 ＋ 女	艹 ＋ 横 ＋ 折 ＋ 二 ＋ 竖 ＋ 女
葵	canonical_host_equivalent	艹 ＋ 登字头 ＋ 天	艹 ＋ 癶 ＋ 天	艹 ＋ 夕 ＋ 大	艹 ＋ 夕 ＋ 大
蛾	accepted_manual_rule_semantics	虫 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	虫 ＋ 戈	虫 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	虫 ＋ 戈
街	accepted_frame_semantics	行 ＋ 土 ＋ 土	行 ＋ 圭	行 ＋ 土 ＋ 土	行 ＋ 圭
裔	deferred_encoding_layer	衣 ＋ 冂 ＋ 八 ＋ 口	衣 ＋ 冂	衣 ＋ 匚 ＋ 八 ＋ 口	衣 ＋ 匚
裹	accepted_frame_semantics	衣 ＋ 日 ＋ 木	衣 ＋ 果	衣 ＋ 日 ＋ 木	衣 ＋ 果
襫	accepted_propagating_structural	衤 ＋ 大 ＋ 横 ＋ 白 ＋ 横 ＋ 白	衤 ＋ 左字框 ＋ 一 ＋ 白 ＋ 一 ＋ 白 ＋ 丶	礻 ＋ 大 ＋ 横 ＋ 白 ＋ 横 ＋ 白	礻 ＋ 十 ＋ 横 ＋ 白 ＋ 横 ＋ 白 ＋ 点
