词	码	词位	码位词数	一简字	拆开输入	键数	当量	低于1.4	08排名	虎码	同码其他词
没想	mwxl	1	2	没	m␣xl␣	5	1.225	是	632726	6510	每项
就行	jqxk	1	3	就	j␣xk␣	5	1.225	是	735290	2942	救星、酒醒
爱你	aini	1	1	你	ai␣n␣	5	1.225	是	755481	8833	
买了	mdle	1	1	了	md␣l␣	5	1.225	是	879536	4322	
怪不	gkbu	1	2	不	gk␣b␣	5	1.225	是	938274	59	光看不说
久了	jqle	1	2	了	jq␣l␣	5	1.225	是	1000938	3258	救了
会了	hvle	2	2	了	hv␣l␣	5	1.225	是	1002358	2662	毁了
但就	djjq	1	1	就	dj␣j␣	5	1.225	是	1002504	565	
先看	xmkj	1	1	看	xm␣k␣	5	1.225	是	1003422	933	
别了	bple	1	1	了	bp␣l␣	5	1.225	是	1005218	906	
别看	bpkj	1	1	看	bp␣k␣	5	1.225	是	1005279	1203	
吹了	ivle	1	1	了	iv␣l␣	5	1.225	是	1007771	0	
多了	dole	1	3	了	do␣l␣	5	1.225	是	1009491	59	剁了、夺了
多看	dokj	1	1	看	do␣k␣	5	1.225	是	1009638	1352	
好了	hcle	1	1	了	hc␣l␣	5	1.225	是	1010187	11231	
开了	kdle	1	1	了	kd␣l␣	5	1.225	是	1012524	2035	
当了	dhle	1	1	了	dh␣l␣	5	1.225	是	1012854	0	
怕了	pale	1	1	了	pa␣l␣	5	1.225	是	1013651	1603	
想吃	xlii	1	2	吃	xl␣i␣	5	1.225	是	1014106	1522	相持
拆了	idle	1	1	了	id␣l␣	5	1.225	是	1015422	641	
拽起	vkqi	1	1	起	vk␣q␣	5	1.225	是	1015749	0	
放了	fhle	1	1	了	fh␣l␣	5	1.225	是	1017146	2733	
日了	rile	1	1	了	ri␣l␣	5	1.225	是	1017690	70	
杀了	uale	2	3	了	ua␣l␣	5	1.225	是	1018843	318	傻了、傻乐
来了	ldle	1	1	了	ld␣l␣	5	1.225	是	1018937	19728	
死了	sile	1	1	了	si␣l␣	5	1.225	是	1019825	9377	
毛了	mcle	1	1	了	mc␣l␣	5	1.225	是	1019995	59	
流了	lqle	3	3	了	lq␣l␣	5	1.225	是	1020627	121	留了、溜了
点了	dmle	1	1	了	dm␣l␣	5	1.225	是	1021544	4345	
爱了	aile	1	3	了	ai␣l␣	5	1.225	是	1021950	177	挨了、矮了
爱看	aikj	1	1	看	ai␣k␣	5	1.225	是	1021994	632	
略看	ltkj	1	1	看	lt␣k␣	5	1.225	是	1023029	236	
看过	kjgo	1	1	看	k␣go␣	5	1.225	是	1023518	3873	
粗看	cukj	1	1	看	cu␣k␣	5	1.225	是	1025019	205	
老了	lcle	1	1	了	lc␣l␣	5	1.225	是	1025895	2606	
藏了	chle	1	1	了	ch␣l␣	5	1.225	是	1027437	59	
装了	vlle	1	2	了	vl␣l␣	5	1.225	是	1027959	1007	撞了
让你	rhni	1	1	你	rh␣n␣	5	1.225	是	1028316	8185	
边看	bmkj	1	1	看	bm␣k␣	5	1.225	是	1030300	133	
过了	gole	1	1	了	go␣l␣	5	1.225	是	1030328	12921	
进了	jble	1	1	了	jb␣l␣	5	1.225	是	1030556	7255	
锁了	sole	1	1	了	so␣l␣	5	1.225	是	1031856	0	
错了	cole	1	1	了	co␣l␣	5	1.225	是	1031918	4788	
