字音频序	字	读音	最短码	最短码候选位	全码	全码候选位	补三简
175	直	zhi	viv	1	vivl	1	
176	才	cai	c	1	cdpp	1	
177	于	yu	yu	1	yuvv	1	
178	克	ke	key	1	keyt	1	
179	带	dai	dd	1	ddny	1	ddn
180	美	mei	mw	1	mwxt	1	mwx
181	今	jin	jbh	1	jbhh	1	
182	力	li	lit	1	litt	1	
183	工	gong	gs	1	gsss	1	
184	许	xu	xue	1	xuer	1	
185	东	dong	dsd	1	dsdd	1	
186	同	tong	ts	1	tshq	1	
187	亲	qin	qb	1	qbht	1	
188	种	zhong	vs	1	vsrx	1	vsr
189	特	te	te	1	terp	1	ter
190	者	zhe	vek	1	vekb	1	
191	学	xue	xt	1	xtit	1	
192	嘿	hei	hw	1	hwqm	1	hwq
193	白	bai	bd	1	bdmm	1	bdm
194	名	ming	mkl	1	mklq	1	
195	叫	jiao	jn	1	jnqx	1	
196	本	ben	bf	1	bfwj	1	
197	第	di	die	1	diel	1	
198	理	li	lig	1	ligp	1	
199	国	guo	goi	1	goig	1	
200	友	you	yz	1	yzvp	2	
201	安	an	an	1	anis	1	
202	两	liang	ll	1	llll	1	
203	高	gao	gco	1	gcoq	3	
204	请	qing	qke	1	qkem	2	
205	保	bao	bc	1	bccw	1	
206	公	gong	gso	1	gsog	1	
207	记	ji	jie	1	jiev	2	
208	非	fei	fw	1	fwrr	2	
209	身	shen	ufl	1	ufll	1	
210	受	shou	uzr	1	uzrp	1	
211	住	zhu	vu	1	vucz	1	
212	活	huo	ho	1	hoaq	1	
213	何	he	he	1	hecp	1	hec
214	题	ti	ti	1	tibq	1	
215	完	wan	wji	1	wjit	2	
216	加	jia	jxt	1	jxtq	1	
217	伙	huo	hoc	1	hocf	1	
218	接	jie	jp	1	jpps	2	
219	拿	na	naf	1	nafp	1	
220	望	wang	wh	1	whog	1	
221	解	jie	jpt	1	jptr	1	
222	其	qi	qie	1	qieo	1	
223	离	li	lio	1	lioa	1	
224	谈	tan	tj	1	tjef	1	
225	又	you	yzp	1	yzpp	2	
226	了	liao	ln	1	lntt	1	
227	新	xin	xbh	1	xbhp	1	
228	更	geng	gg	1	ggjt	1	
229	钱	qian	qmo	1	qmoa	1	
230	场	chang	ihz	1	ihzm	1	
231	嗯	ng	ngq	1	ngqx	1	
232	部	bu	bu	1	buhe	1	
233	计	ji	jiev	1	jiev	1	
234	任	ren	rfc	1	rfcz	1	
235	确	que	qt	1	qtfm	1	
236	思	si	sip	1	sipx	1	
237	吃	chi	i	1	iiqt	1	
238	始	shi	uis	1	uisq	1	
239	结	jie	jpy	1	jpyq	1	
240	马	ma	mar	1	marr	1	
241	朋	peng	pg	1	pgmm	1	
242	警	jing	jkn	1	jkne	1	
243	尔	er	ert	1	ertt	2	
244	士	shi	uiz	1	uizz	2	
245	外	wai	wd	1	wdlj	1	wdl
246	件	jian	jmc	1	jmcr	2	
247	难	nan	nj	1	njpq	1	
248	位	wei	wwc	1	wwch	1	
249	表	biao	bn	1	bnga	1	bng
250	刚	gang	gh	1	ghht	1	
251	边	bian	bm	1	bmtx	1	bmt
252	或	huo	hoa	1	hoaj	1	
253	将	jiang	jl	1	jlrp	1	
254	希	xi	xit	1	xity	1	
255	男	nan	njp	1	njpt	1	
256	准	zhun	vy	1	vyaq	1	vya
257	变	bian	bmr	1	bmrp	1	
258	利	li	lix	1	lixx	1	
259	证	zheng	vge	1	vges	1	
260	物	wu	wur	1	wurm	1	
261	总	zong	zs	1	zsox	1	zso
262	噢	o	oo	1	ooqt	1	ooq
263	员	yuan	yr	1	yrqq	1	yrq
264	系	xi	xiw	1	xiwy	1	
265	玩	wan	wjg	1	wjgt	1	
266	管	guan	gre	1	greb	1	
267	几	ji	jih	1	jihh	1	
268	处	chu	iup	1	iupj	1	
269	办	ban	bj	1	bjtt	1	bjt
270	主	zhu	vuo	1	vuoz	2	
271	气	qi	qiu	1	qiuu	1	
272	每	mei	mwc	1	mwcf	1	
273	查	cha	ia	1	iawj	1	
274	少	shao	uc	1	uctw	1	
275	失	shi	uig	1	uigg	2	
276	此	ci	cis	1	cisz	2	
277	性	xing	xkx	1	xkxh	2	
278	切	qie	qp	1	qpzt	1	qpz
279	必	bi	bix	1	bixx	1	
280	备	bei	bwp	1	bwpp	1	
281	算	suan	sr	1	sren	1	sre
282	合	he	hef	1	hefq	3	
283	拉	la	la	1	laph	1	lap
284	队	dui	dve	1	dvef	1	
285	试	shi	uie	1	uies	2	
286	抱	bao	bcp	1	bcpv	1	
287	医	yi	yih	1	yihg	1	
288	体	ti	tic	1	ticj	1	
289	通	tong	tsg	1	tsgx	1	
290	并	bing	bk	1	bkon	1	
291	早	zao	zc	1	zcbv	1	zcb
292	三	san	sj	1	sjjj	1	sjj
293	害	hai	hdi	1	hdiq	1	
294	歉	qian	qmp	1	qmpf	1	
295	选	xuan	xr	1	xrrx	1	
296	门	men	mfh	1	mfhh	1	
297	嗨	hai	hdq	1	hdqf	1	
298	房	fang	fhb	1	fhbd	2	
299	命	ming	mkf	1	mkfe	1	
300	重	zhong	vsv	1	vsvp	1	
301	且	qie	qpl	1	qpll	1	
302	向	xiang	xll	1	xlll	1	
303	兴	xing	xkt	1	xkto	1	
304	球	qiu	qq	1	qqga	1	
305	入	ru	ruf	1	ruff	1	
306	照	zhao	vcb	1	vcbf	1	
307	服	fu	fum	1	fump	2	
308	掉	diao	dn	1	dnpv	1	dnp
309	长	zhang	vh	1	vhww	1	
310	够	gou	gz	1	gzhl	1	
311	演	yan	yj	1	yjao	1	
312	路	lu	lu	1	lusp	1	
313	日	ri	ri	1	ribb	1	rib
314	案	an	ani	1	aniw	1	
315	舞	wu	wuc	1	wucx	1	
316	决	jue	jta	1	jtat	1	
317	求	qiu	qqj	1	qqja	2	
318	呃	e	ee	1	eeqv	1	
319	字	zi	zii	1	ziit	1	
320	提	ti	tip	1	tips	1	
321	目	mu	mu	1	mubb	1	
322	夫	fu	fut	1	futt	1	
323	肯	ken	kf	1	kfsm	1	kfs
324	笑	xiao	xn	1	xnet	1	
325	伤	shang	uhc	1	uhct	1	
326	神	shen	ufu	1	ufup	1	
327	父	fu	fuo	1	fuot	2	
328	指	zhi	vip	1	vipb	1	
329	留	liu	lq	1	lqlp	1	
330	德	de	dec	1	decx	1	
331	报	bao	bcpp	1	bcpp	1	
332	水	shui	uv	1	uvrr	1	
333	教	jiao	jnk	1	jnkp	1	
334	枪	qiang	ql	1	qlwv	1	
335	清	qing	qka	1	qkam	1	
336	世	shi	uiet	1	uiet	1	
337	号	hao	hcq	1	hcqt	1	
338	远	yuan	yrj	1	yrjx	1	
339	约	yue	yt	1	ytya	1	yty
340	色	se	se	1	setv	1	set
341	片	pian	pm	1	pmrr	1	
342	原	yuan	yrk	1	yrkt	1	
343	师	shi	uix	1	uixy	1	
344	口	kou	kz	1	kzqq	1	
345	酒	jiu	jq	1	jqar	1	
346	官	guan	gri	1	grib	1	
347	周	zhou	vz	1	vzhq	1	vzh
348	星	xing	xkb	1	xkbh	1	
349	识	shi	uieo	1	uieo	1	
350	救	jiu	jqj	1	jqjp	1	
351	赛	sai	sd	1	sdiq	1	
352	底	di	dik	1	dikt	1	
353	棒	bang	bhw	1	bhwg	1	
354	须	xu	xuw	1	xuwq	1	
355	收	shou	uzt	1	uztp	1	
356	坐	zuo	zof	1	zofz	1	
357	交	jiao	jno	1	jnot	2	
358	婚	hun	hy	1	hysb	1	hys
359	停	ting	tkc	1	tkcp	1	
360	眼	yan	yjb	1	yjbp	1	
361	蛋	dan	djs	1	djsg	1	
362	息	xi	xim	1	ximx	1	
363	室	shi	uiin	1	uiin	1	
364	运	yun	yy	1	yyjx	1	
365	宝	bao	bci	1	bcig	1	
366	哥	ge	ge	1	gepp	3	
367	张	zhang	vht	1	vhtw	1	
368	根	gen	gfw	1	gfwp	1	
369	内	nei	nw	1	nwhf	1	nwh
370	搞	gao	gcp	1	gcpq	1	
371	金	jin	jbo	1	jboo	1	
372	战	zhan	vj	1	vjja	1	
373	火	huo	hof	1	hoff	1	
374	至	zhi	vin	1	vinn	1	
375	声	sheng	ugz	1	ugzx	1	
376	条	tiao	tn	1	tnpt	1	
377	消	xiao	xna	1	xnam	2	
378	期	qi	qiem	1	qiem	1	
379	买	mai	md	1	mdtt	1	mdt
380	整	zheng	vgy	1	vgys	1	
381	病	bing	bkk	1	bkkf	1	
382	弟	di	dil	1	dill	1	
383	音	yin	ybc	1	ybcc	1	
384	装	zhuang	vl	1	vlra	1	
385	您	nin	nb	1	nbcx	1	nbc
386	怕	pa	pa	1	paxm	1	pax
387	犯	fan	fj	1	fjuv	1	fju
388	送	song	ss	1	ssox	1	
389	护	hu	hu	1	hupb	1	
390	近	jin	jbp	1	jbpx	1	
391	怪	guai	gk	1	gkxz	1	gkx
392	花	hua	hxn	1	hxnz	1	
393	持	chi	ii	1	iipp	2	
394	节	jie	jpn	1	jpne	1	
395	与	yu	yuj	1	yujj	2	
396	格	ge	gew	1	gewp	1	
397	光	guang	gl	1	gltt	1	glt
398	度	du	du	1	dukp	1	
399	穿	chuan	ir	1	irij	1	iri
400	愿	yuan	yrkx	1	yrkx	1	
401	象	xiang	xlj	1	xljj	1	
402	使	shi	uic	1	uict	1	
403	击	ji	jij	1	jijv	2	
404	影	ying	ykb	1	ykbw	1	
405	哦	e	eeq	1	eeqa	1	
406	喝	he	heq	1	heqh	1	
407	月	yue	ytm	1	ytmm	1	
408	嘛	ma	maq	1	maqw	1	
409	察	cha	iai	1	iail	1	
410	器	qi	qiq	1	qiqq	1	
411	制	zhi	vir	1	virt	1	
412	二	er	erj	1	erjj	1	
413	助	zhu	vul	1	vult	1	
414	单	dan	djr	1	djrr	1	
415	待	dai	ddc	1	ddcp	1	
416	除	chu	iue	1	iueo	1	
417	尼	ni	ni	1	nibz	1	
418	贝	bei	bwq	1	bwqq	2	
419	写	xie	xpi	1	xpij	1	
420	绝	jue	jty	1	jtyv	1	
421	乐	le	le	1	leii	1	lei
422	帝	di	dii	1	diiy	1	
423	界	jie	jpp	1	jppx	1	
424	姐	jie	jps	1	jpsl	1	
425	反	fan	fjw	1	fjwp	1	
426	担	dan	djp	1	djpj	1	
427	海	hai	hda	1	hdaf	1	
428	由	you	yzpp	1	yzpp	1	
429	论	lun	ly	1	lyez	1	lye
430	司	si	sit	1	sitq	1	
431	布	bu	buv	1	buvy	1	
432	续	xu	xuy	1	xuyt	1	
433	视	shi	uiu	1	uiuq	1	
434	母	mu	muf	1	muff	1	
435	飞	fei	fwt	1	fwtt	1	
436	跑	pao	pc	1	pcsv	1	pcs
437	尽	jin	jbb	1	jbba	1	
438	空	kong	ks	1	ksis	1	ksi
439	万	wan	wjv	1	wjvv	1	
440	强	qiang	qlt	1	qltg	1	
441	达	da	dat	1	datx	1	
442	哈	ha	ha	1	haqq	1	haq
443	托	tuo	to	1	topz	1	
444	注	zhu	vua	1	vuaz	1	
445	罗	luo	lo	1	lool	2	
446	线	xian	xmy	1	xmya	1	
447	弄	nong	ns	1	nsgn	1	nsg
448	代	dai	ddca	1	ddca	1	
449	忙	mang	mh	1	mhxo	1	mhx
450	久	jiu	jqp	1	jqpp	1	
451	坏	huai	hk	1	hkzj	1	hkz
452	奇	qi	qit	1	qitp	1	
453	密	mi	mi	1	miiv	1	
454	议	yi	yie	1	yiet	2	
455	衣	yi	yia	1	yiaa	2	
456	钟	zhong	vso	1	vsox	1	
457	继	ji	jiy	1	jiyt	1	
458	疯	feng	fg	1	fgkt	1	fgk
459	份	fen	ffc	1	ffct	1	
460	止	zhi	vis	1	viss	2	
461	礼	li	liu	1	liut	1	
462	鬼	gui	gv	1	gvdd	1	
463	平	ping	pk	1	pkjv	1	
464	拜	bai	bdx	1	bdxg	1	
465	数	shu	uu	1	uulp	1	
466	睡	shui	uvb	1	uvbj	1	
467	军	jun	jy	1	jyid	1	
468	啦	la	laq	1	laqh	1	
469	紧	jin	jbx	1	jbxy	1	
470	兄	xiong	xs	1	xsqt	1	xsq
471	站	zhan	vjh	1	vjhq	2	
472	品	pin	pb	1	pbqq	1	pbq
473	罪	zui	zvo	1	zvor	1	
474	抓	zhua	vx	1	vxpr	1	vxp
475	英	ying	ykn	1	yknt	1	
476	亮	liang	llo	1	lloh	1	
477	跳	tiao	tns	1	tnst	1	
478	亚	ya	ya	1	yann	1	
479	联	lian	lm	1	lmdt	1	
480	混	hun	hya	1	hyaz	1	
481	狗	gou	gzu	1	gzuq	1	
482	十	shi	uiv	1	uivv	1	
483	脑	nao	nc	1	ncmh	1	
484	业	ye	yen	1	yenn	1	
485	歌	ge	gep	1	gepf	1	
486	精	jing	jkl	1	jklm	1	
487	却	que	qtz	1	qtze	1	
488	包	bao	bch	1	bchv	1	
489	转	zhuan	vr	1	vrda	1	vrd
490	院	yuan	yre	1	yret	1	
491	务	wu	wup	1	wupt	1	
492	参	can	cj	1	cjgw	1	
493	另	ling	lk	1	lkqt	1	
494	台	tai	tdg	1	tdgq	1	
495	统	tong	tsy	1	tsyt	1	
496	况	kuang	kl	1	klat	1	
497	文	wen	wfo	1	wfot	1	
498	风	feng	fgh	1	fght	1	
499	书	shu	uut	1	uuta	1	
500	否	fou	fzj	1	fzjq	1	
501	黑	hei	hwm	1	hwmm	1	
502	险	xian	xme	1	xmet	2	
503	言	yan	yje	1	yjee	1	
504	巴	ba	bav	1	bavv	3	
505	幸	xing	xkz	1	xkzo	1	
506	校	xiao	xnw	1	xnwt	2	
507	复	fu	fu	1	fucp	2	
508	四	si	sio	1	sioo	1	
509	量	liang	llb	1	llbp	1	
510	首	shou	uzo	1	uzom	1	
511	改	gai	gdv	1	gdvp	1	
512	忘	wang	who	1	whox	1	
513	便	bian	bmc	1	bmct	1	
514	假	jia	jxc	1	jxcp	1	
515	岁	sui	sv	1	svvl	1	svv
516	客	ke	kei	1	keip	2	
517	据	ju	ju	1	jupy	1	
518	术	shu	uuw	1	uuwa	1	
519	的	di	dim	1	dima	1	
520	永	yong	ysr	1	ysrr	1	
521	票	piao	pn	1	pnrl	2	
522	传	chuan	irc	1	irca	1	
523	烦	fan	fjf	1	fjfq	1	
524	取	qu	qu	1	qudp	1	
525	游	you	yza	1	yzat	1	
526	糟	zao	zcl	1	zclb	1	
527	基	ji	jiez	1	jiez	1	
528	随	sui	sve	1	svex	2	
529	派	pai	pd	1	pdat	1	
530	令	ling	lkh	1	lkhh	1	
531	探	tan	tjp	1	tjpw	1	
532	恩	en	en	1	enix	1	eni
533	嘴	zui	zvq	1	zvqm	1	
534	式	shi	uia	1	uias	2	
535	律	lv	lv	1	lvcp	1	
536	越	yue	yts	1	ytsa	1	
537	局	ju	jub	1	jubq	1	
538	毒	du	dug	1	dugf	1	
539	麻	ma	mak	1	makw	1	
540	流	liu	lqa	1	lqax	1	
541	答	da	dae	1	daeq	1	
542	简	jian	jme	1	jmeb	1	
543	圣	sheng	ugp	1	ugpz	1	
544	控	kong	ksp	1	ksps	1	
545	唱	chang	ihq	1	ihqb	1	
546	倒	dao	dcc	1	dcct	1	
547	味	wei	wwq	1	wwqv	1	
548	划	hua	hxa	1	hxat	1	
549	易	yi	yib	1	yibm	1	
550	漂	piao	pna	1	pnal	1	
551	支	zhi	vipp	1	vipp	1	
552	治	zhi	via	1	viaq	1	
553	乎	hu	huw	1	huwx	1	
554	录	lu	lup	1	lupr	1	
555	费	fei	fwl	1	fwlq	1	
556	超	chao	ic	1	icsq	1	ics
557	拍	pai	p	1	pdpm	1	
558	轻	qing	qkd	1	qkds	1	
559	五	wu	wuu	1	wuuu	1	
560	往	wang	whc	1	whcz	1	
561	区	qu	quh	1	quht	3	
562	杰	jie	jpw	1	jpwf	1	
563	连	lian	lmd	1	lmdx	1	
564	造	zao	zcr	1	zcrx	1	
565	满	man	mj	1	mjal	1	
566	考	kao	kc	1	kckt	1	kck
567	故	gu	gu	1	guyp	2	
568	喂	wei	wwqs	1	wwqs	1	
569	吸	xi	xiq	1	xiqp	1	
570	极	ji	jiwp	1	jiwp	1	
571	组	zu	zu	1	zuyl	1	zuy
572	讲	jiang	jle	1	jlen	1	
573	块	kuai	kkz	1	kkzt	1	
574	趣	qu	qus	1	qusp	2	
575	兰	lan	ljo	1	ljoj	1	
576	集	ji	jiq	1	jiqw	1	
577	静	jing	jkg	1	jkgp	2	
578	类	lei	lw	1	lwlt	1	
579	呀	ya	yaq	1	yaqj	1	
580	投	tou	tzp	1	tzpn	1	
581	未	wei	wwv	1	wwvv	2	
582	容	rong	rs	1	rsiq	1	
583	步	bu	bus	1	busw	1	
584	束	shu	uuy	1	uuyy	1	
585	化	hua	hxc	1	hxcz	1	
586	戏	xi	xip	1	xipa	1	
587	米	mi	mil	1	mill	1	
588	醒	xing	xkr	1	xkrh	1	
589	终	zhong	vsy	1	vsya	1	
590	恶	e	een	1	eenx	1	
591	赢	ying	ykv	1	ykvq	1	
592	梦	meng	mg	1	mgwl	1	
593	药	yao	ycn	1	ycna	1	
594	卖	mai	mdv	1	mdvt	2	
595	监	jian	jmx	1	jmxo	2	
596	店	dian	dmk	1	dmkq	2	
597	显	xian	xmb	1	xmbn	1	
598	半	ban	bjo	1	bjog	1	
599	班	ban	bjg	1	bjgt	2	
600	科	ke	ker	1	kerv	1	
601	语	yu	yue	1	yueq	1	
602	付	fu	fuw	1	fuww	1	
603	排	pai	pdp	1	pdpr	1	
604	热	re	re	1	repf	1	rep
605	楚	chu	iuw	1	iuws	1	
606	图	tu	tu	1	tuia	1	
607	敢	gan	gjt	1	gjtp	1	
608	偷	tou	tzc	1	tzct	1	
609	破	po	po	1	pofr	1	pof
610	油	you	yzap	1	yzap	1	
611	餐	can	cjl	1	cjlz	1	
612	维	wei	wwy	1	wwyq	2	
613	杯	bei	bww	1	bwwj	1	
614	哇	wa	wa	1	waqz	1	waq
615	市	shi	uio	1	uioy	2	
616	城	cheng	igz	1	igzt	1	
617	权	quan	qrw	1	qrwp	1	
618	某	mou	mz	1	mzew	1	
619	激	ji	jia	1	jiap	2	
620	讨	tao	tc	1	tcep	1	
621	程	cheng	igr	1	igrg	2	
622	责	ze	ze	1	zegq	1	zeg
623	差	cha	iax	1	iaxs	1	
624	立	li	lih	1	lihh	1	
625	昨	zuo	zob	1	zobk	1	
626	闭	bi	bih	1	bihp	1	
627	威	wei	wwa	1	wwas	1	
628	饭	fan	fjz	1	fjzp	2	
629	庭	ting	tkk	1	tkkx	1	
630	换	huan	hrp	1	hrpt	1	
631	船	chuan	ird	1	irdq	1	
632	及	ji	jip	1	jipp	4	
633	猜	cai	cd	1	cdum	1	cdu
634	争	zheng	vgt	1	vgtp	1	
635	级	ji	jiyp	1	jiyp	1	
636	刻	ke	kes	1	kest	1	
637	建	jian	jmp	1	jmpx	1	
638	团	tuan	tr	1	trip	1	tri
639	惊	jing	jkx	1	jkxt	2	
640	阿	a	aa	1	aaep	1	aae
641	段	duan	dr	1	drwn	1	
642	迎	ying	yke	1	ykex	1	
643	标	biao	bnw	1	bnwl	1	
644	迪	di	dip	1	dipx	1	
645	王	wang	whg	1	whgg	1	
646	义	yi	yiat	1	yiat	1	
647	民	min	mb	1	mbdd	1	
648	唯	wei	wwqq	1	wwqq	1	
649	各	ge	gepp	1	gepp	1	
650	夜	ye	yeo	1	yeol	1	
651	靠	kao	kcr	1	kcrr	1	
652	示	shi	uil	1	uill	2	
653	功	gong	gss	1	gsst	1	
654	释	shi	uir	1	uirg	1	
655	乐	yue	yti	1	ytii	1	
656	检	jian	jmw	1	jmwt	1	
657	得	dei	dw	1	dwcp	1	dwc
658	脸	lian	lmm	1	lmmt	1	
659	引	yin	ybt	1	ybtx	1	
660	疑	yi	yiz	1	yizs	1	
661	血	xue	xto	1	xtoo	1	
662	赶	gan	gjs	1	gjsv	1	
663	妹	mei	mws	1	mwsv	1	
664	择	ze	zep	1	zepg	1	
665	独	du	duu	1	duug	1	
666	楼	lou	lz	1	lzws	1	lzw
667	存	cun	cy	1	cyvt	1	cyv
668	练	lian	lmy	1	lmyd	1	
669	冷	leng	lg	1	lgah	1	lga
670	俩	lia	lx	1	lxcl	1	lxc
671	断	duan	drl	1	drlp	1	
672	娘	niang	nl	1	nlsp	1	nls
673	设	she	ue	1	ueen	1	uee
674	置	zhi	vio	1	viol	1	
675	逃	tao	tca	1	tcax	1	
676	观	guan	grp	1	grpq	2	
677	松	song	ssw	1	sswg	1	
678	林	lin	lb	1	lbww	1	
679	痛	tong	tsk	1	tskm	1	
680	足	zu	zus	1	zuss	1	
681	码	ma	maf	1	mafr	1	
682	狂	kuang	klu	1	klug	2	
683	恐	kong	kss	1	kssx	1	
684	妻	qi	qij	1	qijs	1	
685	慢	man	mjx	1	mjxp	1	
686	重	chong	is	1	isvp	1	
687	床	chuang	il	1	ilkw	1	
688	价	jia	jxcx	1	jxcx	1	
