根	音节	字对	位置	首末同时	权重	字1分读音频次	字2分读音频次	字1整字频次排名	字2整字频次排名	字1待分配	字2待分配
全字头	xu	叙—媭	首根	False	0	366	0	2553	5722	0	0
全字头	yan	延—弇	首根	False	0	1811	0	1562	5862	10	0
全字头	yan	弇—殷	首根	False	0	0	0	5862	3439	0	18
全字头	yu	余—鄅	首根	False	0	2818	0	1296	7516	1	0
全字头	yu	悆—禹	首根	False	0	0	4	5898	4740	0	0
全字头	yu	悆—舆	首根	False	0	0	75	5898	3433	0	0
全字头	yu	悆—鄅	首根	False	0	0	0	5898	7516	0	0
全字头	yu	畬—禹	首根	False	0	0	4	6629	4740	0	0
全字头	yu	畬—舆	首根	False	0	0	75	6629	3433	0	0
全字头	yu	畬—鄅	首根	False	0	0	0	6629	7516	0	0
入	cuan	汆—爨	首根	False	0	0	0	6203	6459	0	0
讠	yi	义—议	首根	True	9455	9455	14915	658	457	37	28
讠	liang	良—谅	首根	False	3043	3043	3654	1256	1149	2	0
讠	yi	义—谊	首根	False	944	9455	944	658	1971	37	0
讠	yi	义—译	首根	False	256	9455	256	658	2743	37	2
讠	yi	义—诣	首根	False	22	9455	22	658	4033	37	3
讠	dou	斗—读	首根	False	0	6311	0	869	818	17	360
讠	yi	义—诒	首根	False	0	9455	0	658	7353	37	0
言	shi	始—誓	末根	False	4929	33675	4929	242	994	3	0
言	shi	拾—誓	末根	True	2362	2362	4929	1402	994	0	0
言	zhan	占—詹	末根	False	1486	2282	1486	1423	1534	9	395
言	zhan	站—詹	末根	False	1486	14304	1486	477	1534	26	395
言	yu	浴—誉	末根	False	1461	2223	1461	1450	1712	0	3
言	yu	誉—语	末根	False	1461	1461	10811	1712	611	3	2
言	yan	沿—言	末根	False	877	877	13150	2021	511	0	26
言	zhan	沾—詹	末根	False	790	790	1486	2080	1534	0	395
言	yu	裕—誉	末根	False	236	236	1461	2776	1712	0	3
言	shan	善—赡	末根	False	119	5079	119	979	3181	12	0
言	yan	檐—沿	末根	False	105	105	877	3215	2021	8	0
言	shan	膳—赡	末根	False	63	63	119	3530	3181	0	0
言	zhan	毡—詹	末根	False	54	54	1486	3619	1534	1	395
言	pi	痞—譬	末根	False	52	108	52	3242	3545	0	10
言	zhan	占—瞻	末根	False	46	2282	46	1423	3726	9	0
言	zhan	毡—瞻	末根	False	46	54	46	3619	3726	1	0
言	zhan	沾—瞻	末根	False	46	790	46	2080	3726	0	0
言	zhan	瞻—站	末根	False	46	46	14304	3726	477	0	26
言	shan	缮—赡	末根	False	42	42	119	3776	3181	0	0
言	yan	唁—沿	末根	False	36	36	877	3835	2021	0	0
言	yu	圄—誉	末根	False	15	15	1461	4243	1712	0	3
言	zhan	瞻—粘	末根	False	12	46	12	3726	1963	0	826
言	zhan	粘—詹	末根	False	12	12	1486	1963	1534	826	395
言	shan	赡—鳝	末根	False	5	119	5	3181	4698	0	0
言	shan	苫—赡	末根	False	4	4	119	4749	3181	0	0
言	yu	誉—龉	末根	False	4	1461	4	1712	4791	3	0
言	zhan	占—谵	末根	False	1	2282	1	1423	5200	9	0
言	zhan	毡—谵	末根	False	1	54	1	3619	5200	1	0
言	zhan	沾—谵	末根	False	1	790	1	2080	5200	0	0
言	zhan	站—谵	末根	False	1	14304	1	477	5200	26	0
言	zhan	粘—谵	末根	False	1	12	1	1963	5200	826	0
言	jian	减—謇	末根	False	0	2748	0	1305	7345	1	0
言	jian	碱—謇	末根	False	0	169	0	2968	7345	1	0
言	jian	缄—謇	末根	False	0	76	0	3427	7345	0	0
言	ju	句—鞫	末根	False	0	6632	0	848	7688	8	0
言	ju	局—鞫	末根	False	0	11992	0	523	7688	844	0
言	ju	拘—鞫	末根	False	0	1058	0	1906	7688	0	0
言	ju	枸—鞫	末根	False	0	0	0	4214	7688	15	0
言	ju	橘—鞫	末根	False	0	423	0	2444	7688	12	0
言	ju	泃—鞫	末根	False	0	0	0	6223	7688	0	0
言	ju	焗—鞫	末根	False	0	0	0	4218	7688	16	0
言	ju	筥—鞫	末根	False	0	0	0	6835	7688	0	0
言	ju	莒—鞫	末根	False	0	0	0	7119	7688	0	0
言	ju	蒟—鞫	末根	False	0	0	0	4963	7688	2	0
言	ju	锔—鞫	末根	False	0	3	0	4859	7688	0	0
言	ju	鞫—驹	末根	False	0	0	95	7688	3310	0	0
言	ju	鞫—𬶋	末根	False	0	0	0	7688	8088	0	0
言	pi	否—譬	末根	False	0	0	52	509	3545	0	10
言	pi	嚭—譬	末根	False	0	0	52	5567	3545	0	10
言	shan	善—嶦	末根	False	0	5079	0	979	5827	12	0
言	shan	墡—嶦	末根	False	0	0	0	5672	5827	0	0
言	shan	墡—赡	末根	False	0	0	119	5672	3181	0	0
言	shan	嶦—缮	末根	False	0	0	42	5827	3776	0	0
言	shan	嶦—膳	末根	False	0	0	63	5827	3530	0	0
言	shan	嶦—苫	末根	False	0	0	4	5827	4749	0	0
言	shan	嶦—蟮	末根	False	0	0	0	5827	7276	0	0
言	shan	嶦—鳝	末根	False	0	0	5	5827	4698	0	0
言	shan	蟮—赡	末根	False	0	0	119	7276	3181	0	0
言	yan	兖—言	首根	False	0	0	13150	5460	511	0	26
言	yan	唁—铅	末根	False	0	36	0	3835	2420	0	193
言	yan	檐—铅	末根	False	0	105	0	3215	2420	8	193
言	yan	言—铅	末根	False	0	13150	0	511	2420	26	193
言	yin	嚚—狺	末根	False	0	0	0	5566	6487	0	0
言	yin	嚚—訚	末根	False	0	0	0	5566	7341	0	0
言	yu	峪—誉	末根	False	0	0	1461	5787	1712	0	3
言	yu	潏—誉	末根	False	0	0	1461	6366	1712	0	3
言	yu	燏—誉	末根	False	0	0	1461	6449	1712	0	3
言	yu	矞—誉	末根	False	0	0	1461	6702	1712	0	3
言	zhan	瞻—飐	末根	False	0	46	0	3726	7710	0	0
言	zhan	詹—飐	末根	False	0	1486	0	1534	7710	395	0
言	zhan	谵—飐	末根	False	0	1	0	5200	7710	0	0
言	zhe	哲—詟	末根	False	0	808	0	2012	7344	79	0
言	zhe	喆—詟	末根	False	0	0	0	4074	7344	22	0
言	zi	咨—訾	末根	False	0	584	0	2280	7342	0	0
饣	er	尔—饵	首根	False	389	32083	389	198	2490	9201	18
饣	ren	刃—饪	首根	False	232	265	232	2733	2791	0	0
饣	ren	忍—饪	首根	False	232	4557	232	1036	2791	0	0
饣	er	迩—饵	首根	False	8	8	389	4511	2490	0	18
饣	xi	玺—饩	首根	False	0	92	0	3277	7717	8	0
饣	xi	玺—饻	首根	False	0	92	0	3277	7722	8	0
饣	zhan	詹—𫗴	首根	False	0	1486	0	1534	7978	395	0
艹	cai	菜—裁	首根	False	1971	4061	1971	1086	1509	8	1
艹	zhi	支—芝	首根	False	1313	11692	1313	563	1768	5	29
艹	zhi	直—芝	首根	False	1313	46159	1313	178	1768	4	29
艹	jie	截—节	首根	False	1200	1200	17276	1832	402	0	101
艹	bo	勃—薄	首根	False	967	1811	967	1513	1628	145	191
艹	bo	博—薄	首根	True	967	8650	967	686	1628	383	191
艹	kui	盔—葵	首根	False	212	517	212	2346	2834	0	0
