moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>s 巾:a>q 月:w>t 田:o>n 艹:f>p	0	0	3	49	267	0	10	1335	2603	624425
亻:e>o 忄:p>q 月:w>v 田:o>p 艹:f>w	0	0	3	49	249	0	10	1321	2577	624755
土:r>s 巾:a>o 月:w>t 田:o>n 艹:f>p	0	0	3	49	271	0	11	1335	2605	625695
土:r>q 忄:p>a 月:w>v 木:s>g 艹:f>p	0	0	3	49	259	0	13	1330	2589	628135
亻:e>o 忄:p>a 月:w>v 田:o>n 艹:f>p	0	0	3	49	265	0	15	1316	2570	631310
亻:e>c 巾:a>q 月:w>t 田:o>n 艹:f>w	0	0	3	50	275	0	9	1321	2579	625565
亻:e>c 巾:a>r 月:w>t 田:o>n 艹:f>w	0	0	3	50	281	0	9	1321	2578	625690
亻:e>c 巾:a>o 月:w>t 田:o>n 艹:f>w	0	0	3	50	278	0	10	1321	2581	626815
亻:e>o 巾:a>t 月:w>v 田:o>n 艹:f>w	0	0	3	50	260	0	13	1320	2574	630130
亻:e>c 巾:a>x 月:w>t 田:o>n 艹:f>w	0	0	3	51	283	0	9	1321	2582	627210
亻:e>c 巾:a>q 月:w>v 田:o>n 艹:f>w	0	0	3	51	265	0	11	1323	2576	629200
亻:e>c 巾:a>r 月:w>v 田:o>n 艹:f>w	0	0	3	51	272	0	11	1323	2575	629345
土:r>s 忄:p>q 月:w>v 田:o>n 艹:f>w	0	0	3	51	256	0	12	1342	2613	629275
亻:e>c 巾:a>o 月:w>v 田:o>n 艹:f>w	0	0	3	51	268	0	12	1323	2578	630450
土:r>s 巾:a>r 月:w>v 田:o>n 艹:f>p	0	0	3	51	264	0	14	1337	2600	632100
亻:e>c 巾:a>q 月:w>t 田:o>n 艹:f>p	0	0	3	52	284	0	10	1317	2564	630180
亻:e>c 巾:a>r 月:w>t 田:o>n 艹:f>p	0	0	3	52	290	0	10	1317	2563	630305
亻:e>c 巾:a>x 月:w>v 田:o>n 艹:f>w	0	0	3	52	273	0	11	1323	2579	630845
亻:e>c 巾:a>o 月:w>t 田:o>n 艹:f>p	0	0	3	52	288	0	11	1317	2566	631450
土:r>s 巾:a>q 月:w>v 田:o>n 艹:f>p	0	0	3	52	259	0	14	1337	2600	633500
亻:e>c 忄:p>q 月:w>t 田:o>n 艹:f>w	0	0	3	53	282	0	10	1322	2577	631375
亻:e>c 巾:a>x 月:w>t 田:o>n 艹:f>p	0	0	3	53	292	0	10	1317	2567	631825
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>e	0	0	3	53	276	0	12	1332	2585	633215
土:r>q 忄:p>h 月:w>t 田:o>n 艹:f>p	0	1	0	41	243	0	11	1334	2616	513120
土:r>v 忄:p>q 月:w>t 田:o>n 艹:f>p	0	1	0	42	244	0	9	1335	2619	512185
土:r>q 忄:p>h 月:w>v 田:o>n 艹:f>p	0	1	0	43	236	0	14	1336	2613	519515
土:r>v 忄:p>q 月:w>v 田:o>n 艹:f>p	0	1	0	49	252	0	15	1333	2605	530195
