root	from	to	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
卵	k	g	0	5	0	21	192	0	3	1339	2637
卵	k	q	0	5	0	21	192	0	3	1339	2637
卵	k	t	0	5	0	21	192	0	3	1339	2637
卵	k	u	0	5	0	21	192	0	3	1339	2637
无	v	g	0	5	0	21	192	0	3	1339	2637
无	v	j	0	5	0	21	192	0	3	1339	2637
无	v	k	0	5	0	21	192	0	3	1339	2637
无	v	t	0	5	0	21	192	0	3	1339	2637
龙	t	h	0	5	0	21	192	0	3	1339	2637
秉	o	a	0	5	0	21	192	0	3	1339	2637
秉	o	b	0	5	0	21	192	0	3	1339	2637
秉	o	c	0	5	0	21	192	0	3	1339	2637
秉	o	d	0	5	0	21	192	0	3	1339	2637
秉	o	e	0	5	0	21	192	0	3	1339	2637
秉	o	f	0	5	0	21	192	0	3	1339	2637
秉	o	g	0	5	0	21	192	0	3	1339	2637
秉	o	h	0	5	0	21	192	0	3	1339	2637
秉	o	i	0	5	0	21	192	0	3	1339	2637
秉	o	j	0	5	0	21	192	0	3	1339	2637
秉	o	k	0	5	0	21	192	0	3	1339	2637
秉	o	l	0	5	0	21	192	0	3	1339	2637
秉	o	m	0	5	0	21	192	0	3	1339	2637
秉	o	n	0	5	0	21	192	0	3	1339	2637
秉	o	p	0	5	0	21	192	0	3	1339	2637
秉	o	q	0	5	0	21	192	0	3	1339	2637
秉	o	r	0	5	0	21	192	0	3	1339	2637
秉	o	s	0	5	0	21	192	0	3	1339	2637
秉	o	t	0	5	0	21	192	0	3	1339	2637
秉	o	u	0	5	0	21	192	0	3	1339	2637
秉	o	v	0	5	0	21	192	0	3	1339	2637
秉	o	w	0	5	0	21	192	0	3	1339	2637
秉	o	x	0	5	0	21	192	0	3	1339	2637
秉	o	y	0	5	0	21	192	0	3	1339	2637
秉	o	z	0	5	0	21	192	0	3	1339	2637
尧	k	b	0	5	0	21	192	0	3	1339	2637
尧	k	c	0	5	0	21	192	0	3	1339	2637
尧	k	j	0	5	0	21	192	0	3	1339	2637
尧	k	l	0	5	0	21	192	0	3	1339	2637
尧	k	y	0	5	0	21	192	0	3	1339	2637
居	o	d	0	5	0	21	192	0	3	1339	2637
居	o	r	0	5	0	21	192	0	3	1339	2637
居	o	t	0	5	0	21	192	0	3	1339	2637
居	o	v	0	5	0	21	192	0	3	1339	2637
居	o	z	0	5	0	21	192	0	3	1339	2637
乃	r	a	0	5	0	21	192	0	3	1339	2637
乃	r	i	0	5	0	21	192	0	3	1339	2637
乃	r	j	0	5	0	21	192	0	3	1339	2637
乃	r	l	0	5	0	21	192	0	3	1339	2637
乃	r	u	0	5	0	21	192	0	3	1339	2637
乃	r	x	0	5	0	21	192	0	3	1339	2637
暴	p	b	0	5	0	21	192	0	3	1339	2637
暴	p	j	0	5	0	21	192	0	3	1339	2637
暴	p	n	0	5	0	21	192	0	3	1339	2637
暴	p	r	0	5	0	21	192	0	3	1339	2637
暴	p	u	0	5	0	21	192	0	3	1339	2637
暴	p	x	0	5	0	21	192	0	3	1339	2637
暴	p	z	0	5	0	21	192	0	3	1339	2637
莫	b	e	0	5	0	21	192	0	3	1339	2637
莫	b	g	0	5	0	21	192	0	3	1339	2637
莫	b	x	0	5	0	21	192	0	3	1339	2637
毛	v	m	0	5	0	21	192	0	3	1339	2637
皮	v	a	0	5	0	21	192	0	3	1339	2637
皮	v	b	0	5	0	21	192	0	3	1339	2637
皮	v	c	0	5	0	21	192	0	3	1339	2637
皮	v	d	0	5	0	21	192	0	3	1339	2637
皮	v	e	0	5	0	21	192	0	3	1339	2637
皮	v	f	0	5	0	21	192	0	3	1339	2637
皮	v	g	0	5	0	21	192	0	3	1339	2637
皮	v	h	0	5	0	21	192	0	3	1339	2637
皮	v	i	0	5	0	21	192	0	3	1339	2637
皮	v	j	0	5	0	21	192	0	3	1339	2637
皮	v	k	0	5	0	21	192	0	3	1339	2637
皮	v	l	0	5	0	21	192	0	3	1339	2637
皮	v	m	0	5	0	21	192	0	3	1339	2637
皮	v	n	0	5	0	21	192	0	3	1339	2637
皮	v	o	0	5	0	21	192	0	3	1339	2637
皮	v	p	0	5	0	21	192	0	3	1339	2637
皮	v	q	0	5	0	21	192	0	3	1339	2637
皮	v	r	0	5	0	21	192	0	3	1339	2637
皮	v	s	0	5	0	21	192	0	3	1339	2637
皮	v	t	0	5	0	21	192	0	3	1339	2637
皮	v	u	0	5	0	21	192	0	3	1339	2637
皮	v	w	0	5	0	21	192	0	3	1339	2637
