moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>q 忄:p>g 月:w>t 田:o>s 艹:f>p	1	0	1	38	226	0	7	1339	2619	4003265
亻:e>o 巾:a>q 月:w>v 田:o>q 艹:f>e	1	0	1	38	222	0	7	1323	2577	4004035
亻:e>o 巾:a>o 月:w>t 田:o>s 艹:f>e	1	0	1	38	241	0	7	1322	2581	4004435
亻:e>o 巾:a>o 月:w>t 田:o>q 艹:f>e	1	0	1	38	239	0	7	1321	2578	4004450
土:r>q 忄:p>g 月:w>t 田:o>y 艹:f>p	1	0	1	38	228	0	8	1340	2619	4004465
亻:e>o 巾:a>o 月:w>v 田:o>q 艹:f>e	1	0	1	38	226	0	8	1323	2575	4005325
土:r>m 巾:a>r 月:w>t 田:o>n 艹:f>w	1	0	1	39	240	0	5	1340	2626	4002570
亻:e>o 巾:a>x 月:w>t 田:o>y 艹:f>e	1	0	1	39	247	0	6	1323	2586	4004790
亻:e>o 巾:a>q 月:w>t 田:o>y 艹:f>e	1	0	1	39	240	0	6	1323	2583	4004665
土:r>m 巾:a>r 月:w>v 田:o>n 艹:f>w	1	0	1	39	231	0	7	1342	2623	4004725
亻:e>o 巾:a>x 月:w>v 田:o>y 艹:f>e	1	0	1	39	234	0	7	1325	2583	4005665
亻:e>o 巾:a>q 月:w>v 田:o>y 艹:f>e	1	0	1	39	227	0	7	1325	2580	4005540
亻:e>o 巾:a>o 月:w>t 田:o>y 艹:f>e	1	0	1	39	244	0	7	1323	2581	4005955
亻:e>o 巾:a>o 月:w>v 田:o>y 艹:f>e	1	0	1	39	231	0	8	1325	2578	4006830
土:r>m 巾:a>q 月:w>t 田:o>n 艹:f>w	1	0	1	40	236	0	5	1340	2626	4003990
土:r>m 巾:a>o 月:w>t 田:o>n 艹:f>w	1	0	1	40	239	0	6	1340	2628	4005240
土:r>m 巾:a>q 月:w>v 田:o>n 艹:f>w	1	0	1	40	226	0	7	1342	2623	4006125
亻:e>o 忄:p>q 月:w>t 田:o>s 艹:f>e	1	0	1	40	243	0	7	1323	2581	4007435
亻:e>o 忄:p>q 月:w>t 田:o>q 艹:f>e	1	0	1	40	244	0	7	1322	2574	4007530
土:r>m 巾:a>o 月:w>v 田:o>n 艹:f>w	1	0	1	40	229	0	8	1342	2625	4007375
亻:e>o 巾:a>w 月:w>v 田:o>n 艹:f>e	1	0	1	40	241	0	10	1322	2579	4011045
土:r>m 巾:a>x 月:w>t 田:o>n 艹:f>w	1	0	1	41	242	0	5	1340	2629	4005595
土:r>m 巾:a>r 月:w>t 田:o>n 艹:f>p	1	0	1	41	249	0	6	1336	2611	4007185
土:r>m 巾:a>x 月:w>v 田:o>n 艹:f>w	1	0	1	41	232	0	7	1342	2626	4007730
亻:e>o 忄:p>q 月:w>t 田:o>y 艹:f>e	1	0	1	41	246	0	7	1324	2581	4008955
亻:e>o 忄:p>q 月:w>v 田:o>q 艹:f>e	1	0	1	41	232	0	8	1324	2571	4009925
亻:e>o 巾:a>f 月:w>v 田:o>n 艹:f>e	1	0	1	41	238	0	10	1322	2580	4012480
亻:e>o 巾:a>d 月:w>v 田:o>n 艹:f>e	1	0	1	41	241	0	10	1322	2576	4012560
土:r>m 巾:a>q 月:w>t 田:o>n 艹:f>p	1	0	1	42	245	0	6	1336	2611	4008605
土:r>m 巾:a>o 月:w>t 田:o>n 艹:f>p	1	0	1	42	249	0	7	1336	2613	4009875
亻:e>o 忄:p>q 月:w>v 田:o>y 艹:f>e	1	0	1	42	234	0	8	1326	2578	4011350
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>e	1	0	1	42	247	0	10	1322	2575	4014185
土:r>m 巾:a>x 月:w>t 田:o>n 艹:f>p	1	0	1	43	251	0	6	1336	2614	4010210
