root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
丽	o	w	0.15277425070971604	0	0	21	192	0	3	1339	2638	70.50500000000032	10.460222684484457	54.54225849987492	8.098482622851263	l
彳	u	y	0.6687801745251054	0	0	21	192	0	3	1339	2638	70.53000000000033	10.460222684484457	54.38948424916521	8.098482622851263	l
丽	o	q	0.15277425070971604	0	0	21	192	0	3	1339	2638	70.58000000000033	10.612996935194174	54.54225849987492	8.098482622851263	l
井	b	d	0.086089975993972	0	0	21	192	0	3	1339	2638	70.59000000000033	10.460222684484457	54.38948424916521	8.098482622851263	l
卵	k	y	0.03445541800896151	0	0	21	192	0	3	1339	2638	70.60500000000033	10.460222684484457	54.38948424916521	8.098482622851263	l
臣	o	m	0.020559639529970378	0	0	21	192	0	3	1339	2638	70.76500000000036	10.460222684484457	54.38948424916521	8.098482622851263	l
甫	g	y	0.019731735380903375	0	0	21	192	0	3	1339	2638	70.77250000000035	10.460222684484457	54.3697525137843	8.098482622851263	l
佥	a	j	0.051883817530393485	0	0	21	192	0	3	1339	2638	70.88500000000039	10.408338866954065	54.33760043163481	8.098482622851263	l
夷	e	l	0.003385377276311344	0	0	21	192	0	3	1339	2638	70.9400000000004	10.460222684484457	54.38609887188889	8.101868000127574	l
韦	k	v	0.044128159617794364	0	0	21	192	0	3	1339	2638	71.05500000000042	10.460222684484457	54.433612408783	8.098482622851263	l
夷	e	m	0.003385377276311344	0	0	21	192	0	3	1339	2638	71.16500000000042	10.460222684484457	54.38609887188889	8.098482622851263	l
立	t	w	0.48295035264792757	0	0	21	192	0	3	1339	2638	71.31750000000044	10.460222684484457	54.38948424916521	8.098482622851263	l
九	p	z	0.05253654006435758	0	0	21	193	0	3	1339	2638	70.10250000000026	10.460222684484457	54.44202078922956	8.098482622851263	l
辛	s	q	0.022076274114872087	0	0	21	193	0	3	1339	2638	70.1650000000003	10.48229895859933	54.38948424916521	8.098482622851263	l
束	b	p	0.06773895329966469	0	0	21	193	0	3	1339	2638	70.1800000000003	10.527961637784122	54.32174529586554	8.098482622851263	l
氏	s	o	0.11068097376668697	0	0	21	193	0	3	1339	2638	70.26500000000028	10.460222684484457	54.278803275398516	8.098482622851263	l
臣	o	a	0.020559639529970378	0	0	21	193	0	3	1339	2638	70.27500000000032	10.480782324014427	54.41004388869518	8.098482622851263	l
丽	o	y	0.15277425070971604	0	0	21	193	0	3	1339	2638	70.38000000000031	10.460222684484457	54.38948424916521	8.098482622851263	l
毛	v	e	0.32603832606917865	0	0	21	194	0	3	1339	2638	70.24000000000031	10.460222684484457	54.38948424916521	8.098482622851263	l
习	j	l	0.054108673612549965	0	0	21	194	0	3	1339	2638	70.41500000000033	10.460222684484457	54.38948424916521	8.152591296463813	l
氏	s	l	0.11068097376668697	0	0	21	194	0	3	1339	2638	70.49250000000033	10.460222684484457	54.278803275398516	8.20916359661795	l
毛	v	t	0.32603832606917865	0	0	21	195	0	3	1339	2638	70.01500000000024	10.460222684484457	54.38948424916521	8.098482622851263	l
毛	v	u	0.32603832606917865	0	0	21	195	0	3	1339	2638	71.1050000000004	10.460222684484457	54.063445923096026	8.098482622851263	l
纟	o	j	0.7285838864500331	0	0	21	195	0	3	1339	2638	74.80500000000087	10.460222684484457	54.38948424916521	8.098482622851263	l
囗	l	b	0.29228734238277077	0	0	21	196	0	3	1339	2638	70.3075000000003	10.460222684484457	54.68177159154797	7.806195280468492	l
鸟	s	t	0.1110388518618757	0	0	21	198	0	3	1339	2638	70.09250000000024	10.460222684484457	54.38948424916521	8.098482622851263	l
鬼	t	j	0.027571504262519655	0	0	21	190	0	3	1339	2637	70.51500000000033	10.460222684484457	54.36191274490268	8.098482622851263	l
立	t	j	0.48295035264792757	0	0	21	190	0	3	1339	2637	71.14250000000041	10.460222684484457	53.906533896517274	8.098482622851263	l
鬼	t	o	0.027571504262519655	0	0	21	191	0	3	1339	2637	70.32500000000032	10.460222684484457	54.36191274490268	8.098482622851263	l
韦	k	s	0.044128159617794364	0	0	21	191	0	3	1339	2637	70.59000000000033	10.460222684484457	54.433612408783	8.098482622851263	l
骨	z	j	0.02296978957852602	0	0	21	191	0	3	1339	2637	70.74000000000034	10.437252894905932	54.36651445958668	8.098482622851263	l
韦	k	q	0.044128159617794364	0	0	21	191	0	3	1339	2637	70.79000000000036	10.504350844102252	54.433612408783	8.098482622851263	l
里	v	w	0.44329205058447957	0	0	21	191	0	3	1339	2637	70.85500000000037	10.460222684484457	54.38948424916521	8.098482622851263	l
束	b	i	0.06773895329966469	0	0	21	191	0	3	1339	2637	70.9675000000004	10.460222684484457	54.32174529586554	8.098482622851263	l
片	o	d	0.5144330566260246	0	0	21	191	0	3	1339	2637	71.50500000000044	10.460222684484457	54.903917305791225	8.098482622851263	l
莫	b	g	0.05458694817258361	0	0	21	192	0	3	1339	2637	70.09000000000024	10.460222684484457	54.38948424916521	8.098482622851263	l
也	l	p	1.4588985117384918	0	0	21	192	0	3	1339	2637	70.11500000000026	11.91912119622295	54.38948424916521	6.837837075526247	k
禸	n	e	0.04549606332608182	0	0	21	192	0	3	1339	2637	70.1150000000003	10.460222684484457	54.434980312491284	8.098482622851263	l
也	l	a	1.4588985117384918	0	0	21	192	0	3	1339	2637	70.12500000000027	11.91912119622295	55.8483827609037	6.837837075526247	k
居	o	z	0.06751840490070718	0	0	21	192	0	3	1339	2637	70.12500000000028	10.527741089385165	54.45700265406591	8.098482622851263	l
民	n	a	0.04465562779266337	0	0	21	192	0	3	1339	2637	70.14000000000028	10.504878312277121	54.434139876957865	8.098482622851263	l
民	n	z	0.04465562779266337	0	0	21	192	0	3	1339	2637	70.14000000000028	10.504878312277121	54.434139876957865	8.098482622851263	l
示	p	b	0.10561323831305398	0	0	21	192	0	3	1339	2637	70.14000000000028	10.354609446171402	54.49509748747826	8.098482622851263	l
卵	k	g	0.03445541800896151	0	0	21	192	0	3	1339	2637	70.14500000000028	10.460222684484457	54.42393966717417	8.098482622851263	l
长	b	j	0.23029601162222446	0	0	21	192	0	3	1339	2637	70.15000000000029	10.460222684484457	54.15918823754298	8.098482622851263	l
禸	n	q	0.04549606332608182	0	0	21	192	0	3	1339	2637	70.15500000000029	10.505718747810539	54.434980312491284	8.098482622851263	l
以	t	o	0.41899637312589505	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	53.97048787603931	8.098482622851263	l
之	t	y	0.24764648655425583	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.14183776261095	8.098482622851263	l
井	b	p	0.086089975993972	0	0	21	192	0	3	1339	2637	70.16500000000029	10.54631266047843	54.303394273171236	8.098482622851263	l
瓦	g	p	0.032557131389254944	0	0	21	192	0	3	1339	2637	70.16500000000029	10.492779815873712	54.35692711777595	8.098482622851263	l
暴	p	n	0.018047533186580644	0	0	21	192	0	3	1339	2637	70.16500000000029	10.442175151297876	54.38948424916521	8.098482622851263	l
夷	e	r	0.003385377276311344	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	a	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	b	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	c	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	d	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	e	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	f	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	g	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	h	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	i	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	j	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	k	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	l	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
乙	v	m	0.0	0	0	21	192	0	3	1339	2637	70.16500000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
