root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
乙	v	g	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	h	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	i	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	j	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	k	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	l	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	m	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	n	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	o	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	p	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	q	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	r	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	s	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	t	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	u	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	w	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	x	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	y	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乙	v	z	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
来	k	m	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
来	k	o	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	a	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	b	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	c	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	d	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	e	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	f	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	g	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	h	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	i	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	j	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	k	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	l	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	m	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	n	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	p	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	q	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	r	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	s	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	t	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
