汉字	最终规范拆分	编码首根	编码末根
軣	一 ＋ 日 ＋ 十 ＋ 冫 ＋ 撇 ＋ 点	横	点
轟	一 ＋ 日 ＋ 十 ＋ 一 ＋ 日 ＋ 十 ＋ 一 ＋ 日 ＋ 十	横	十
㢬	弓 ＋ 左字框 ＋ 厶	折	厶
紘	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 左字框 ＋ 厶	纟	厶
紭	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 弓 ＋ 厶	纟	厶
綋	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 宀 ＋ 左字框 ＋ 厶	纟	厶
黌	撇 ＋ 卢字头 ＋ 一 ＋ 㐅 ＋ 㐅 ＋ 折 ＋ 二 ＋ 冖 ＋ 龷 ＋ 由 ＋ 八	撇	八
彋	弓 ＋ 罒 ＋ 一 ＋ 口 ＋ 衣省	折	衣
晎	日 ＋ 龷 ＋ 八	日	八
閧	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 龷 ＋ 八	匚	八
鬨	丨 ＋ 玨 ＋ 竖 ＋ 龷 ＋ 八	竖	八
閎	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 左字框 ＋ 厶	匚	厶
闀	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 龷 ＋ 八 ＋ 巳	匚	已
闂	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 龹 ＋ 㔾	匚	已
䃔	石 ＋ 宀 ＋ 口 ＋ 口	石	口
硡	石 ＋ 宀 ＋ 左字框 ＋ 厶	石	厶
仜	亻 ＋ 工	亻	工
霟	雨头 ＋ 氵 ＋ 龷 ＋ 八	雨	八
䨎	雨头 ＋ 弓 ＋ 厶	雨	厶
霐	雨头 ＋ 氵 ＋ 弓 ＋ 厶	雨	厶
瓨	工 ＋ 瓦	工	瓦
䲨	工 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	工	火
㬴	月 ＋ 龷 ＋ 八	月	八
垬	土 ＋ 龷 ＋ 八	土	八
玜	王 ＋ 八 ＋ 厶	王	厶
谹	八 ＋ 全字头 ＋ 口 ＋ 左字框 ＋ 厶	八	厶
䜫	八 ＋ 全字头 ＋ 口 ＋ 工	八	工
䞑	土 ＋ 亦字底 ＋ 工	土	工
谾	八 ＋ 全字头 ＋ 口 ＋ 宀 ＋ 八 ＋ 工	八	工
䰧	鬼 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	鬼	几
嘑	口 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	口	竖
嘝	口 ＋ 角 ＋ 冬字底 ＋ 十	口	十
喖	口 ＋ 木 ＋ 古	口	古
嚛	口 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	口	木
㗅	口 ＋ 古 ＋ 月	口	月
婟	女 ＋ 囗 ＋ 古	女	古
護	言 ＋ 艹 ＋ 隹 ＋ 又	讠	又
嫮	女 ＋ 雨头 ＋ 二 ＋ 折	女	折
謼	言 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	讠	竖
許	言 ＋ 卧人 ＋ 十	讠	十
幠	巾 ＋ 卧人 ＋ 卌 ＋ 一 ＋ 灬	巾	火
媩	女 ＋ 古 ＋ 月	女	月
䉿	米 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	米	竖
䊀	米 ＋ 古	米	古
熩	火 ＋ 户 ＋ 口 ＋ 巴	火	已
粐	米 ＋ 户	米	尸
焀	火 ＋ 八 ＋ 全字头 ＋ 口	火	口
箎	竹头 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	竹	几
䇘	竹头 ＋ 互	竹	争字底
䈸	竹头 ＋ 角 ＋ 冬字底 ＋ 十	竹	十
簄	竹头 ＋ 户 ＋ 口 ＋ 巴	竹	已
箶	竹头 ＋ 古 ＋ 月	竹	月
瀫	氵 ＋ 士 ＋ 冖 ＋ 一 ＋ 糸 ＋ 殳	氵	殳
沍	氵 ＋ 互	氵	争字底
鍙	氵 ＋ 龷 ＋ 八 ＋ 金	氵	钅
㫚	勿 ＋ 曰	勿	日
㳷	氵 ＋ 勿 ＋ 日	氵	日
曶	勿 ＋ 日	勿	日
泘	氵 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	氵	竖
滸	氵 ＋ 言 ＋ 卧人 ＋ 十	氵	十
滬	氵 ＋ 户 ＋ 口 ＋ 巴	氵	已
㴶	氵 ＋ 冖 ＋ 隹	氵	隹
䕶	艹 ＋ 言 ＋ 隹 ＋ 又	艹	又
萀	艹 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	艹	几
芐	艹 ＋ 横 ＋ 卜	艹	卜
苸	艹 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	艹	竖
蔛	艹 ＋ 角 ＋ 冬字底 ＋ 十	艹	十
䓤	艹 ＋ 勿 ＋ 心	艹	忄
蔰	艹 ＋ 户 ＋ 口 ＋ 巴	艹	已
㺀	犭 ＋ 勿 ＋ 心	犭	忄
寣	宀 ＋ 爿 ＋ 言	宀	讠
㾰	疒 ＋ 古 ＋ 月	广	月
䗂	虫 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	虫	几
頶	告字头 ＋ 口 ＋ 一 ＋ 自 ＋ 八	牛	八
䭅	全字头 ＋ 丶 ＋ 即字旁 ＋ 囗 ＋ 古	人	古
錿	全字头 ＋ 金字底 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	人	几
韄	革 ＋ 艹 ＋ 隹 ＋ 又	廿	又
頀	音 ＋ 艹 ＋ 隹 ＋ 又	音	又
鋘	全字头 ＋ 金字底 ＋ 口 ＋ 天	人	大
䧼	告字头 ＋ 口 ＋ 隹	牛	隹
䩴	革 ＋ 古 ＋ 月	廿	月
䭍	全字头 ＋ 丶 ＋ 即字旁 ＋ 龶 ＋ 皿	人	皿
鍸	全字头 ＋ 金字底 ＋ 古 ＋ 月	人	月
餬	全字头 ＋ 丶 ＋ 即字旁 ＋ 古 ＋ 月	人	月
䬍	风省 ＋ 撇 ＋ 虫 ＋ 勿 ＋ 心	几	忄
䁫	目 ＋ 黑	日	黑
䴣	鹿旁 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	鹿	竖
㕆	厂 ＋ 古	广	古
搰	扌 ＋ 骨	扌	骨
㧮	扌 ＋ 臼	扌	白
戸	一 ＋ 尸	横	尸
㪶	一 ＋ 白 ＋ 冬字底 ＋ 十	横	十
㸦	一 ＋ 折 ＋ 竖 ＋ 点	横	点
抇	扌 ＋ 曰	扌	日
摢	扌 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	扌	竖
軤	一 ＋ 日 ＋ 十 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	横	竖
㧾	扌 ＋ 勿 ＋ 心	扌	忄
㨭	扌 ＋ 户 ＋ 口 ＋ 巴	扌	已
鬍	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 古 ＋ 月	横	月
絗	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 囗 ＋ 口	纟	口
乕	反字框 ＋ 二 ＋ 巾	撇	巾
觷	撇 ＋ 卢字头 ＋ 一 ＋ 㐅 ＋ 㐅 ＋ 折 ＋ 二 ＋ 冖 ＋ 角	撇	角
䪝	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角 ＋ 艹 ＋ 隹 ＋ 又	折	又
䊺	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 互	纟	争字底
弖	弓 ＋ 一	折	横
戶	戶	尸	尸
衚	彳 ＋ 古 ＋ 月 ＋ 一 ＋ 丁	彳	寸
乥	撇 ＋ 丷 ＋ 乙	撇	乙
乯	撇 ＋ 丷 ＋ 一 ＋ 竖 ＋ 乙	撇	乙
芔	凵 ＋ 丨 ＋ 凵 ＋ 丿 ＋ 凵 ＋ 丨	匚	竖
㦌	毛 ＋ 毛 ＋ 毛 ＋ 心	毛	忄
礐	撇 ＋ 卢字头 ＋ 一 ＋ 㐅 ＋ 㐅 ＋ 折 ＋ 二 ＋ 冖 ＋ 石	撇	石
㽇	撇 ＋ 卢字头 ＋ 一 ＋ 㐅 ＋ 㐅 ＋ 折 ＋ 二 ＋ 冖 ＋ 瓦	撇	瓦
䤕	酉 ＋ 白 ＋ 幺 ＋ 幺 ＋ 木	西	木
䍓	罒 ＋ 牙	皿	牙
虝	卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 勿	卜	勿
歑	卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖 ＋ ⺈ ＋ 人	卜	人
虖	卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	卜	竖
虍	卜 ＋ 厂 ＋ 匕	卜	匕
戯	卜 ＋ 厂 ＋ 匕 ＋ 业 ＋ 戈	卜	戈
戲	卜 ＋ 厂 ＋ 匕 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 戈	卜	戈
雐	卜 ＋ 厂 ＋ 匕 ＋ 隹	卜	隹
恗	忄 ＋ 大 ＋ 二 ＋ 折	忄	折
㦆	忄 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	忄	竖
匢	匚 ＋ 勿	匚	勿
綔	大 ＋ 二 ＋ 折 ＋ 撇 ＋ 糸	大	纟
俿	亻 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	亻	几
匫	匚 ＋ 勿 ＋ 日	匚	日
冴	冫 ＋ 牙	氵	牙
䴯	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 夂 ＋ 勿	十	勿
雽	雨头 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	雨	竖
䨚	雨头 ＋ 勿 ＋ 心	雨	忄
䠒	足旁 ＋ 古 ＋ 月	足	月
䚛	角 ＋ 告字头 ＋ 口	角	口
鯱	鱼省 ＋ 灬 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	鱼	几
鱯	鱼省 ＋ 灬 ＋ 艹 ＋ 隹 ＋ 又	鱼	又
魱	鱼省 ＋ 灬 ＋ 互	鱼	争字底
鰗	鱼省 ＋ 灬 ＋ 古 ＋ 月	鱼	月
㯛	木 ＋ 士 ＋ 冖 ＋ 丨 ＋ 一 ＋ 折 ＋ 折 ＋ 一 ＋ 丨 ＋ 一	木	横
枑	木 ＋ 互	木	争字底
䭌	古 ＋ 月 ＋ 全字头 ＋ 丶 ＋ 艮	古	艮
瓳	古 ＋ 瓦	古	瓦
䎁	古 ＋ 习 ＋ 习	古	习
楛	木 ＋ 艹 ＋ 古	木	古
槴	木 ＋ 户 ＋ 口 ＋ 巴	木	已
鶘	古 ＋ 月 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	古	火
鶦	古 ＋ 月 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	古	火
楜	木 ＋ 古 ＋ 月	木	月
帍	户 ＋ 巾	尸	巾
䨼	龶 ＋ 青字底 ＋ 艹 ＋ 隹 ＋ 又	丰	又
㦿	户 ＋ 木	尸	木
鳸	户 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	尸	火
鸌	丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬 ＋ 艹 ＋ 隹 ＋ 又	撇	又
鴩	失 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	矢	火
膴	月 ＋ 卧人 ＋ 卌 ＋ 一 ＋ 灬	月	火
㱿	士 ＋ 冂 ＋ 一 ＋ 殳	土	殳
㷤	士 ＋ 冖 ＋ 一 ＋ 火 ＋ 殳	土	殳
㺉	士 ＋ 冖 ＋ 一 ＋ 犬 ＋ 殳	土	殳
嗀	士 ＋ 冖 ＋ 一 ＋ 口 ＋ 殳	土	殳
螜	士 ＋ 冖 ＋ 一 ＋ 殳 ＋ 虫	土	虫
壷	士 ＋ 冖 ＋ 口 ＋ 丨 ＋ 丨 ＋ 一	土	横
壺	士 ＋ 冖 ＋ 丨 ＋ 一 ＋ 折 ＋ 折 ＋ 一 ＋ 丨 ＋ 一	土	横
垀	土 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	土	竖
瓡	土 ＋ 南字心 ＋ 瓜	土	爫
䞱	走 ＋ 八 ＋ 全字头 ＋ 口	足	口
䫭	贵字头 ＋ 目 ＋ 八 ＋ 一 ＋ 自 ＋ 八	虫	八
嘒	口 ＋ 丰 ＋ 丰 ＋ 彐	口	争字底
嚖	口 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	口	忄
噦	口 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	口	点
噅	口 ＋ 爫 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	口	火
䛛	言 ＋ 囗 ＋ 口	讠	口
孈	女 ＋ 山 ＋ 隹 ＋ 冂 ＋ 八 ＋ 口	女	口
譭	言 ＋ 臼 ＋ 工 ＋ 殳	讠	殳
䜋	言 ＋ 贵字头 ＋ 目 ＋ 八	讠	八
詼	言 ＋ 左字框 ＋ 火	讠	火
詯	言 ＋ 自	讠	白
嬒	女 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	女	日
諱	言 ＋ 折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角	讠	降下角
譮	言 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	讠	日
㜇	女 ＋ 土 ＋ 土 ＋ 心	女	忄
譓	言 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	讠	忄
譿	言 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	讠	忄
媈	女 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	女	十
誨	言 ＋ 卧人 ＋ 母	讠	母
輝	尚字头 ＋ 兀 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	小	十
䛼	言 ＋ 臼 ＋ 工	讠	工
婎	女 ＋ 隹	女	隹
燬	火 ＋ 臼 ＋ 工 ＋ 殳	火	殳
烣	火 ＋ 左字框 ＋ 火	火	火
煒	火 ＋ 折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角	火	降下角
燴	火 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	火	日
煇	火 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	火	十
㷄	火 ＋ 日 ＋ 木	火	木
㷐	火 ＋ 臼 ＋ 土	火	土
䙡	衤 ＋ 贵字头 ＋ 目 ＋ 八	礻	八
篲	竹头 ＋ 丰 ＋ 丰 ＋ 彐	竹	争字底
褘	衤 ＋ 折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角	礻	降下角
䂕	矢 ＋ 折 ＋ 折 ＋ 豕	矢	豕
湏	氵 ＋ 一 ＋ 自 ＋ 八	氵	八
洃	氵 ＋ 左字框 ＋ 火	氵	火
沬	氵 ＋ 未	氵	未
泋	氵 ＋ 十 ＋ 廾	氵	艹
澮	氵 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	氵	日
潓	氵 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	氵	忄
瀈	氵 ＋ 习 ＋ 习 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	氵	十
滙	氵 ＋ 匚 ＋ 隹	氵	隹
䕇	艹 ＋ 广 ＋ 鬼	艹	鬼
藱	艹 ＋ 疒 ＋ 鬼	艹	鬼
蔧	艹 ＋ 丰 ＋ 丰 ＋ 彐	艹	争字底
薈	艹 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	艹	日
薉	艹 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	艹	点
蘳	艹 ＋ 龷 ＋ 由 ＋ 八 ＋ 土 ＋ 土	艹	土
顪	止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶 ＋ 一 ＋ 自 ＋ 八	止	八
缋	纟 ＋ 贵字头 ＋ 贝	纟	见
獩	犭 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	犭	点
翽	止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶 ＋ 习 ＋ 习	止	习
㞀	左字框 ＋ 折 ＋ 左字框 ＋ 火	十	火
阓	门 ＋ 贵字头 ＋ 贝	匚	见
䅏	禾 ＋ 尸 ＋ 毛	禾	毛
穢	禾 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	禾	点
囘	冂 ＋ 巳	匚	已
痐	疒 ＋ 囗 ＋ 口	广	口
瘣	疒 ＋ 鬼	广	鬼
寭	宀 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	宀	忄
㾯	疒 ＋ 田 ＋ 畏字底带横	广	定字底
蚘	虫 ＋ 尤	虫	龙
䖶	虫 ＋ 豕	虫	豕
蛕	虫 ＋ 左字框 ＋ 青字底	虫	月
蜖	虫 ＋ 罒 ＋ 二	虫	二
䤧	全字头 ＋ 金字底 ＋ 囗 ＋ 口	人	口
毀	臼 ＋ 土 ＋ 殳	白	殳
毇	臼 ＋ 米 ＋ 殳	白	殳
鑴	全字头 ＋ 金字底 ＋ 山 ＋ 隹 ＋ 冂 ＋ 八 ＋ 口	人	口
㩓	臼 ＋ 工 ＋ 殳 ＋ 手	白	扌
㰥	廿 ＋ 折 ＋ ⺈ ＋ 人	廿	人
㑹	全字头 ＋ 一 ＋ 由 ＋ 日	人	日
會	全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	人	日
鏸	全字头 ＋ 金字底 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	人	忄
㹆	牜 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	牛	十
銊	全字头 ＋ 金字底 ＋ 厂 ＋ 一 ＋ 折 ＋ 撇 ＋ 丶	人	点
鐬	全字头 ＋ 金字底 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	人	点
彚	录字头 ＋ 冖 ＋ 日 ＋ 木	争字底	木
餯	全字头 ＋ 丶 ＋ 即字旁 ＋ 折 ＋ 折 ＋ 豕	人	豕
䜐	阝 ＋ 左字框 ＋ 工 ＋ 青字底 ＋ 言	卩	讠
䶐	自 ＋ 田 ＋ 丌 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	白	日
瞺	目 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	日	日
䧥	阝 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	卩	忄
䁤	目 ＋ 啇	日	商
鼿	自 ＋ 田 ＋ 丌 ＋ 兀	白	儿
賄	目 ＋ 八 ＋ 左字框 ＋ 青字底	日	月
睳	目 ＋ 大 ＋ 土 ＋ 土	日	土
屶	山 ＋ 刀	山	刀
䢈	厂 ＋ 一 ＋ 畏字底带横 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	广	日
㞧	山 ＋ 乃	山	乃
屷	山 ＋ 乃	山	乃
靧	面 ＋ 贵字头 ＋ 目 ＋ 八	雨	八
拻	扌 ＋ 左字框 ＋ 火	扌	火
㨹	扌 ＋ 丰 ＋ 丰 ＋ 彐	扌	争字底
叀	一 ＋ 由 ＋ 厶	横	厶
㩨	扌 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	扌	忄
恵	一 ＋ 由 ＋ 心	横	忄
䩈	面 ＋ 卧人 ＋ 母	雨	母
揮	扌 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	扌	十
撝	扌 ＋ 爫 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	扌	火
豗	兀 ＋ 豕	儿	豕
㨤	扌 ＋ 匚 ＋ 隹	扌	隹
㣛	彳 ＋ 全字头 ＋ 一 ＋ 口	彳	口
繢	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 贵字头 ＋ 目 ＋ 八	纟	八
頮	水 ＋ 廾 ＋ 一 ＋ 自 ＋ 八	氵	八
䌇	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 十 ＋ 冖 ＋ 糸	纟	纟
颒	水 ＋ 廾 ＋ 页	氵	见
幑	彳 ＋ 山 ＋ 一 ＋ 巾 ＋ 攵	彳	又
鰴	彳 ＋ 山 ＋ 一 ＋ 鱼省 ＋ 灬 ＋ 攵	彳	又
絵	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 全字头 ＋ 二 ＋ 厶	纟	厶
徻	彳 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	彳	日
韋	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角	折	降下角
韢	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	折	忄
彙	彑 ＋ 冖 ＋ 日 ＋ 木	争字底	木
廽	罒 ＋ 二 ＋ 廴	皿	辶
逥	罒 ＋ 二 ＋ 辶	皿	辶
違	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角 ＋ 辶	折	辶
囬	罒 ＋ 二	皿	二
闠	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 贵字头 ＋ 目 ＋ 八	匚	八
暳	日 ＋ 丰 ＋ 丰 ＋ 彐	日	争字底
㬩	日 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	日	忄
暉	日 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	日	十
㱱	歹 ＋ 鬼	夕	鬼
恛	忄 ＋ 囗 ＋ 口	忄	口
殨	歹 ＋ 贵字头 ＋ 目 ＋ 八	夕	八
㱮	歹 ＋ 贵字头 ＋ 贝	夕	见
憓	忄 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	忄	忄
懳	忄 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	忄	忄
䃣	石 ＋ 丶 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	石	火
㤬	忄 ＋ 土 ＋ 土	忄	土
儶	亻 ＋ 山 ＋ 隹 ＋ 冂 ＋ 八 ＋ 口	亻	口
㥣	大 ＋ 土 ＋ 土 ＋ 心	大	忄
僡	亻 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	亻	忄
㑰	亻 ＋ 折 ＋ 折 ＋ 豕	亻	豕
㒑	亻 ＋ 匚 ＋ 氵 ＋ 隹	亻	隹
匯	匚 ＋ 氵 ＋ 隹	匚	隹
禈	礻 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	礻	十
鮰	鱼省 ＋ 灬 ＋ 囗 ＋ 口	鱼	口
翬	习 ＋ 习 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	习	十
檓	木 ＋ 臼 ＋ 工 ＋ 殳	木	殳
圚	囗 ＋ 贵字头 ＋ 目 ＋ 八	囗	八
槥	木 ＋ 丰 ＋ 丰 ＋ 彐	木	争字底
椲	木 ＋ 折 ＋ 丨 ＋ 一 ＋ 口 ＋ 降下角	木	降下角
櫘	木 ＋ 丰 ＋ 丰 ＋ 彐 ＋ 心	木	忄
楎	木 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	木	十
檅	木 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	木	点
廻	囗 ＋ 口 ＋ 廴	囗	辶
迴	囗 ＋ 口 ＋ 辶	囗	辶
䝅	豕 ＋ 土	豕	土
噕	爫 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬 ＋ 口	爫	口
灳	勹 ＋ 火	匚	火
㻅	王 ＋ 全字头 ＋ 二 ＋ 厶	王	厶
璯	王 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	王	日
璤	王 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	王	忄
琿	王 ＋ 冖 ＋ 一 ＋ 日 ＋ 十	王	十
潶	氵 ＋ 黑	氵	黑
黒	里 ＋ 灬	里	火
㱄	黑 ＋ ⺈ ＋ 人	黑	人
㕷	口 ＋ 白	口	白
㕦	口 ＋ 大	口	大
㕲	口 ＋ 木	口	木
嘩	口 ＋ 艹 ＋ 一 ＋ 龷 ＋ 十	口	十
䛡	言 ＋ 氏 ＋ 口	讠	口
話	言 ＋ 千 ＋ 口	讠	口
嫿	女 ＋ 折 ＋ 丰 ＋ 一 ＋ 田 ＋ 一	女	横
諙	言 ＋ 氏 ＋ 日	讠	日
婲	女 ＋ 艹 ＋ 亻 ＋ 化字边	女	匕
誮	言 ＋ 艹 ＋ 亻 ＋ 化字边	讠	匕
嬅	女 ＋ 艹 ＋ 一 ＋ 龷 ＋ 十	女	十
譁	言 ＋ 艹 ＋ 一 ＋ 龷 ＋ 十	讠	十
糀	米 ＋ 艹 ＋ 亻 ＋ 化字边	米	匕
澅	氵 ＋ 折 ＋ 丰 ＋ 一 ＋ 田 ＋ 一	氵	横
㳸	氵 ＋ 艹 ＋ 亻 ＋ 化字边	氵	匕
䔢	艹 ＋ 人 ＋ 人 ＋ 人 ＋ 人 ＋ 二 ＋ 折	艹	折
㭉	艹 ＋ 木	艹	木
蘤	艹 ＋ 白 ＋ 爫 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	艹	火
鷨	艹 ＋ 一 ＋ 龷 ＋ 十 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	艹	火
芲	艹 ＋ 全字头 ＋ 化字边	艹	匕
蒊	艹 ＋ 亻 ＋ 化字边 ＋ 口 ＋ 匕	艹	匕
華	艹 ＋ 一 ＋ 龷 ＋ 十	艹	十
蕐	艹 ＋ 一 ＋ 人 ＋ 人 ＋ 人 ＋ 人 ＋ 举字底	艹	扌
黊	龷 ＋ 由 ＋ 八 ＋ 土 ＋ 土	廿	土
䶤	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 骨	止	骨
獪	犭 ＋ 全字头 ＋ 一 ＋ 囗 ＋ 尚字头 ＋ 日	犭	日
舙	千 ＋ 口 ＋ 千 ＋ 口 ＋ 千 ＋ 口	干	口
螖	虫 ＋ 骨	虫	骨
釫	全字头 ＋ 金字底 ＋ 二 ＋ 折	人	折
竵	立 ＋ 一 ＋ 口 ＋ 降下角 ＋ 冂 ＋ 丷 ＋ 一 ＋ 丨	立	竖
釪	全字头 ＋ 金字底 ＋ 于	人	干
錵	全字头 ＋ 金字底 ＋ 艹 ＋ 亻 ＋ 化字边	人	匕
䇈	立 ＋ 又 ＋ 土	立	土
鏵	全字头 ＋ 金字底 ＋ 艹 ＋ 一 ＋ 龷 ＋ 十	人	十
㟆	山 ＋ 亻 ＋ 化字边 ＋ 十	山	十
㠏	山 ＋ 艹 ＋ 一 ＋ 龷 ＋ 十	山	十
崋	山 ＋ 一 ＋ 龷 ＋ 十	山	十
搳	扌 ＋ 宀 ＋ 丰 ＋ 口	扌	口
㓰	一 ＋ 由 ＋ 凵 ＋ 刂	横	刀
