word	code	score	groups	written	dialogue	subtitle	simple	tiger	ice
化装	hxvl	1.9666602460145137	6	0.22501963793386914	0.06424604872305795	0.16393601319530415	1	1	1
云雾	yywu	1.9666501380591943	6	0.23981478173138004	0.1564083189028681	0.058108911852161604	1	1	1
变性	bmxk	1.966588994421611	5	0.2703302309926088	0	0.1863020901772927	1	1	1
峰值	fgvi	1.9665849918398166	6	0.27156044062337004	0.07536384263955731	0.10979959050796018	1	1	1
砸碎	zasv	1.9665823462004894	6	0.2095732004935973	0.12392071750852507	0.11845967142083869	1	1	1
菲菲	fwfw	1.9665538080871867	6	0.1941495428198602	0.22679140932890518	0.029804249673675343	1	1	1
红星	hsxk	1.966542937628275	6	0.2581562496482065	0.14176736950169544	0.055736813614018055	1	1	1
牵动	qmds	1.9664336382777323	6	0.28107099632107246	0.12019072675316833	0.05607730608717432	1	1	1
哼唧	hgji	1.9663811221452492	6	0.18262487460944055	0.25284875532743	0.014252223606355252	1	1	1
走失	zzui	1.966356302077592	6	0.18977766156654363	0.14446435336835062	0.1160149606299109	1	1	1
晚期	wjqi	1.9663181890659218	5	0.3215251020364114	0	0.13883697432479103	1	1	1
俨然	yjrj	1.9663034791156773	6	0.24488773403817699	0.1516141737963651	0.05795367102660787	1	1	1
佛像	foxl	1.9662948236942284	6	0.22295308222498766	0.13637585870569602	0.0934326990052603	1	1	1
神色	ufse	1.9662372466876876	5	0.39009931250788255	0	0.07547543975248361	1	1	1
撕下	sixx	1.9662284274547885	6	0.20897039998218536	0.09073585334273127	0.15192872163893523	1	1	1
爆表	bcbn	1.966131827808777	5	0.20179435587011973	0.24921430828048718	0	1	1	1
贫富	pbfu	1.96611181590783	6	0.2760212591800434	0.11033623844085294	0.07034553455282244	1	1	1
俗语	suyu	1.9660950735238445	6	0.21716975842374853	0.13117516139459384	0.10381819507874956	1	1	1
笑笑	xnxn	1.966074677426218	5	0.30844749782256564	0.29866562599110047	0.15974797403900676	1	1	0
血丝	xpsi	1.9660710682996378	6	0.20673978566408013	0.18583574212397447	0.05876681595505773	1	1	1
满堂	mjth	1.9660630906876126	6	0.19189466378925146	0.1442256641781975	0.11407394669911863	1	1	1
预案	yuan	1.9660291818968338	6	0.31579652402918845	0.051909306728800786	0.09199327254951295	1	1	1
历年	linm	1.9660166203756986	6	0.2826061813388786	0.1402693873050137	0.03426076867117411	1	1	1
法力	fali	1.965965910500889	6	0.17622397605590456	0.1467454643567917	0.12594464274613426	1	1	1
据悉	juxi	1.965947347659085	6	0.3722160834981568	0.025535381714948735	0.06622465479374129	1	1	1
绝配	jtpw	1.9659261260845362	5	0.19877419864764245	0.2518439136210502	0	1	1	1
小院	xnyr	1.9659057675477425	6	0.2771105828100543	0.1544674964002538	0.025050248350267368	1	1	1
正反	vgfj	1.9658856963415512	6	0.2549117426859401	0.13702306761043226	0.06297047478835471	1	1	1
出勤	iuqb	1.965873025128396	6	0.23582548253950675	0.09229862787921517	0.12530325372154483	1	1	1
镇痛	vfts	1.9658366438992445	6	0.2841695586631898	0.0688762815978593	0.10407231340476908	1	1	1
突变	tubm	1.9658159411417597	5	0.3118369432240157	0	0.14739354559457019	1	1	1
排长	pdih	1.9658061606850388	6	0.28916711608725787	0.10825399271001435	0.06005802373639302	1	1	1
欢腾	hrtg	1.965805046373141	6	0.27150637807031	0.13612352718854714	0.04848985180281351	1	1	1
注水	vuuv	1.965794254529737	6	0.2219785498396296	0.14093708294446727	0.08938598991874958	1	1	1
大使	daui	1.965782563817271	5	0.4753958293874434	0.21387450340771608	0.24405439547869845	0	1	1
天河	tmhe	1.9657706622912077	5	0.21521768253567264	0.23654572557569287	0	1	1	1
粉尘	ffif	1.965751552552121	6	0.2573239461078758	0.120129229355175	0.07753447620072496	1	1	1
封口	fgkz	1.9657291286539986	6	0.1940186620794383	0.13715045037668083	0.11893165282229823	1	1	1
存折	cyve	1.965715782113905	6	0.22029864130363175	0.11504755353504326	0.11676584073383922	1	1	1
洋人	yhrf	1.9657075081322395	6	0.2506779111987255	0.16586029192052476	0.037904334766989844	1	1	1
过路	golu	1.9656720788348014	6	0.2171896688052678	0.1495477644594032	0.08510183267019689	1	1	1
低劣	dilp	1.9655912310247095	6	0.24459306415753923	0.09673271133063321	0.1125592533121842	1	1	1
失信	uixb	1.9655787206690842	6	0.28831883386872936	0.10512350797992798	0.06379658434823299	1	1	1
飘忽	pnhu	1.9655466133062323	6	0.20856225730550249	0.16136532775032864	0.08115152189554009	1	1	1
东家	dsjx	1.965516724221827	6	0.2275094674524919	0.13638893021810017	0.08861519538100504	1	1	1
菜场	cdih	1.9654805454723636	6	0.2265707713786541	0.20576522236767636	0.02007756210769207	1	1	1
战备	vjbw	1.9654528247306509	6	0.30013587683124576	0.05881571154575971	0.09909949809512952	1	1	1
红牌	hspd	1.9654489350806088	6	0.20431857082623361	0.1555735697958689	0.09078539181115297	1	1	1
厨娘	iunl	1.9654282535374819	5	0.2233315424722644	0.22879261736212675	0	1	1	1
后怕	hzpa	1.9654023570512051	6	0.1850590501540329	0.20321522810922854	0.0608859233264375	1	1	1
扣篮	kzlj	1.9653433583029063	6	0.16494134090107648	0.16382525023139138	0.11880071070831211	1	1	1
大牌	dapd	1.9653405703168283	5	0.2159546097147821	0.23553464512237676	0	1	1	1
两万	llwj	1.9653378868274518	5	0.33210707041573906	0.25306440700140875	0.18294282555902608	1	1	0
深重	ufvs	1.9652571797882419	6	0.267513398425014	0.10398321524427967	0.08389455527743206	1	1	1
奶水	nduv	1.9652242529359554	6	0.17959663591061414	0.1775458516072601	0.09146052519521586	1	1	1
商铺	uhpu	1.9652139280073389	6	0.24052292299908073	0.14882111125005448	0.0639376736795163	1	1	1
球技	qqji	1.9651614163492548	6	0.17876864016892002	0.15790118573435308	0.11182115899376288	1	1	1
芳华	fhhx	1.9651474486048737	5	0.20133488646869857	0.24888121910956595	0	1	1	1
月经	ytjk	1.9650709128413961	5	0.2805874527693567	0	0.1756661303985908	1	1	1
名师	mkui	1.965070181442278	6	0.2479974140111798	0.13631053052006215	0.06943814996367803	1	1	1
应答	ykda	1.965062335395508	6	0.24399474906182306	0.0883927102242279	0.12104470248448007	1	1	1
唱腔	ihql	1.9650468787408801	6	0.26342007841414306	0.11079315463026018	0.08070129509582336	1	1	1
内力	nwli	1.9650434878122702	6	0.295438980900942	0.11159938457726326	0.05033654675438304	1	1	1
七点	qidm	1.9650086717191528	5	0.2578905682050614	0.2998504746905548	0.2044110559810446	1	1	0
变量	bmll	1.96500163271903	5	0.32021291698117094	0	0.13903548641663455	1	1	1
禁赛	jbsd	1.964994881608547	6	0.18995874223381515	0.14750444013116482	0.11176047596727268	1	1	1
匕首	biuz	1.9648959176346437	5	0.27980163292440385	0	0.17625689086566076	1	1	1
宝库	bcku	1.9648913729728879	6	0.27926860794346786	0.06810024194041586	0.1086451760909124	1	1	1
侧重	cevs	1.9648825687516491	6	0.27966494021611965	0.12590717472274993	0.05046562565594659	1	1	1
红娘	hsnl	1.9648724721440387	6	0.21050261005095483	0.17782573591270923	0.06238144876643936	1	1	1
缭绕	lnrc	1.9648668459921708	6	0.22347812180806836	0.1552592061368221	0.07296625526509237	1	1	1
存量	cyll	1.9648481290230855	6	0.3153682564057666	0.08973486591570534	0.05365453511211449	1	1	1
规章	gvvh	1.9648473500631116	5	0.31198858544233565	0	0.14650849810177613	1	1	1
衡阳	hgyh	1.9648261572720087	5	0.24339809189938555	0.20980649768672788	0	1	1	1
附加	fujx	1.964793967770945	5	0.2960867236034579	0	0.16114607649753498	1	1	1
劈叉	piia	1.964773649160052	6	0.1578339609444004	0.189283367047259	0.09946501451179623	1	1	1
中层	vscg	1.9646931244575772	6	0.26076710601265607	0.09125367237982851	0.10241755626816396	1	1	1
猛兽	mguz	1.9646439986836546	6	0.2055673763540068	0.11692344235385366	0.12766359384525905	1	1	1
结业	jpye	1.9646234529275124	6	0.24886385656117216	0.1339610599511668	0.07064419009045309	1	1	1
非但	fwdj	1.9646059272419043	6	0.2930591416295687	0.10541016280781756	0.05838595818173786	1	1	1
接龙	jpls	1.9645769150752264	5	0.20319703346018814	0.2467234422484622	0	1	1	1
掺杂	ijza	1.9645746388341019	6	0.22057514185030713	0.1273683320461304	0.10331202842597231	1	1	1
指示	viui	1.9645521554947032	5	0.46864535320352696	0.1841315939019983	0.2790820458291331	0	1	1
书签	uuqm	1.9645421723856393	6	0.17504562197348394	0.18964377211807792	0.08303886327996712	1	1	1
相交	xljn	1.9645103649233877	6	0.23720468494060354	0.12782532026739568	0.08745525126696096	1	1	1
跃进	ytjb	1.9644884327363195	6	0.3541983733408419	0.060237849776743846	0.047031676936571065	1	1	1
植入	viru	1.9644436425933849	5	0.2682331637277334	0	0.1865875739385423	1	1	1
村姑	cygu	1.964372508648771	6	0.18246927769995158	0.20584249976765967	0.05985701977759361	1	1	1
投掷	tzvi	1.9643530326008558	6	0.25921610294973263	0.06983379933584022	0.12500751532660348	1	1	1
脱水	touv	1.9642712695897449	5	0.2785929540840366	0	0.17689209591453925	1	1	1
坏死	hksi	1.9642618000042602	5	0.33249457915717806	0	0.12712946539665138	1	1	1
贫瘠	pbji	1.9642408485398137	6	0.25974698684451325	0.12653150126241697	0.06773347129635066	1	1	1
马背	mabw	1.9642188986949014	6	0.24902057126305188	0.09892803434324515	0.10522136041001595	1	1	1
虎皮	hupi	1.9641572510348912	6	0.19437815751764387	0.19244093279493446	0.06210019183100324	1	1	1
山川	ujir	1.9640987838123771	6	0.27360987520098135	0.10504438656412107	0.07631479310603251	1	1	1
龙舟	lsvz	1.9640983514529187	6	0.26923371389496464	0.14404469636562	0.04135368423358088	1	1	1
诗篇	uipm	1.9640635204328096	6	0.2673056245035512	0.10196341791870522	0.08518794441094746	1	1	1
调养	tnyh	1.9640504401290784	6	0.19653855712621726	0.21030346863294802	0.04216127873445019	1	1	1
俯身	fuuf	1.964040213338365	6	0.2600237761703291	0.09004932317364034	0.10380581677556733	1	1	1
狂喜	klxi	1.9640291918958455	6	0.22881939170097376	0.1181803325463251	0.10447037657265734	1	1	1
夫君	fujy	1.9640242700725827	6	0.18104404377719818	0.1752704555943415	0.0914767886671547	1	1	1
车轮	iely	1.9640165951514956	5	0.2880136483665443	0	0.1680001670089557	1	1	1
换算	hrsr	1.9640144379297588	6	0.21790973179918505	0.14679945837385588	0.0859103568344034	1	1	1
赡养	ujyh	1.9640084850551935	6	0.2509095530979072	0.12500766471662073	0.07723619785084479	1	1	1
女声	nvug	1.9639883982146036	6	0.18610717151880807	0.16731423967949333	0.09473175446822502	1	1	1
铁锅	tpgo	1.9639775694133612	6	0.21741399952488438	0.1913538276467377	0.041785226186723756	1	1	1
外孙	wdsy	1.963977251376233	6	0.19145909379872894	0.11654085760485478	0.14055632610111324	1	1	1
转念	vrnm	1.9638822360742916	6	0.2399433946296019	0.13282010141299716	0.07944925437067163	1	1	1
学府	xtfu	1.9638795481328266	6	0.24244911251187085	0.1527054342305264	0.05724888355299795	1	1	1
半球	bjqq	1.9638667692821157	6	0.20884908732646779	0.13219078191927403	0.10876911384253707	1	1	1
雅安	yaan	1.9637512332527969	5	0.21721401377361238	0.2331495513265095	0	1	1	1
鱼雷	yulw	1.9637197171334466	6	0.19092896505852763	0.09779826780569567	0.1595901622429301	1	1	1
笑意	xnyi	1.9636923885193411	6	0.26721745478326375	0.1278095221188792	0.05913774155760154	1	1	1
立春	liiy	1.9636883206927704	5	0.21558774566748673	0.2346023276090664	0	1	1	1
纪委	jiww	1.9636517821014414	5	0.33127089175567226	0.12778977845741146	0	1	1	1
味精	wwjk	1.9636303944310756	6	0.20906654020825943	0.1830087625168496	0.057568580699430716	1	1	1
常温	ihwf	1.9636218673071855	6	0.23139138592825315	0.1665288071678538	0.05343442682697841	1	1	1
门缝	mffg	1.9636034678179968	6	0.2282965293350513	0.1323320873187197	0.0904737839243076	1	1	1
断开	drkd	1.9636014470542849	6	0.19640374974329178	0.13565560541111565	0.11658820025221894	1	1	1
伤残	uhcj	1.9635885450959782	6	0.2562581279144527	0.09462098827124554	0.10236269757385852	1	1	1
鼓足	guzu	1.9635875563704714	6	0.206203576275111	0.15643024995944732	0.08675687684081301	1	1	1
核能	heng	1.9634788315223393	6	0.29065132456297127	0.030431811177497714	0.1347199134738668	1	1	1
宽裕	kryu	1.9634049223227659	6	0.2379889785463939	0.13518158561986737	0.07852468212405062	1	1	1
套话	tchx	1.9633861931689225	6	0.20661985356580592	0.15449430754350202	0.0881536685256944	1	1	1
成仙	igxm	1.9632802569752248	5	0.2070070372600895	0.24220908635624427	0	1	1	1
女娃	nvwa	1.9632681143251336	6	0.1795997612721797	0.19576879089085053	0.07172997895416333	1	1	1
听信	tkxb	1.9632583246661954	6	0.1976754582058673	0.12861491355061305	0.12219106707950611	1	1	1
附和	fuhe	1.9632404961923142	6	0.24816157574540565	0.12709763451901257	0.0770920618639317	1	1	1
吃货	iiho	1.9632062463704454	5	0.11552307579153698	0.3265988887850779	0	1	1	1
馈赠	kvzg	1.9631683957439372	6	0.23092736893632004	0.12964936807595373	0.09039336501662587	1	1	1
兆头	vctz	1.9631663520614109	6	0.1869024249383926	0.09117580321900143	0.16950376765433706	1	1	1
测算	cesr	1.9631661488511805	6	0.3119230664550464	0.06955799121818274	0.07571775424729799	1	1	1
招工	vcgs	1.9631513383667385	6	0.27559169368581804	0.1257334698634086	0.05306753470871206	1	1	1
涂层	tucg	1.963150441603593	6	0.2732071800768542	0.11819447886051881	0.06280692537899502	1	1	1
相传	xlir	1.9631415029181114	6	0.271546127273976	0.09168320022228216	0.09084460761567215	1	1	1
猫腻	mcni	1.9631263090753306	6	0.18047890567353198	0.16646110933578484	0.10011706163890177	1	1	1
堂妹	thmw	1.9630657169905943	6	0.1835648052181693	0.14579380601216752	0.11788923300997944	1	1	1
端详	drxl	1.963059507459084	6	0.2844909998762448	0.12272040080664914	0.047795220429958984	1	1	1
拇指	muvi	1.9630140707742734	5	0.24529564195199915	0	0.20666100033221113	1	1	1
持平	iipk	1.9630097562813131	6	0.2710901863469489	0.10911343577944688	0.0737338970397643	1	1	1
腊八	laba	1.9629742788621365	5	0.20112244682726366	0.2474056482072463	0	1	1	1
蛙泳	ways	1.9629606869735627	6	0.23073507989947317	0.16464080612139964	0.05541964856644255	1	1	1
档期	dhqi	1.9629576631188423	5	0.2040471017066614	0.24469318543911434	0	1	1	1
报喜	bcxi	1.962940612381073	6	0.23293130779196192	0.17913201629481035	0.03888570911343514	1	1	1
兴建	xkjm	1.9629034705550907	6	0.3625381305126333	0.015476503032384126	0.08287558461371647	1	1	1
欧式	ouui	1.9628907120001564	6	0.1814619422884889	0.174396878095332	0.09109264594618338	1	1	1
细则	xize	1.9628740158479459	6	0.3097423531491521	0.07641546842175684	0.07064852547744593	1	1	1
清蒸	qkvg	1.96285614379123	6	0.18221061392102345	0.221233704888105	0.043538146716512016	1	1	1
转接	vrjp	1.9627897579061786	6	0.17344456039867528	0.13127783653598069	0.14153469071614888	1	1	1
市容	uirs	1.9627846242031652	6	0.2669761709352405	0.13713726421633632	0.0493344427689536	1	1	1
