word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
啧啧称赞	zzcz	THUOCL+新华补充	1342	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	224	1	0
取之不竭	qvbj	简单鹤	313	0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	224	0	0
百业待兴	bydx	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	224	0	0
微处理机	wilj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	224	0	1
言而无信	yewx	简单鹤	569	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	223	1	1
吊儿郎当	deld	简单鹤	306	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	223	1	1
鉴往知来	jwvl	简单鹤	224	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	223	1	1
木本植物	mbvw	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	223	0	0
化为泡影	hwpy	简单鹤	1073	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	221	1	0
赤身露体	cslt	THUOCL+新华补充	61	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	221	1	0
神秘主义	umvy	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	221	0	0
一片狼藉	yplj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	221	0	0
女扮男装	nbnv	简单鹤	335	0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	220	0	1
风流人物	flrw	简单鹤	170	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	220	1	1
阿尔金山	aeju	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	220	0	0
在此以前	zcyq	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	220	0	0
匠心独具	jxdj	简单鹤	567	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	219	1	1
色厉内荏	slnr	简单鹤	156	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	219	1	1
快快活活	kkhh	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	217	0	0
无牵无挂	wqwg	简单鹤	185	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	216	1	1
怒目而视	nmeu	简单鹤	184	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	216	1	1
老奸巨猾	ljjh	简单鹤	126	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	216	1	1
鲜血淋漓	xxll	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq	2	216	0	0
孝子贤孙	xzxs	简单鹤	119	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	215	1	1
软弱可欺	rrkq	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	214	0	1
戊戌维新	wxwx	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	214	0	0
飞扬跋扈	fybh	简单鹤	587	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	213	1	1
独断独行	dddx	简单鹤	84	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	213	1	1
锦绣江山	jxjs	THUOCL+新华补充	72	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	213	1	0
平白无故	pbwg	简单鹤	901	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	212	1	1
破涕为笑	ptwx	简单鹤	508	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	212	1	1
大雄宝殿	dxbd	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	212	0	1
