汉字	原始总频	已分配频率	待分配频率
枸	16	1	15
枹	0	0	0
柁	0	0	0
柃	0	0	0
柄	536	533	3
柈	0	0	0
柊	0	0	0
柏	1343	628	715
某	10247	10247	0
柑	43	35	8
柒	1	1	0
染	3274	3263	11
柔	1542	1540	2
柖	0	0	0
柘	1	1	0
柙	0	0	0
柚	56	56	0
柜	1977	1934	43
柝	0	0	0
柞	0	0	0
柠	552	550	2
柢	0	0	0
查	31095	28313	2782
柩	15	14	1
柬	197	196	1
柯	1745	1407	338
柰	8	8	0
柱	551	550	1
柳	288	277	11
柴	601	583	18
柷	0	0	0
柽	0	0	0
柿	134	134	0
栀	16	16	0
栅	277	192	85
标	9572	9570	2
栈	54	54	0
栉	0	0	0
栊	0	0	0
栋	1093	1089	4
栌	3	3	0
栎	5	0	5
栏	897	881	16
栐	0	0	0
树	4925	4892	33
栒	0	0	0
栓	266	266	0
栖	165	164	1
栗	290	290	0
栝	0	0	0
栟	0	0	0
校	13122	13091	31
栩	46	46	0
株	111	109	2
栲	1	1	0
栳	0	0	0
栴	0	0	0
样	161413	160857	556
核	2786	2322	464
根	18904	18641	263
栻	0	0	0
格	19477	17252	2225
栽	325	324	1
栾	0	0	0
桀	7	7	0
桁	9	9	0
桂	240	233	7
桃	1219	1204	15
桄	0	0	0
桅	61	61	0
框	352	352	0
案	23014	22985	29
桉	21	21	0
桊	0	0	0
桌	3653	3643	10
桎	7	7	0
桐	38	38	0
桑	2366	1903	463
桓	21	21	0
桔	165	46	119
桕	0	0	0
桠	1	1	0
桡	14	13	1
桢	1	0	1
档	4903	4895	8
桤	0	0	0
桥	1894	1885	9
桦	18	18	0
桧	2	0	2
桨	150	150	0
桩	682	682	0
桫	0	0	0
桯	0	0	0
桲	2	0	2
桴	0	0	0
桶	1435	1435	0
桷	0	0	0
桹	0	0	0
梁	377	370	7
梃	1	1	0
梅	2978	2226	752
梆	51	51	0
梌	0	0	0
梏	6	6	0
梓	30	30	0
梗	101	101	0
梠	0	0	0
梢	98	98	0
梣	0	0	0
梦	11083	11048	35
梧	31	31	0
梨	272	269	3
梭	472	472	0
梯	2443	2439	4
械	928	928	0
梳	433	433	0
梴	0	0	0
梵	169	160	9
梼	0	0	0
梽	0	0	0
梾	1	0	1
梿	0	0	0
检	9493	9337	156
棁	0	0	0
棂	2	2	0
棉	597	589	8
棋	665	664	1
棍	1366	1366	0
棐	0	0	0
棒	20010	20010	0
棓	0	0	0
棕	905	903	2
棘	403	402	1
棚	531	526	5
棠	6	6	0
棣	1	0	1
棤	0	0	0
棨	0	0	0
棪	0	0	0
棫	0	0	0
棬	0	0	0
森	6955	5418	1537
棰	1	1	0
棱	77	56	21
棵	616	616	0
棹	0	0	0
棺	610	610	0
棻	0	0	0
棼	0	0	0
棽	0	0	0
椀	0	0	0
椁	1	1	0
椅	2116	2110	6
椆	0	0	0
椋	0	0	0
植	1827	1792	35
椎	311	311	0
椐	1	1	0
椑	0	0	0
椒	586	585	1
椓	0	0	0
椟	0	0	0
椠	0	0	0
椤	0	0	0
椪	0	0	0
椭	43	43	0
椰	290	290	0
椴	1	1	0
椸	0	0	0
椹	0	0	0
椽	5	5	0
椿	52	46	6
楂	4	3	1
楒	0	0	0
楔	28	28	0
楗	0	0	0
楙	0	0	0
楚	10683	10654	29
楝	9	9	0
楞	16	14	2
楠	90	62	28
楣	23	21	2
楦	2	2	0
楩	0	0	0
楪	0	0	0
楫	0	0	0
楮	0	0	0
楯	3	0	3
楷	49	48	1
楸	20	20	0
楹	1	1	0
楼	9176	9162	14
概	5532	5532	0
榃	0	0	0
榄	1069	1069	0
榅	2	0	2
榆	46	46	0
榇	0	0	0
榈	337	337	0
榉	13	13	0
榍	0	0	0
榑	0	0	0
榔	39	39	0
榕	8	8	0
榖	3	0	3
榛	24	24	0
榜	591	590	1
榧	0	0	0
榨	243	243	0
榫	1	1	0
榭	29	29	0
榰	0	0	0
榱	0	0	0
榴	284	277	7
榷	9	9	0
榻	31	31	0
槁	2	2	0
槃	0	0	0
槊	1	1	0
槌	73	73	0
槎	0	0	0
槐	13	13	0
槔	0	0	0
槚	0	0	0
槛	53	49	4
槜	0	0	0
槟	890	886	4
槠	0	0	0
槭	4	4	0
槱	0	0	0
槲	31	31	0
槽	329	329	0
槿	0	0	0
樊	29	29	0
樗	2	2	0
樘	1	1	0
樟	13	13	0
模	8644	8104	540
樨	0	0	0
横	1074	1068	6
樯	1	1	0
樱	336	336	0
樵	8	8	0
樽	29	29	0
樾	0	0	0
橄	1061	1061	0
橇	220	220	0
橐	0	0	0
橑	0	0	0
橘	435	423	12
橙	513	507	6
橛	0	0	0
橞	0	0	0
橡	601	586	15
橥	0	0	0
橦	0	0	0
橱	719	719	0
橹	3	3	0
橼	0	0	0
檀	52	52	0
檄	0	0	0
檎	0	0	0
檐	113	105	8
檑	0	0	0
檗	0	0	0
檞	9	0	9
檠	0	0	0
檩	0	0	0
檫	2	2	0
檬	533	531	2
櫆	0	0	0
欂	0	0	0
欠	2962	2962	0
次	58108	58087	21
欢	57817	57796	21
欣	1870	1807	63
欤	0	0	0
欧	3678	3372	306
欲	2515	2515	0
欸	31	0	31
欹	0	0	0
欺	2114	2114	0
欻	0	0	0
款	3486	3483	3
歃	4	4	0
歅	0	0	0
歆	0	0	0
歇	1522	1451	71
歉	25447	25447	0
歌	13868	13841	27
歙	0	0	0
止	14732	14692	40
正	57215	57134	81
此	28050	28041	9
步	11260	11236	24
武	6516	6442	74
歧	692	692	0
歪	583	583	0
歹	286	286	0
死	71256	71155	101
歼	69	69	0
殁	1	1	0
殂	1	1	0
殃	114	114	0
殄	4	4	0
殆	61	61	0
殇	6	6	0
殉	134	134	0
殊	1731	1731	0
残	3409	3409	0
殍	0	0	0
殒	14	14	0
殓	7	7	0
殖	524	514	10
殚	4	4	0
殛	0	0	0
殡	176	176	0
殣	0	0	0
殪	0	0	0
殳	0	0	0
殴	391	391	0
段	9577	9575	2
殷	74	56	18
殿	1372	1372	0
毁	7225	7225	0
毂	0	0	0
毅	142	136	6
毋	133	133	0
毌	0	0	0
母	15556	15556	0
每	28306	28306	0
毐	0	0	0
毒	12056	11971	85
毓	0	0	0
比	51838	49537	2301
毕	4624	4552	72
毖	5	5	0
毗	19	19	0
毙	796	792	4
毛	6487	6473	14
毡	55	54	1
毪	0	0	0
毫	4785	4713	72
毯	1172	1172	0
毳	0	0	0
毵	0	0	0
毹	0	0	0
毽	2	2	0
氅	0	0	0
氆	0	0	0
氇	0	0	0
氍	0	0	0
氏	893	494	399
氐	0	0	0
民	9468	9447	21
氓	650	650	0
气	28335	28314	21
氕	0	0	0
氖	10	10	0
氘	0	0	0
氙	9	9	0
氚	8	8	0
氛	741	741	0
氟	80	80	0
氡	9	9	0
氢	220	220	0
氤	1	1	0
氦	42	42	0
氧	1134	1134	0
氨	151	151	0
氩	17	17	0
氪	201	201	0
氮	138	138	0
氯	233	232	1
氰	84	84	0
氲	1	1	0
水	21793	21758	35
永	12756	12669	87
氾	0	0	0
氿	0	0	0
汀	932	643	289
汁	1591	1591	0
求	22773	22771	2
汆	0	0	0
汇	1737	1736	1
汈	0	0	0
汉	4874	4298	576
汊	0	0	0
汋	0	0	0
汐	48	48	0
汔	0	0	0
汕	2	2	0
汗	1537	1472	65
汛	4	4	0
汜	0	0	0
汝	100	97	3
汞	75	75	0
江	780	759	21
池	2372	2365	7
污	1379	1377	2
汤	4521	3757	764
汧	0	0	0
汨	4	4	0
汩	4	4	0
汪	254	252	2
汫	0	0	0
汭	0	0	0
汰	2611	2611	0
汲	52	52	0
汴	2	2	0
汶	17	17	0
汹	84	84	0
汽	3608	3564	44
汾	0	0	0
沁	9	9	0
沂	1	1	0
沃	3761	3027	734
沄	0	0	0
沅	57	54	3
沆	42	42	0
沇	0	0	0
沈	53	24	29
沉	3347	3345	2
沌	79	79	0
沏	19	19	0
沐	136	136	0
沓	36	22	14
沔	0	0	0
沘	0	0	0
沙	5683	5438	245
沚	0	0	0
沛	149	149	0
沟	932	927	5
没	293880	293839	41
沣	0	0	0
沤	1	1	0
沥	63	47	16
沦	232	232	0
沧	40	40	0
沨	0	0	0
沩	0	0	0
沪	8	8	0
沫	304	304	0
沭	7	7	0
沮	827	827	0
沱	10	10	0
河	3471	3447	24
沸	198	198	0
油	10553	10513	40
沺	0	0	0
治	11940	11650	290
沼	433	433	0
沽	17	17	0
沾	790	790	0
沿	877	877	0
泂	0	0	0
泃	0	0	0
泄	1632	1630	2
泅	1	1	0
泇	0	0	0
泉	917	915	2
泊	334	185	149
泌	171	150	21
泐	0	0	0
泓	2	2	0
泔	18	18	0
法	60750	60286	464
泖	0	0	0
泗	0	0	0
泙	0	0	0
泚	1	0	1
泛	396	392	4
泜	0	0	0
泞	26	26	0
泠	3	3	0
泡	2747	2738	9
波	7341	6627	714
泣	563	556	7
泥	1472	1470	2
注	15260	15258	2
泪	1269	1267	2
泫	0	0	0
泮	11	8	3
泯	22	22	0
泰	4164	3557	607
泱	6	6	0
泳	2361	2361	0
泵	165	165	0
泷	26	0	26
泸	4	4	0
泺	0	0	0
泻	142	142	0
泼	588	572	16
泽	1735	1616	119
泾	5	5	0
洁	2163	2036	127
洄	0	0	0
洇	0	0	0
洈	0	0	0
洋	2225	2158	67
洌	1	1	0
洎	0	0	0
洑	0	0	0
洒	557	557	0
洓	0	0	0
洗	8220	7646	574
洘	0	0	0
洙	262	188	74
洚	0	0	0
洛	9950	8394	1556
洞	2997	2988	9
洢	0	0	0
洣	0	0	0
津	559	546	13
洧	0	0	0
洨	0	0	0
洪	453	431	22
洫	0	0	0
洭	0	0	0
洮	0	0	0
洱	0	0	0
洲	3381	3377	4
洳	0	0	0
洴	0	0	0
洵	0	0	0
洸	0	0	0
洹	0	0	0
洺	0	0	0
活	38236	38216	20
洼	41	38	3
洽	189	187	2
派	12704	12222	482
洿	0	0	0
流	11946	11932	14
浃	24	24	0
浅	728	708	20
浆	708	708	0
浇	360	357	3
浈	0	0	0
浉	0	0	0
浊	38	38	0
测	6709	6708	1
浍	0	0	0
济	1729	1723	6
浏	162	162	0
浐	0	0	0
浑	826	826	0
浒	0	0	0
浓	862	789	73
浔	0	0	0
浕	0	0	0
浙	0	0	0
浚	1	1	0
浛	0	0	0
浜	10	10	0
浞	0	0	0
浟	0	0	0
浠	0	0	0
浡	0	0	0
浣	128	128	0
浥	0	0	0
浦	442	396	46
浩	535	459	76
浪	6911	6910	1
浬	0	0	0
浭	0	0	0
浮	1015	966	49
浯	0	0	0
浰	0	0	0
浲	0	0	0
浴	2223	2223	0
海	16404	15751	653
浸	402	402	0
浼	0	0	0
涂	1984	1984	0
涄	0	0	0
涅	281	236	45
消	18103	18099	4
涉	1702	1687	15
涌	375	375	0
涍	0	0	0
涎	67	67	0
涐	0	0	0
涑	0	0	0
涓	9	9	0
涔	2	2	0
涕	234	234	0
涘	0	0	0
涛	107	104	3
涝	4	4	0
涞	0	0	0
涟	24	24	0
涠	0	0	0
涡	150	130	20
涢	0	0	0
涣	16	15	1
涤	55	54	1
润	749	747	2
涧	1	1	0
涨	519	516	3
涩	124	124	0
涪	0	0	0
涫	0	0	0
涮	75	75	0
涯	684	684	0
液	2872	2855	17
涴	0	0	0
涵	155	155	0
涸	36	36	0
涿	0	0	0
淀	49	49	0
淄	0	0	0
淅	0	0	0
淆	120	120	0
淇	601	601	0
淋	1241	1149	92
淌	145	145	0
淏	0	0	0
淑	418	404	14
淖	2	2	0
淘	3002	3002	0
淙	1	1	0
淜	0	0	0
淝	0	0	0
淞	0	0	0
淟	0	0	0
淠	0	0	0
淡	1031	1019	12
淤	198	198	0
淦	0	0	0
淫	848	848	0
淬	1	1	0
淮	1	1	0
淯	0	0	0
深	8271	8118	153
淳	116	96	20
淴	0	0	0
混	14032	13983	49
淹	593	593	0
添	845	834	11
淼	0	0	0
清	21660	21620	40
渊	207	202	5
渌	0	0	0
渍	194	194	0
渎	295	295	0
渐	1188	1188	0
渑	0	0	0
渔	332	332	0
渗	291	291	0
渚	34	34	0
渝	65	65	0
渟	0	0	0
渠	229	229	0
渡	1089	1089	0
渣	600	600	0
渤	0	0	0
渥	77	77	0
温	4828	4502	326
渫	0	0	0
渭	4	4	0
港	1244	1232	12
渰	0	0	0
渲	26	26	0
渴	1646	1646	0
游	12371	12336	35
渺	245	245	0
渼	1	0	1
湃	52	52	0
湄	8	8	0
湉	0	0	0
湍	31	31	0
湎	8	8	0
湑	0	0	0
湓	0	0	0
湔	0	0	0
湖	1671	1592	79
湘	0	0	0
湛	80	80	0
湜	0	0	0
湝	0	0	0
湟	0	0	0
湣	0	0	0
湫	0	0	0
湮	42	42	0
湲	2	0	2
湴	0	0	0
湾	778	774	4
湿	1281	1281	0
溁	0	0	0
溃	1065	1036	29
溅	317	317	0
溆	0	0	0
溇	0	0	0
溉	31	31	0
溍	0	0	0
溏	3	3	0
源	3568	3566	2
溘	0	0	0
溚	0	0	0
溜	1731	1731	0
溞	0	0	0
溟	0	0	0
溠	0	0	0
溢	295	284	11
溥	0	0	0
溦	0	0	0
溧	1	1	0
溪	322	313	9
溯	177	177	0
溱	0	0	0
溲	0	0	0
溴	10	10	0
溵	0	0	0
溶	282	282	0
溷	0	0	0
溹	0	0	0
溺	364	364	0
溻	0	0	0
溽	0	0	0
滁	0	0	0
滂	4	4	0
滃	0	0	0
滆	0	0	0
滇	0	0	0
滉	0	0	0
滋	1188	1177	11
滍	0	0	0
滏	0	0	0
滑	3523	3493	30
滓	65	65	0
滔	155	155	0
滕	83	40	43
滗	0	0	0
滘	0	0	0
滚	7213	7189	24
滞	206	206	0
滟	0	0	0
滠	0	0	0
满	11463	11433	30
滢	0	0	0
滤	280	278	2
滥	552	550	2
滦	1	1	0
滧	0	0	0
滨	205	205	0
滩	1866	1816	50
滪	0	0	0
滫	0	0	0
滴	1091	1091	0
滹	0	0	0
漂	11710	11710	0
漆	736	736	0
漈	0	0	0
漉	68	68	0
漋	0	0	0
漏	1931	1931	0
漓	68	68	0
演	23373	23221	152
漕	1	1	0
漖	0	0	0
漠	1009	1004	5
漤	0	0	0
漦	0	0	0
漩	65	65	0
漪	22	20	2
漫	3273	3273	0
漭	0	0	0
漯	0	0	0
漱	110	109	1
漳	0	0	0
漴	0	0	0
漶	0	0	0
漷	0	0	0
漹	0	0	0
漻	0	0	0
漼	0	0	0
漾	29	29	0
潆	0	0	0
潇	91	91	0
潋	0	0	0
潍	2	2	0
潏	0	0	0
潖	0	0	0
潘	478	356	122
潜	2589	2589	0
潞	5	5	0
潟	0	0	0
潢	68	68	0
潦	71	71	0
潩	0	0	0
潭	94	94	0
潮	1485	1454	31
潲	1	1	0
潴	0	0	0
潵	7	0	7
潸	8	8	0
潺	20	20	0
潼	0	0	0
潽	0	0	0
潾	0	0	0
澂	0	0	0
澄	243	233	10
澈	78	78	0
澉	0	0	0
澌	0	0	0
澍	0	0	0
澎	56	56	0
澛	0	0	0
澜	62	62	0
澡	1697	1697	0
澥	0	0	0
澧	0	0	0
澪	44	0	44
澭	0	0	0
澳	589	583	6
澴	0	0	0
澶	0	0	0
澹	1	0	1
澼	0	0	0
澽	0	0	0
激	10237	10223	14
濂	0	0	0
濉	0	0	0
濋	0	0	0
濑	101	101	0
濒	171	170	1
濞	0	0	0
濠	0	0	0
濡	15	15	0
濩	0	0	0
濮	0	0	0
濯	0	0	0
瀌	0	0	0
瀍	0	0	0
瀑	167	153	14
瀔	0	0	0
瀚	39	23	16
瀛	2	2	0
瀣	8	8	0
瀱	0	0	0
瀵	0	0	0
瀹	0	0	0
瀼	0	0	0
灈	0	0	0
灌	890	890	0
灏	0	0	0
灞	0	0	0
火	18479	18410	69
灭	3546	3546	0
灯	4417	4397	20
灰	2140	2115	25
灵	8472	8422	50
灶	72	72	0
灸	83	83	0
灼	164	164	0
灾	1870	1870	0
灿	233	229	4
炀	0	0	0
炅	0	0	0
炆	3	0	3
炉	1109	1109	0
炊	27	27	0
炌	0	0	0
炎	825	808	17
炒	1708	1708	0
炔	8	8	0
炕	4	4	0
炖	233	233	0
炘	0	0	0
炙	79	79	0
炜	0	0	0
炝	0	0	0
炟	0	0	0
炣	0	0	0
炫	531	526	5
炬	449	449	0
炭	236	236	0
炮	1230	1222	8
炯	83	82	1
炱	0	0	0
炳	152	148	4
炷	4	4	0
炸	7886	7886	0
点	128025	127878	147
炻	0	0	0
炼	813	811	2
炽	51	51	0
烀	0	0	0
烁	151	151	0
烂	3934	3934	0
烃	13	13	0
烈	2912	2853	59
烊	143	143	0
烔	0	0	0
烘	326	326	0
烙	117	81	36
烛	666	666	0
烜	0	0	0
烝	0	0	0
烟	5285	5243	42
烠	0	0	0
烤	2583	2579	4
烦	12442	12439	3
烧	5192	5106	86
烨	0	0	0
烩	89	89	0
烫	786	786	0
烬	137	137	0
热	10701	10671	30
烯	72	72	0
烶	0	0	0
烷	137	137	0
烹	301	301	0
烺	0	0	0
烻	0	0	0
烽	22	22	0
焆	0	0	0
焉	167	167	0
焊	171	171	0
焌	0	0	0
焐	0	0	0
焓	0	0	0
焕	431	402	29
焖	26	26	0
焗	16	0	16
焘	0	0	0
焙	37	37	0
焚	302	302	0
焜	0	0	0
焞	0	0	0
焦	1481	1481	0
焯	0	0	0
焰	571	571	0
焱	0	0	0
然	91514	91512	2
煁	0	0	0
煃	0	0	0
煅	2	2	0
煊	1	1	0
煋	0	0	0
煌	183	183	0
煎	820	820	0
煓	0	0	0
煜	0	0	0
煞	193	193	0
煟	0	0	0
煤	461	461	0
煦	9	5	4
照	24253	24249	4
煨	2	2	0
煮	821	821	0
煲	35	35	0
煳	0	0	0
煴	0	0	0
煸	2	2	0
煺	0	0	0
煽	190	190	0
熄	400	400	0
熇	0	0	0
熊	2306	2287	19
熏	561	560	1
熔	261	261	0
熘	0	0	0
熙	481	458	23
熛	0	0	0
熜	0	0	0
熟	4472	3451	1021
熠	58	58	0
熥	0	0	0
熨	148	38	110
熬	1014	1014	0
熵	6	6	0
熹	5	1	4
熻	0	0	0
燃	1719	1719	0
燊	0	0	0
燋	0	0	0
燎	19	19	0
燏	0	0	0
燔	0	0	0
燕	310	307	3
燚	0	0	0
燠	0	0	0
燥	285	285	0
燧	16	15	1
燮	62	49	13
燹	0	0	0
爆	5612	5612	0
爇	0	0	0
爔	0	0	0
爚	0	0	0
爝	0	0	0
爟	0	0	0
爨	0	0	0
爪	563	318	245
爬	2192	2192	0
爰	1	1	0
爱	65256	64868	388
爵	2690	2680	10
父	22065	22057	8
爷	4462	4428	34
爸	53025	53025	0
爹	1182	1182	0
爻	0	0	0
爽	2566	2564	2
爿	1	1	0
牁	0	0	0
牂	0	0	0
片	21431	21349	82
版	2708	2661	47
牌	5872	5866	6
牍	6	6	0
牒	50	50	0
牖	0	0	0
牙	6365	6363	2
牚	0	0	0
牛	7043	7011	32
牝	1	1	0
牟	40	36	4
牡	120	120	0
牢	3297	3297	0
牤	0	0	0
牥	0	0	0
牦	14	14	0
牧	1896	1893	3
物	30079	29998	81
牮	0	0	0
牯	0	0	0
牲	1880	1880	0
牵	1694	1693	1
特	48225	42246	5979
牺	1536	1536	0
牻	0	0	0
牾	0	0	0
牿	0	0	0
犀	175	175	0
犁	32	32	0
犄	14	14	0
犇	0	0	0
犊	31	31	0
犋	0	0	0
犍	0	0	0
犏	0	0	0
犒	21	21	0
犟	15	15	0
犨	0	0	0
犬	1055	1055	0
犯	17722	17545	177
犰	0	0	0
犴	0	0	0
状	6080	6076	4
犷	24	24	0
犸	34	34	0
犹	3087	3086	1
狁	0	0	0
狂	8951	8887	64
狃	0	0	0
狄	1012	798	214
狈	60	60	0
狉	0	0	0
狍	0	0	0
狎	4	4	0
狐	626	612	14
狒	107	107	0
狗	13978	13971	7
狙	487	487	0
狝	0	0	0
狞	20	20	0
狠	1719	1719	0
狡	484	481	3
狨	3	3	0
狩	250	250	0
独	9203	9171	32
狭	235	235	0
狮	905	905	0
狯	1	1	0
狰	17	17	0
狱	8440	8433	7
狲	1	1	0
狳	0	0	0
狴	0	0	0
狷	0	0	0
狸	547	547	0
狺	0	0	0
狻	0	0	0
狼	1762	1737	25
猁	0	0	0
猃	0	0	0
猄	0	0	0
猇	0	0	0
猊	0	0	0
猎	2594	2594	0
猕	21	21	0
猖	40	40	0
猗	0	0	0
猛	1386	1386	0
猜	9953	9937	16
猝	26	26	0
猞	0	0	0
猡	30	30	0
猢	1	1	0
猥	153	153	0
猩	685	685	0
猪	3020	3006	14
猫	4134	4131	3
猬	16	16	0
献	2264	2258	6
猯	0	0	0
猰	0	0	0
猱	0	0	0
猴	1320	1315	5
猷	0	0	0
猹	0	0	0
猺	0	0	0
猾	391	391	0
猿	188	188	0
獍	0	0	0
獐	2	2	0
獒	8	8	0
獗	21	21	0
獠	28	28	0
獬	0	0	0
獭	96	96	0
獯	0	0	0
獴	2	0	2
獾	56	56	0
玃	0	0	0
玄	190	190	0
率	2879	2744	135
玉	1240	1221	19
王	9733	9503	230
玎	0	0	0
玑	80	80	0
玒	0	0	0
玓	0	0	0
玕	0	0	0
玖	32	25	7
玘	0	0	0
玙	0	0	0
玚	0	0	0
玛	6598	5313	1285
玞	0	0	0
玟	10	0	10
玠	0	0	0
玡	0	0	0
玢	1	0	1
玤	0	0	0
玥	0	0	0
玦	0	0	0
玩	28964	28964	0
玫	703	693	10
玭	0	0	0
玮	1	0	1
环	4848	4838	10
现	137777	137777	0
玱	0	0	0
玲	190	188	2
玳	0	0	0
玶	0	0	0
玷	158	158	0
玹	0	0	0
玺	100	92	8
玻	1556	1522	34
玼	0	0	0
玿	0	0	0
珀	661	538	123
珂	53	30	23
珅	0	0	0
珇	0	0	0
珈	83	83	0
珉	85	71	14
珊	643	559	84
珋	0	0	0
珌	0	0	0
珍	2983	2631	352
珏	0	0	0
珐	7	7	0
珑	24	24	0
珒	0	0	0
珕	0	0	0
珖	0	0	0
珙	0	0	0
珛	0	0	0
珝	0	0	0
珞	6	6	0
珠	1970	1959	11
珢	0	0	0
珣	0	0	0
珥	7	7	0
珦	0	0	0
珧	0	0	0
珩	0	0	0
珪	0	0	0
珫	0	0	0
班	11120	10843	277
珰	0	0	0
珲	1	0	1
珵	0	0	0
珷	0	0	0
珸	0	0	0
珹	0	0	0
珺	0	0	0
珽	0	0	0
琀	0	0	0
球	24351	24307	44
琄	0	0	0
琅	21	21	0
理	41099	40579	520
琇	0	0	0
琈	0	0	0
琉	73	73	0
琊	0	0	0
琎	0	0	0
琏	0	0	0
琐	240	240	0
琔	0	0	0
琚	0	0	0
琛	53	47	6
琟	0	0	0
琡	0	0	0
琢	230	226	4
琤	0	0	0
琥	44	44	0
琦	93	71	22
琨	0	0	0
琪	687	569	118
琫	0	0	0
琬	0	0	0
琭	0	0	0
琮	0	0	0
琯	0	0	0
琰	0	0	0
琲	0	0	0
琳	3183	2483	700
琴	1955	1941	14
琵	36	36	0
琶	14	14	0
琼	973	776	197
瑀	0	0	0
瑁	0	0	0
瑂	0	0	0
瑃	0	0	0
瑄	0	0	0
瑅	0	0	0
瑆	0	0	0
瑑	0	0	0
瑓	0	0	0
瑔	0	0	0
瑕	187	187	0
瑖	0	0	0
瑗	0	0	0
瑙	29	27	2
瑚	89	87	2
瑛	31	22	9
瑜	273	261	12
瑝	0	0	0
瑞	7937	6345	1592
瑟	3364	2740	624
瑢	4	0	4
瑧	0	0	0
瑨	0	0	0
瑬	0	0	0
瑭	2	2	0
瑰	691	681	10
瑱	0	0	0
瑳	0	0	0
瑶	7	7	0
瑷	0	0	0
瑾	14	4	10
璀	31	31	0
璁	0	0	0
璃	1364	1333	31
璆	0	0	0
璇	1	0	1
璈	0	0	0
璋	0	0	0
璎	0	0	0
璐	28	19	9
璒	0	0	0
璘	0	0	0
璜	28	24	4
璞	21	18	3
璟	0	0	0
璠	0	0	0
璥	0	0	0
璧	32	27	5
璨	31	31	0
璩	0	0	0
璪	0	0	0
璬	0	0	0
璮	0	0	0
璱	0	0	0
璲	0	0	0
璺	0	0	0
瓀	0	0	0
瓒	0	0	0
瓖	0	0	0
瓘	0	0	0
瓜	3315	3310	5
瓞	0	0	0
瓠	2	2	0
瓢	58	58	0
瓣	165	165	0
瓤	6	6	0
瓦	3721	2714	1007
瓮	44	44	0
瓯	7	7	0
瓴	0	0	0
瓶	3303	3303	0
瓷	332	332	0
瓻	0	0	0
瓿	0	0	0
甄	38	38	0
甍	0	0	0
甏	1	1	0
甑	2	2	0
甓	0	0	0
甗	0	0	0
甘	1213	1047	166
甚	7600	7600	0
甜	5726	5724	2
生	162725	162340	385
甡	0	0	0
甥	181	181	0
甦	0	0	0
用	79299	79086	213
甩	1719	1719	0
甪	0	0	0
甫	168	127	41
甬	8	7	1
甭	107	107	0
甯	0	0	0
田	1819	1790	29
由	15733	15728	5
甲	2487	2460	27
申	2358	2311	47
电	60278	60215	63
男	30316	30310	6
甸	172	172	0
町	67	66	1
画	7877	7862	15
甾	5	5	0
畀	0	0	0
畅	668	668	0
畈	0	0	0
畋	0	0	0
界	15995	15931	64
畎	0	0	0
畏	717	716	1
畔	81	78	3
畖	0	0	0
留	21859	21846	13
畚	3	3	0
畛	0	0	0
畜	669	440	229
畤	0	0	0
略	2210	1897	313
畦	1	1	0
番	1138	867	271
畬	0	0	0
畯	0	0	0
畲	0	0	0
畴	50	50	0
畸	147	147	0
畹	0	0	0
畿	15	15	0
疁	0	0	0
疃	0	0	0
疆	39	39	0
疍	0	0	0
疏	823	823	0
疐	0	0	0
疑	9259	9259	0
疔	0	0	0
疖	15	15	0
疗	6031	6024	7
疙	155	155	0
疚	711	711	0
疝	67	67	0
疟	67	65	2
疠	0	0	0
疡	83	82	1
疢	0	0	0
疣	36	36	0
疤	689	689	0
疥	8	8	0
疫	883	882	1
疬	0	0	0
疭	0	0	0
疮	163	163	0
疯	14752	14746	6
疰	0	0	0
疱	120	120	0
疲	943	943	0
疳	1	1	0
疴	0	0	0
疵	130	130	0
疸	7	7	0
疹	354	354	0
疼	3529	3529	0
疽	115	115	0
疾	1353	1353	0
痂	15	15	0
痃	0	0	0
痄	0	0	0
病	18032	17871	161
症	4689	4599	90
痈	0	0	0
痉	164	164	0
痊	195	195	0
痍	7	7	0
痒	636	636	0
痓	0	0	0
痔	46	46	0
痕	2316	2316	0
痘	160	160	0
痛	8963	8952	11
痞	108	108	0
痢	32	32	0
痣	142	142	0
痤	8	8	0
痦	3	3	0
痧	3	3	0
痨	10	10	0
痪	246	246	0
痫	239	238	1
痰	96	96	0
痱	10	10	0
痴	4061	4061	0
痹	168	168	0
痼	0	0	0
痿	46	46	0
瘀	190	190	0
瘁	38	38	0
瘃	0	0	0
瘅	0	0	0
瘆	5	0	5
瘊	0	0	0
瘌	2	2	0
瘐	0	0	0
瘕	0	0	0
瘗	0	0	0
瘘	4	4	0
瘙	9	9	0
瘛	0	0	0
瘟	261	261	0
瘠	13	13	0
瘢	2	2	0
瘤	1037	850	187
瘥	0	0	0
瘦	902	902	0
瘩	155	155	0
瘪	119	119	0
瘫	305	305	0
瘭	0	0	0
瘰	0	0	0
瘳	2	2	0
瘴	26	26	0
瘵	0	0	0
瘸	231	231	0
瘼	0	0	0
瘾	1373	1372	1
瘿	1	1	0
癀	0	0	0
癃	0	0	0
癌	1610	1605	5
癍	3	3	0
癔	18	18	0
癖	475	475	0
癗	0	0	0
癜	2	2	0
癞	39	39	0
癣	26	26	0
癫	483	483	0
癯	0	0	0
癸	2	2	0
登	5456	5107	349
白	41987	41636	351
百	9469	7410	2059
癿	0	0	0
皂	438	438	0
的	1762079	1749664	12415
皆	549	549	0
皇	2676	2669	7
皈	37	37	0
皋	6	6	0
皎	11	11	0
皑	18	18	0
皓	19	11	8
皕	0	0	0
皖	0	0	0
皙	9	9	0
