汉字	原始总频	已分配频率	待分配频率
匡	57	56	1
匣	76	76	0
匦	0	0	0
匪	820	820	0
匮	23	23	0
匹	2240	2240	0
区	11776	11515	261
医	26637	26629	8
匼	0	0	0
匾	1	1	0
匿	615	615	0
十	14731	13921	810
千	7954	7172	782
卅	9	9	0
升	4362	4349	13
午	8167	8167	0
卉	23	22	1
半	10910	10883	27
华	7530	7091	439
协	4191	4168	23
卑	1014	1011	3
卒	171	134	37
卓	450	401	49
单	18894	16349	2545
卖	10993	10957	36
南	6276	5123	1153
博	9033	8650	383
卜	662	454	208
卞	5	5	0
卟	0	0	0
占	2291	2282	9
卡	19536	8558	10978
卢	1924	1619	305
卣	0	0	0
卤	35	35	0
卦	512	512	0
卧	2039	2039	0
卫	7332	7092	240
卬	0	0	0
卮	0	0	0
卯	25	25	0
印	6629	6628	1
危	7715	7687	28
即	8012	8011	1
却	13707	13707	0
卵	482	482	0
卷	3334	3320	14
卸	476	476	0
卺	0	0	0
卿	163	163	0
厂	2078	2030	48
厄	1352	1149	203
厅	3620	3558	62
历	8856	8649	207
厉	2901	2901	0
压	6483	6419	64
厌	7521	7474	47
厍	0	0	0
厕	1859	1853	6
厖	0	0	0
厘	212	212	0
厚	1020	960	60
厝	0	0	0
原	21274	21222	52
厢	516	515	1
厣	0	0	0
厥	76	76	0
厦	414	401	13
厨	2899	2898	1
厩	142	142	0
厮	187	187	0
去	232346	232345	1
厾	0	0	0
县	397	394	3
叁	83	81	2
参	13574	13493	81
叆	0	0	0
叇	0	0	0
又	35669	35666	3
叉	906	906	0
及	9979	9971	8
友	40149	40103	46
双	6381	6378	3
反	15920	15914	6
发	87630	87499	131
叔	5419	5415	4
叕	0	0	0
取	12409	12405	4
受	38688	38582	106
变	30205	30203	2
叙	366	366	0
叚	0	0	0
叛	3045	3045	0
叟	31	30	1
叠	359	349	10
口	21385	21178	207
古	6114	5706	408
句	6640	6632	8
另	13372	13372	0
叨	521	420	101
叩	26	26	0
只	117410	117380	30
叫	41269	41268	1
召	1546	1518	28
叭	287	285	2
叮	490	490	0
可	212670	212485	185
台	13419	13361	58
叱	14	14	0
史	8002	7069	933
右	4783	4782	1
叵	12	12	0
叶	1528	1285	243
号	21571	21542	29
司	15818	15708	110
叹	480	480	0
叻	0	0	0
叼	96	96	0
叽	224	212	12
吁	150	119	31
吃	33831	33829	2
各	9490	9445	45
吆	28	28	0
合	27378	27101	277
吉	8890	7609	1281
吊	1272	1272	0
同	42995	42798	197
名	43229	41328	1901
后	109915	109848	67
吏	23	23	0
吐	2543	2525	18
向	24596	24565	31
吒	1	1	0
吓	6134	6039	95
吕	39	36	3
吖	0	0	0
吗	253338	253338	0
君	1901	1379	522
吝	114	114	0
吞	1176	1176	0
吟	284	283	1
吠	113	113	0
吡	34	34	0
吣	0	0	0
否	13209	13209	0
吧	197159	197110	49
吨	215	215	0
吩	313	313	0
含	1726	1726	0
听	81570	81567	3
吭	89	64	25
吮	101	101	0
启	2475	2472	3
吱	213	129	84
吲	0	0	0
吴	301	277	24
吵	3805	3805	0
吸	11420	11415	5
吹	2540	2536	4
吻	4521	4520	1
吼	767	767	0
吽	2	0	2
吾	249	248	1
呀	11309	11309	0
呃	22734	22734	0
呆	7712	7710	2
呇	0	0	0
呈	821	820	1
告	76599	76531	68
呋	3	3	0
呐	1687	1685	2
呒	15	15	0
呓	11	11	0
呔	9	9	0
呕	635	619	16
呖	2	2	0
呗	334	333	1
员	29908	29268	640
呙	0	0	0
呛	199	197	2
呜	607	607	0
呢	77341	77306	35
呣	77	0	77
呤	0	0	0
呦	433	433	0
周	21092	21084	8
呱	104	70	34
呲	5	5	0
味	11803	11800	3
呵	1650	1650	0
呶	1	1	0
呷	11	11	0
呸	95	95	0
呻	138	138	0
呼	8561	8527	34
命	25014	24983	31
咀	85	72	13
咂	35	35	0
咄	89	89	0
咆	134	134	0
咇	0	0	0
咉	0	0	0
咋	426	5	421
和	155937	155302	635
咍	1	0	1
咎	184	184	0
咏	125	124	1
咐	350	350	0
咒	1840	1840	0
咔	132	78	54
咕	391	391	0
咖	5252	4982	270
咙	617	615	2
咚	152	152	0
咛	3	3	0
咝	45	45	0
咡	0	0	0
咣	11	11	0
咤	1	1	0
咥	0	0	0
咦	145	145	0
咧	176	174	2
咨	584	584	0
咩	59	59	0
咪	1967	1967	0
咫	60	60	0
咬	2419	2419	0
咯	1474	168	1306
咱	7352	7352	0
咳	460	230	230
咴	0	0	0
咸	264	264	0
咺	0	0	0
咻	191	191	0
咽	340	207	133
咿	33	33	0
哀	1019	1019	0
品	14318	14278	40
哂	0	0	0
哃	0	0	0
哄	430	430	0
哆	32	32	0
哇	10366	10349	17
哈	16487	15351	1136
哉	56	55	1
哌	16	16	0
响	5956	5929	27
哎	1665	1665	0
哏	5	5	0
哐	15	15	0
哑	331	327	4
哒	189	189	0
哓	1	1	0
哔	185	185	0
哕	0	0	0
哗	135	126	9
哙	0	0	0
哚	0	0	0
哝	42	42	0
哞	46	46	0
哟	1292	1289	3
哢	0	0	0
哥	18845	18720	125
哦	69380	69380	0
哧	19	17	2
哨	531	531	0
哩	345	345	0
哪	59479	59375	104
哭	4774	4768	6
哮	297	297	0
哱	0	0	0
哲	887	808	79
哳	0	0	0
哺	92	92	0
哼	1467	1463	4
哽	9	4	5
哿	0	0	0
唁	36	36	0
唆	154	154	0
唇	1212	1212	0
唉	840	840	0
唏	24	24	0
唐	1939	1521	418
唑	0	0	0
唔	1947	1947	0
唛	1	0	1
唝	0	0	0
唠	344	344	0
唢	1	1	0
唣	0	0	0
唤	1373	1371	2
唧	198	198	0
唪	0	0	0
唬	475	475	0
售	1984	1984	0
唯	9451	9446	5
唰	7	7	0
唱	11922	11820	102
唳	2	2	0
唵	1	0	1
唷	0	0	0
唼	0	0	0
唾	251	251	0
唿	0	0	0
啁	0	0	0
啃	188	188	0
啄	84	84	0
商	6928	6899	29
啉	1	1	0
啊	131345	131345	0
啐	13	13	0
啕	19	13	6
啖	0	0	0
啜	31	15	16
啡	5293	5090	203
啤	2484	2484	0
啥	4369	4369	0
啦	14557	14539	18
啧	103	103	0
啪	177	177	0
啫	5	0	5
啬	94	94	0
啭	1	1	0
啮	37	37	0
啰	616	0	616
啴	0	0	0
啵	73	73	0
啶	1	1	0
啷	3	3	0
啸	76	76	0
啻	5	5	0
啼	119	119	0
啾	10	10	0
喀	209	178	31
喁	0	0	0
喂	11416	11416	0
喃	65	65	0
善	5091	5079	12
喆	22	0	22
喇	285	284	1
喈	0	0	0
喉	950	944	6
喊	2156	2156	0
喋	304	290	14
喏	16	16	0
喑	1	1	0
喔	6700	6700	0
喘	842	841	1
喙	23	23	0
喜	54432	54422	10
喝	16744	16744	0
喟	0	0	0
喤	0	0	0
喧	110	110	0
喱	124	119	5
喳	135	124	11
喵	129	129	0
喷	1885	1883	2
喹	4	4	0
喻	591	591	0
喽	784	784	0
喾	0	0	0
嗄	27	27	0
嗅	334	334	0
嗉	2	2	0
嗌	1	0	1
嗍	0	0	0
嗐	1	0	1
嗑	466	466	0
嗒	242	240	2
嗓	658	632	26
嗔	1	1	0
嗖	43	43	0
嗜	309	309	0
嗝	174	174	0
嗞	30	0	30
嗟	5	5	0
嗡	240	240	0
嗣	41	41	0
嗤	47	47	0
嗥	4	4	0
嗦	123	123	0
嗨	25345	25345	0
嗪	20	20	0
嗫	0	0	0
嗬	68	68	0
嗯	34639	34639	0
嗲	19	19	0
嗳	24	24	0
嗵	7	7	0
嗷	306	306	0
嗽	195	195	0
嗾	0	0	0
嘀	153	153	0
嘁	5	5	0
嘈	52	52	0
嘉	935	849	86
嘌	5	5	0
嘎	290	278	12
嘏	0	0	0
嘘	2343	170	2173
嘚	10	0	10
嘛	16515	16515	0
嘞	55	55	0
嘟	262	248	14
嘡	0	0	0
嘣	150	150	0
嘤	15	15	0
嘧	0	0	0
嘬	8	8	0
嘭	91	91	0
嘱	545	545	0
嘲	1137	1137	0
嘴	12089	12088	1
嘶	112	112	0
嘹	1	1	0
嘻	676	676	0
嘿	42007	41659	348
噀	0	0	0
噂	0	0	0
噇	0	0	0
噌	13	13	0
噍	0	0	0
噎	136	136	0
噔	6	6	0
噗	99	99	0
噘	18	18	0
噙	2	2	0
噜	167	167	0
噢	29338	29338	0
噤	0	0	0
器	16613	16467	146
噩	863	863	0
噪	490	490	0
噫	2	2	0
噬	178	178	0
噱	57	57	0
噶	3	3	0
噻	56	56	0
噼	39	39	0
嚄	2	0	2
嚅	0	0	0
嚆	0	0	0
嚎	129	129	0
嚏	133	133	0
嚓	91	0	91
嚚	0	0	0
嚣	153	150	3
嚭	0	0	0
嚯	64	64	0
嚷	647	647	0
嚼	483	77	406
囊	743	743	0
囔	53	53	0
囚	1119	1119	0
四	13242	12987	255
回	92714	92695	19
囟	4	4	0
因	77540	77360	180
囡	2	2	0
团	9749	9723	26
囤	30	26	4
囫	6	6	0
园	5748	5731	17
困	5544	5538	6
囱	111	111	0
围	5906	5904	2
囵	5	5	0
囷	0	0	0
囹	17	17	0
固	1948	1946	2
国	40713	40513	200
图	10910	10635	275
囿	0	0	0
圃	18	18	0
圄	15	15	0
圆	1825	1802	23
圈	3847	3683	164
圉	0	0	0
圊	0	0	0
圌	0	0	0
圐	0	0	0
圙	0	0	0
圜	0	0	0
土	4871	4697	174
圢	0	0	0
圣	12175	11842	333
在	546367	546337	30
圩	0	0	0
圪	1	1	0
圫	0	0	0
圬	1	1	0
圭	183	156	27
圮	0	0	0
圯	0	0	0
地	78129	77541	588
圲	0	0	0
圳	0	0	0
圹	0	0	0
场	34746	34720	26
圻	0	0	0
圾	3267	3267	0
址	2291	2290	1
坂	68	67	1
均	760	755	5
坉	0	0	0
坊	213	213	0
坋	0	0	0
坌	0	0	0
坍	82	82	0
坎	830	643	187
坏	15105	14975	130
坐	19613	19613	0
坑	574	564	10
坒	0	0	0
块	11382	11379	3
坚	6717	6716	1
坛	373	372	1
坜	0	0	0
坝	185	185	0
坞	1849	1849	0
坟	632	628	4
坠	1045	1045	0
坡	510	509	1
坤	223	218	5
坥	0	0	0
坦	4880	4449	431
坨	174	174	0
坩	5	5	0
坪	368	368	0
坫	0	0	0
坬	0	0	0
坭	0	0	0
坯	13	13	0
坰	0	0	0
坳	5	5	0
坷	56	56	0
坻	0	0	0
坼	2	2	0
坽	0	0	0
垂	668	668	0
垃	3274	3274	0
垄	47	47	0
垆	1	1	0
垈	0	0	0
型	7502	7484	18
垌	0	0	0
垍	0	0	0
垎	0	0	0
垏	0	0	0
垒	1117	1117	0
垓	0	0	0
垕	0	0	0
垙	0	0	0
垚	0	0	0
垛	9	9	0
垞	0	0	0
垟	0	0	0
垠	35	19	16
垡	1	1	0
垢	70	70	0
垣	30	23	7
垤	0	0	0
垦	17	17	0
垧	0	0	0
垩	19	19	0
垫	1103	1103	0
垭	0	0	0
垮	690	662	28
垯	0	0	0
垱	0	0	0
垲	0	0	0
垴	0	0	0
垵	0	0	0
垸	0	0	0
垺	0	0	0
垾	0	0	0
垿	0	0	0
埂	3	3	0
埃	4434	3600	834
埆	0	0	0
埇	2	0	2
埋	2239	2235	4
埌	0	0	0
城	10406	10277	129
埏	0	0	0
埒	0	0	0
埔	122	116	6
埕	0	0	0
埗	0	0	0
埘	0	0	0
埙	0	0	0
埚	5	5	0
埝	0	0	0
域	2003	2003	0
埠	6	6	0
埤	0	0	0
埪	0	0	0
埫	0	0	0
埭	0	0	0
埯	0	0	0
埴	0	0	0
埵	0	0	0
埸	1	1	0
培	1218	1179	39
基	13428	12276	1152
埼	5	0	5
埽	0	0	0
堂	5777	5727	50
堃	0	0	0
堆	2888	2863	25
堇	1	1	0
堉	0	0	0
堋	0	0	0
堌	0	0	0
堍	0	0	0
堎	0	0	0
堐	0	0	0
堑	33	33	0
堕	665	665	0
堙	0	0	0
堞	0	0	0
堠	0	0	0
堡	2722	2115	607
堤	173	173	0
堧	0	0	0
堨	0	0	0
堪	1331	1320	11
堰	0	0	0
堲	0	0	0
堵	974	974	0
堼	0	0	0
堽	0	0	0
堾	0	0	0
塄	0	0	0
塅	0	0	0
塆	0	0	0
塌	768	768	0
塍	0	0	0
塑	1284	1269	15
塔	6158	2439	3719
塘	193	193	0
塝	0	0	0
塞	5309	1427	3882
塥	0	0	0
填	1358	1358	0
塬	0	0	0
塱	0	0	0
塾	0	0	0
墀	0	0	0
墁	0	0	0
境	4514	4514	0
墅	341	341	0
墈	0	0	0
