类别	根名	宿主	核心字用数	扩展字用数	合计
附属	牜	牛	21	86	107
附属	差字头	美字头	28	80	108
附属	缶	击	27	85	112
附属	戊	戈	34	80	114
附属	申	田	20	96	116
附属	巴	已	38	80	118
附属	其字头	廿	40	78	118
附属	告字头	牛	39	79	118
附属	衣省	衣	27	95	122
附属	肀	争字底	24	99	123
附属	可	寸	50	75	125
附属	巳	已	35	92	127
附属	水	氵	28	100	128
附属	而	雨	40	89	129
附属	畏字底带横	定字底	31	98	129
附属	丁	寸	31	101	132
附属	走	足	20	112	132
附属	非	片	38	97	135
附属	反字框	撇	44	93	137
附属	风省	几	21	117	138
附属	由	田	38	108	146
附属	歹	夕	37	111	148
附属	户	尸	50	101	151
附属	乔字底	竖	36	122	158
附属	㔾	已	66	94	160
附属	糸	纟	39	133	172
附属	犬	大	46	127	173
附属	贝	见	161	14	175
附属	氺	氵	45	131	176
附属	彐	争字底	38	139	177
附属	比字旁	匕	63	118	181
附属	覀	西	51	134	185
附属	千	干	52	136	188
附属	兀	儿	49	144	193
附属	革	廿	41	153	194
附属	冬字底	点	71	130	201
附属	弓	折	45	161	206
附属	廾	艹	62	163	225
附属	臼	白	52	181	233
附属	尚字头	小	82	151	233
附属	酉	西	78	177	255
附属	即字旁	艮	25	245	270
附属	雨头	雨	68	216	284
附属	衤	礻	64	230	294
附属	冫	氵	80	215	295
附属	龶	丰	106	190	296
附属	足旁	足	103	223	326
附属	士	土	71	258	329
附属	疒	广	104	227	331
附属	刂	刀	103	237	340
附属	凵	匚	98	270	368
附属	自	白	39	356	395
附属	龷	廿	97	313	410
附属	鱼省	鱼	0	418	418
附属	举字底	扌	64	378	442
附属	攵	又	128	320	448
附属	罒	皿	78	371	449
附属	勹	匚	124	340	464
附属	㐅	交	141	324	465
附属	夂	又	102	369	471
附属	左字框	十	114	366	480
附属	⺈	刀	143	395	538
附属	青字底	月	144	411	555
附属	阝	卩	203	385	588
附属	竹头	竹	134	456	590
附属	心	忄	146	465	611
附属	言	讠	33	633	666
附属	金字底	钅	2	738	740
附属	厂	广	154	593	747
附属	卢字头	卜	164	584	748
附属	冖	宀	203	598	801
附属	幺	纟	52	770	822
附属	冂	匚	165	770	935
附属	见二	匚	36	936	972
附属	丷	八	284	715	999
附属	丨	竖	117	1119	1236
附属	目	日	136	1147	1283
附属	灬	火	63	1397	1460
附属	丿	撇	229	1254	1483
附属	丶	点	133	1572	1705
附属	全字头	人	220	1513	1733
附属	一	横	895	4114	5009
